,lang_code,type,lang_name,script,#1:Wiki_Name,2:Dump_Size,3:Num_Edit,4:Num_Editor,5:Wiki_Age,6:Num_Article,7:Wiki_Size,8:Gini_Coefficient(Editnumber of Editor),9:Gini_Coefficient(Editnumber of Article),#10:Gini_Coefficient(Size of Article),11:Gini_Coefficient(Produced Size for Editors),12:Gini_Coefficient(ABS Produced Size for Editors),"13:Gini_Coefficient(Produced Size for Editors, Positive Only)","#14:Gini_Coefficient(Produced Size for Editors, Negative Only)"
0,aa,wiki,Afar,Latn,aawiki,667735.0,1326,261,336385703,511,629961,0.695162474,0.473256531,0.707055326,1.155841691,0.833125505,0.857472426,0.839483549
1,aa,wikibooks,Afar,Latn,aawikibooks,70102.0,125,38,364728417,81,50544,0.510947368,0.288127222,0.702041291,0.882078772,0.76239671,0.793720417,0.747242932
2,aa,wiktionary,Afar,Latn,aawiktionary,101628.0,193,51,381759832,102,200218,0.634931924,0.375546073,0.875095255,1.172418143,0.873390029,0.895564058,0.871912592
3,ab,wiki,Abkhazian,Cyrl,abwiki,17964926.0,36324,1690,391200539,3470,4739242,0.904263111,0.717023208,0.813613037,3.094377932,0.945810147,0.944551051,0.958034578
4,ab,wiktionary,Abkhazian,Cyrl,abwiktionary,204700.0,389,40,381758147,252,381846,0.834254499,0.2377586,0.961198475,0.945612105,0.935685378,0.938545492,0.933262302
5,ace,wiki,Acehnese,Latn,acewiki,41321986.0,85364,1867,357260883,8313,9231703,0.94823245,0.723042223,0.80164154,1.904704017,0.95136584,0.952469718,0.959162802
6,advisory,wiki,,,advisorywiki,146863.0,305,98,280224275,128,109056,0.552726664,0.518365779,0.809225514,0.963442298,0.820994266,0.832025538,0.829626868
7,ady,wiki,Adyghe,Cyrl,adywiki,2209818.0,4712,133,247866146,814,796799,0.926005591,0.4587404,0.665492454,1.252324359,0.923699506,0.937603365,0.926168007
8,af,wiki,Afrikaans,Latn,afwiki,654724796.0,1389722,24470,451191810,94791,207672569,0.973453766,0.736257464,0.749928502,1.470331215,0.985447529,0.987847203,0.986412586
9,af,wikibooks,Afrikaans,Latn,afwikibooks,832018.0,1636,299,364548382,744,581816,0.720641748,0.466923653,0.78485726,0.925532813,0.866710036,0.873456374,0.870784596
10,af,wikiquote,Afrikaans,Latn,afwikiquote,1667836.0,3382,344,356441210,1125,858920,0.827620233,0.56947237,0.829515385,1.383826796,0.894595083,0.912264004,0.904270154
11,af,wiktionary,Afrikaans,Latn,afwiktionary,56540754.0,118863,745,385506404,21488,20893480,0.979965305,0.59533645,0.694471031,1.000678798,0.986857713,0.987053706,0.987771823
12,ak,wiki,Akan,Latn,akwiki,5764188.0,11777,1107,365704015,1797,2182312,0.82085585,0.739187554,0.812055786,2.814223018,0.904844519,0.899047381,0.92842613
13,ak,wikibooks,Akan,Latn,akwikibooks,93779.0,169,30,352524418,94,99927,0.696449704,0.346279743,0.712543813,0.930678395,0.88885435,0.899358552,0.88082128
14,ak,wiktionary,Akan,Latn,akwiktionary,58397.0,105,44,342926691,80,41170,0.452164502,0.222738095,0.702511046,0.826190739,0.724895389,0.751982767,0.717371022
15,als,wiki,Alemannic,Latn,alswiki,294670342.0,630170,16901,388410249,46507,131335330,0.962662899,0.691724754,0.696019099,1.286223945,0.987112475,0.988660559,0.988219502
16,als,wikibooks,Alemannic,Latn,alswikibooks,181411.0,339,48,353520311,235,105596,0.707657325,0.274465254,0.790430258,0.834932194,0.829158661,0.83167121,0.825229353
17,als,wikiquote,Alemannic,Latn,alswikiquote,70225.0,131,37,353870204,79,50356,0.601527033,0.325956707,0.717692084,0.869135002,0.868278613,0.868700585,0.867496506
18,als,wiktionary,Alemannic,Latn,alswiktionary,723363.0,1428,46,386529500,1236,451872,0.922238461,0.131676457,0.934413117,0.947618487,0.945089883,0.94610646,0.943649035
19,am,wiki,Amharic,Geez,amwiki,157033622.0,321721,5560,416796459,41797,73770832,0.971149497,0.770587113,0.576211954,1.318542805,0.983894219,0.987285033,0.983514548
20,am,wikiquote,Amharic,Geez,amwikiquote,359251.0,656,147,359634405,425,501420,0.656773685,0.315502152,0.879246365,0.916787046,0.89184611,0.896670501,0.891796021
21,am,wiktionary,Amharic,Geez,amwiktionary,5003561.0,10738,549,381750694,1593,2833467,0.887803931,0.668953983,0.861673686,1.014426353,0.940726096,0.946746216,0.940087963
22,ang,wiki,Anglo-Saxon,Latn,angwiki,82810633.0,172533,4712,359357209,13685,13793625,0.956097246,0.753005268,0.840734051,2.467331791,0.966194192,0.9679761,0.972067417
