#RANK_NUMEDIT	RANK_NUMEDITOR	RANK_NUMART	RANK_SIZE	3:Num_Edit	4:Num_Editor	6:Num_Article	7:Wiki_Size
742	673	747	746	1326	261	511	629961
836	814	823	835	125	38	81	50544
815	793	814	793	193	51	102	200218
475	343	544	562	36324	1690	3470	4739242
783	810	776	767	389	40	252	381846
361	331	412	463	85364	1867	8313	9231703
792	769	806	808	305	98	128	109056
686	752	719	740	4712	133	814	796799
112	88	152	125	1389722	24470	94791	207672569
735	645	723	750	1636	299	744	581816
702	629	699	738	3382	344	1125	858920
308	518	285	350	118863	745	21488	20893480
615	436	644	656	11777	1107	1797	2182312
819	835	816	814	169	30	94	99927
841	802	824	846	105	44	80	41170
154	106	202	158	630170	16901	46507	131335330
787	796	778	810	339	48	235	105596
833	820	825	837	131	37	79	50356
741	799	694	759	1428	46	1236	451872
204	188	214	209	321721	5560	41797	73770832
770	742	755	752	656	147	425	501420
627	571	661	630	10738	549	1593	2833467
262	208	339	398	172533	4712	13685	13793625
716	701	685	703	2725	229	1316	1212428
737	749	739	791	1591	136	589	218678
856	848	859	849	75	26	38	37878
456	597	530	618	43136	426	3814	3067028
104	128	149	167	1519275	12181	100825	118285864
547	606	468	617	20689	401	5786	3085456
360	351	475	567	85610	1645	5516	4650256
20	14	25	14	17011554	895488	2545318	8685190945
412	227	259	143	57624	3944	27010	146900334
810	777	808	802	218	76	122	131282
425	301	296	229	51606	2255	18727	61720374
464	235	306	210	39557	3832	17429	73600521
242	201	139	51	208793	5103	122039	1134717404
439	408	327	240	48105	1240	15212	55202671
166	222	159	177	531876	4214	83879	111549505
146	98	138	112	677467	19867	122388	248522765
121	119	168	122	972701	13707	70264	213431456
776	764	770	790	523	107	284	238047
769	755	767	797	695	125	308	179778
276	573	284	449	150751	537	21627	9982163
289	250	232	201	138285	3305	35264	85711011
838	825	833	834	121	35	72	51925
641	641	584	365	9053	307	2714	17896478
786	801	773	772	354	45	260	374972
411	380	417	361	57755	1449	8029	18592481
841	820	832	839	105	37	73	49064
380	329	452	417	73000	1917	6539	11825636
857	856	858	854	70	20	46	31481
678	690	649	712	5238	243	1715	1077301
372	517	315	288	78490	755	16362	35556771
64	54	97	86	2993025	60060	266808	423279968
590	561	481	483	14287	582	5371	8041499
546	491	535	587	21179	839	3759	4039772
484	530	367	297	34149	699	11456	32312629
233	459	197	241	224133	996	50505	54162122
165	129	162	190	542233	11829	78055	96220225
205	246	265	399	320719	3596	25814	13713840
162	216	155	117	556084	4500	92260	227096691
845	843	843	823	102	27	65	75870
275	313	360	407	155452	2125	11888	12659432
753	770	754	744	1076	93	434	658644
99	101	122	95	1753606	19027	150696	357671843
350	158	344	301	92816	7521	12810	30817327
81	92	93	68	2209722	21377	287226	701107637
745	710	738	736	1290	211	590	879825
642	656	680	647	8990	282	1409	2387560
724	680	708	700	2127	256	936	1245889
542	664	402	321	21956	272	9006	24525926
490	610	454	503	33367	390	6397	6948932
37	36	64	37	6822156	258108	475614	2041779279
643	416	637	520	8799	1204	1885	6187884
606	591	551	466	12639	448	3372	8997610
373	239	374	324	77852	3705	10671	24463121
645	528	600	302	8558	704	2561	30634526
117	141	43	84	1033800	9599	863397	450255036
211	147	274	289	285657	8697	24292	35338076
797	820	779	771	293	37	233	375166
521	431	638	651	26193	1137	1882	2360512
850	839	848	853	85	29	55	32020
806	843	784	775	247	27	218	364685
424	460	378	294	51670	994	10383	33396418
499	399	620	644	31152	1289	2143	2463054
854	843	848	847	77	27	55	39861
851	828	847	858	84	34	57	28988
817	805	818	813	191	43	87	100230
88	76	70	48	1943296	32944	441184	1348304815
652	599	538	485	7507	423	3691	7992739
224	498	109	58	250872	828	197288	829091529
568	574	441	445	16863	534	6988	10601763
307	254	324	223	119762	3192	15240	66714674
827	839	826	825	143	29	78	69001
812	843	795	776	208	27	171	360719
136	268	183	203	749358	2871	57813	83454917
102	107	143	148	1651382	16771	115662	144367871
481	345	505	437	35432	1680	4357	10912308
719	711	728	748	2599	209	711	601926
363	656	220	247	84584	282	39078	49909797
241	418	213	340	208806	1188	42047	22063406
78	57	85	83	2354320	55839	339894	459633883
712	660	703	715	2976	280	1037	1037799
557	631	525	684	18714	332	3978	1631750
423	305	423	461	51776	2180	7822	9364807
646	591	561	379	8314	448	3063	15945206
428	588	373	509	50891	451	10831	6659275
256	463	303	421	184667	979	18280	11696511
469	415	456	384	38261	1205	6286	15443767
24	32	34	25	16130863	279305	1254421	3241175377
444	332	447	374	46469	1865	6676	16484063
655	775	692	686	6848	79	1239	1619057
369	480	381	378	79054	901	10367	15991646
406	357	462	413	59717	1631	6084	12098194
358	423	227	257	88857	1160	36754	46756049
150	259	113	237	664803	3059	177532	57280329
432	321	493	458	50366	1985	4955	9522623
452	394	406	512	43979	1346	8705	6632591
36	181	15	15	7652284	5836	4032434	7090085418
118	292	127	78	1013857	2373	136828	525127636
771	745	791	786	633	143	204	261921
504	391	564	477	29947	1390	3051	8330977
180	621	111	256	444207	358	195392	47025769
603	470	624	585	13101	939	2094	4118861
836	825	846	836	125	35	61	50454
843	810	838	851	104	40	68	33579
569	478	629	665	16761	906	2011	2052537
183	174	150	171	429079	6406	100659	113055180
815	861	826	860	193	12	78	25015
3	11	1	3	176394761	1416876	43124816	32908846246
