"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AGRSUPP","TSE","PC_GDP","A","1986",0.83,
"AUS","AGRSUPP","TSE","PC_GDP","A","1987",0.61,
"AUS","AGRSUPP","TSE","PC_GDP","A","1988",0.56,
"AUS","AGRSUPP","TSE","PC_GDP","A","1989",0.48,
"AUS","AGRSUPP","TSE","PC_GDP","A","1990",0.44,
"AUS","AGRSUPP","TSE","PC_GDP","A","1991",0.49,
"AUS","AGRSUPP","TSE","PC_GDP","A","1992",0.55,
"AUS","AGRSUPP","TSE","PC_GDP","A","1993",0.53,
"AUS","AGRSUPP","TSE","PC_GDP","A","1994",0.48,
"AUS","AGRSUPP","TSE","PC_GDP","A","1995",0.44,
"AUS","AGRSUPP","TSE","PC_GDP","A","1996",0.41,
"AUS","AGRSUPP","TSE","PC_GDP","A","1997",0.33,
"AUS","AGRSUPP","TSE","PC_GDP","A","1998",0.32,
"AUS","AGRSUPP","TSE","PC_GDP","A","1999",0.26,
"AUS","AGRSUPP","TSE","PC_GDP","A","2000",0.22,
"AUS","AGRSUPP","TSE","PC_GDP","A","2001",0.23,
"AUS","AGRSUPP","TSE","PC_GDP","A","2002",0.26,
"AUS","AGRSUPP","TSE","PC_GDP","A","2003",0.22,
"AUS","AGRSUPP","TSE","PC_GDP","A","2004",0.21,
"AUS","AGRSUPP","TSE","PC_GDP","A","2005",0.22,
"AUS","AGRSUPP","TSE","PC_GDP","A","2006",0.22,
"AUS","AGRSUPP","TSE","PC_GDP","A","2007",0.24,
"AUS","AGRSUPP","TSE","PC_GDP","A","2008",0.2,
"AUS","AGRSUPP","TSE","PC_GDP","A","2009",0.14,
"AUS","AGRSUPP","TSE","PC_GDP","A","2010",0.16,
"AUS","AGRSUPP","TSE","PC_GDP","A","2011",0.17,
"AUS","AGRSUPP","TSE","PC_GDP","A","2012",0.13,
"AUS","AGRSUPP","TSE","PC_GDP","A","2013",0.14,
"AUS","AGRSUPP","TSE","PC_GDP","A","2014",0.12,
"AUS","AGRSUPP","TSE","PC_GDP","A","2015",0.12,
"AUS","AGRSUPP","PSE","PC_GFARM","A","1986",12.88,
"AUS","AGRSUPP","PSE","PC_GFARM","A","1987",9.11,
"AUS","AGRSUPP","PSE","PC_GFARM","A","1988",8.3,
"AUS","AGRSUPP","PSE","PC_GFARM","A","1989",7.54,
"AUS","AGRSUPP","PSE","PC_GFARM","A","1990",7.92,
"AUS","AGRSUPP","PSE","PC_GFARM","A","1991",8.76,
