"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AGRPNPC","TOT","RT","A","1986",1.11,
"AUS","AGRPNPC","TOT","RT","A","1987",1.06,
"AUS","AGRPNPC","TOT","RT","A","1988",1.06,
"AUS","AGRPNPC","TOT","RT","A","1989",1.05,
"AUS","AGRPNPC","TOT","RT","A","1990",1.06,
"AUS","AGRPNPC","TOT","RT","A","1991",1.07,
"AUS","AGRPNPC","TOT","RT","A","1992",1.07,
"AUS","AGRPNPC","TOT","RT","A","1993",1.07,
"AUS","AGRPNPC","TOT","RT","A","1994",1.06,
"AUS","AGRPNPC","TOT","RT","A","1995",1.03,
"AUS","AGRPNPC","TOT","RT","A","1996",1.03,
"AUS","AGRPNPC","TOT","RT","A","1997",1.02,
"AUS","AGRPNPC","TOT","RT","A","1998",1.03,
"AUS","AGRPNPC","TOT","RT","A","1999",1.02,
"AUS","AGRPNPC","TOT","RT","A","2000",1,
"AUS","AGRPNPC","TOT","RT","A","2001",1,
"AUS","AGRPNPC","TOT","RT","A","2002",1,
"AUS","AGRPNPC","TOT","RT","A","2003",1,
"AUS","AGRPNPC","TOT","RT","A","2004",1,
"AUS","AGRPNPC","TOT","RT","A","2005",1,
"AUS","AGRPNPC","TOT","RT","A","2006",1,
"AUS","AGRPNPC","TOT","RT","A","2007",1,
"AUS","AGRPNPC","TOT","RT","A","2008",1,
"AUS","AGRPNPC","TOT","RT","A","2009",1,
"AUS","AGRPNPC","TOT","RT","A","2010",1,
"AUS","AGRPNPC","TOT","RT","A","2011",1,
"AUS","AGRPNPC","TOT","RT","A","2012",1,
"AUS","AGRPNPC","TOT","RT","A","2013",1,
"AUS","AGRPNPC","TOT","RT","A","2014",1,
"AUS","AGRPNPC","TOT","RT","A","2015",1,
"CAN","AGRPNPC","TOT","RT","A","1986",1.4,
"CAN","AGRPNPC","TOT","RT","A","1987",1.45,
"CAN","AGRPNPC","TOT","RT","A","1988",1.3,
"CAN","AGRPNPC","TOT","RT","A","1989",1.26,
"CAN","AGRPNPC","TOT","RT","A","1990",1.35,
"CAN","AGRPNPC","TOT","RT","A","1991",1.33,
"CAN","AGRPNPC","TOT","RT","A","1992",1.27,
"CAN","AGRPNPC","TOT","RT","A","1993",1.23,
"CAN","AGRPNPC","TOT","RT","A","1994",1.19,
"CAN","AGRPNPC","TOT","RT","A","1995",1.11,
"CAN","AGRPNPC","TOT","RT","A","1996",1.09,
"CAN","AGRPNPC","TOT","RT","A","1997",1.1,
"CAN","AGRPNPC","TOT","RT","A","1998",1.11,
"CAN","AGRPNPC","TOT","RT","A","1999",1.11,
"CAN","AGRPNPC","TOT","RT","A","2000",1.12,
"CAN","AGRPNPC","TOT","RT","A","2001",1.07,
"CAN","AGRPNPC","TOT","RT","A","2002",1.11,
"CAN","AGRPNPC","TOT","RT","A","2003",1.14,
"CAN","AGRPNPC","TOT","RT","A","2004",1.1,
"CAN","AGRPNPC","TOT","RT","A","2005",1.11,
"CAN","AGRPNPC","TOT","RT","A","2006",1.14,
"CAN","AGRPNPC","TOT","RT","A","2007",1.07,
"CAN","AGRPNPC","TOT","RT","A","2008",1.06,
"CAN","AGRPNPC","TOT","RT","A","2009",1.11,
"CAN","AGRPNPC","TOT","RT","A","2010",1.11,
"CAN","AGRPNPC","TOT","RT","A","2011",1.1,
"CAN","AGRPNPC","TOT","RT","A","2012",1.1,
"CAN","AGRPNPC","TOT","RT","A","2013",1.07,
"CAN","AGRPNPC","TOT","RT","A","2014",1.06,
"CAN","AGRPNPC","TOT","RT","A","2015",1.06,
"ISL","AGRPNPC","TOT","RT","A","1986",3.94,
"ISL","AGRPNPC","TOT","RT","A","1987",4.92,
"ISL","AGRPNPC","TOT","RT","A","1988",3.77,
"ISL","AGRPNPC","TOT","RT","A","1989",3.25,
"ISL","AGRPNPC","TOT","RT","A","1990",3.43,
"ISL","AGRPNPC","TOT","RT","A","1991",4.24,
"ISL","AGRPNPC","TOT","RT","A","1992",3.39,
"ISL","AGRPNPC","TOT","RT","A","1993",2.99,
"ISL","AGRPNPC","TOT","RT","A","1994",2.61,
"ISL","AGRPNPC","TOT","RT","A","1995",2.46,
"ISL","AGRPNPC","TOT","RT","A","1996",2.21,
"ISL","AGRPNPC","TOT","RT","A","1997",2.28,
"ISL","AGRPNPC","TOT","RT","A","1998",3.28,
"ISL","AGRPNPC","TOT","RT","A","1999",3.45,
"ISL","AGRPNPC","TOT","RT","A","2000",3.05,
"ISL","AGRPNPC","TOT","RT","A","2001",2.33,
"ISL","AGRPNPC","TOT","RT","A","2002",2.71,
"ISL","AGRPNPC","TOT","RT","A","2003",2.55,
"ISL","AGRPNPC","TOT","RT","A","2004",2.59,
"ISL","AGRPNPC","TOT","RT","A","2005",2.71,
"ISL","AGRPNPC","TOT","RT","A","2006",2.53,
"ISL","AGRPNPC","TOT","RT","A","2007",1.95,
"ISL","AGRPNPC","TOT","RT","A","2008",1.73,
"ISL","AGRPNPC","TOT","RT","A","2009",1.68,
"ISL","AGRPNPC","TOT","RT","A","2010",1.54,
"ISL","AGRPNPC","TOT","RT","A","2011",1.56,
"ISL","AGRPNPC","TOT","RT","A","2012",1.63,
"ISL","AGRPNPC","TOT","RT","A","2013",1.5,
"ISL","AGRPNPC","TOT","RT","A","2014",1.75,
"ISL","AGRPNPC","TOT","RT","A","2015",2.02,
"JPN","AGRPNPC","TOT","RT","A","1986",2.73,
"JPN","AGRPNPC","TOT","RT","A","1987",2.68,
"JPN","AGRPNPC","TOT","RT","A","1988",2.52,
"JPN","AGRPNPC","TOT","RT","A","1989",2.21,
"JPN","AGRPNPC","TOT","RT","A","1990",1.98,
"JPN","AGRPNPC","TOT","RT","A","1991",1.99,
"JPN","AGRPNPC","TOT","RT","A","1992",2.23,
"JPN","AGRPNPC","TOT","RT","A","1993",2.26,
"JPN","AGRPNPC","TOT","RT","A","1994",2.59,
"JPN","AGRPNPC","TOT","RT","A","1995",2.54,
"JPN","AGRPNPC","TOT","RT","A","1996",2.28,
"JPN","AGRPNPC","TOT","RT","A","1997",2.09,
"JPN","AGRPNPC","TOT","RT","A","1998",2.3,
"JPN","AGRPNPC","TOT","RT","A","1999",2.4,
"JPN","AGRPNPC","TOT","RT","A","2000",2.38,
"JPN","AGRPNPC","TOT","RT","A","2001",2.2,
"JPN","AGRPNPC","TOT","RT","A","2002",2.24,
"JPN","AGRPNPC","TOT","RT","A","2003",2.26,
"JPN","AGRPNPC","TOT","RT","A","2004",2.19,
"JPN","AGRPNPC","TOT","RT","A","2005",2.08,
"JPN","AGRPNPC","TOT","RT","A","2006",1.98,
"JPN","AGRPNPC","TOT","RT","A","2007",1.77,
"JPN","AGRPNPC","TOT","RT","A","2008",1.83,
"JPN","AGRPNPC","TOT","RT","A","2009",1.83,
"JPN","AGRPNPC","TOT","RT","A","2010",2.01,
"JPN","AGRPNPC","TOT","RT","A","2011",1.85,
"JPN","AGRPNPC","TOT","RT","A","2012",2.05,
"JPN","AGRPNPC","TOT","RT","A","2013",1.92,
"JPN","AGRPNPC","TOT","RT","A","2014",1.82,
"JPN","AGRPNPC","TOT","RT","A","2015",1.61,
"KOR","AGRPNPC","TOT","RT","A","1986",2.8,
"KOR","AGRPNPC","TOT","RT","A","1987",3.17,
"KOR","AGRPNPC","TOT","RT","A","1988",4.07,
"KOR","AGRPNPC","TOT","RT","A","1989",4.01,
"KOR","AGRPNPC","TOT","RT","A","1990",3.78,
"KOR","AGRPNPC","TOT","RT","A","1991",3.74,
"KOR","AGRPNPC","TOT","RT","A","1992",3.5,
"KOR","AGRPNPC","TOT","RT","A","1993",3.52,
"KOR","AGRPNPC","TOT","RT","A","1994",3.55,
"KOR","AGRPNPC","TOT","RT","A","1995",3.53,
"KOR","AGRPNPC","TOT","RT","A","1996",2.73,
"KOR","AGRPNPC","TOT","RT","A","1997",2.64,
"KOR","AGRPNPC","TOT","RT","A","1998",2.24,
"KOR","AGRPNPC","TOT","RT","A","1999",2.8,
"KOR","AGRPNPC","TOT","RT","A","2000",2.86,
"KOR","AGRPNPC","TOT","RT","A","2001",2.28,
"KOR","AGRPNPC","TOT","RT","A","2002",2.37,
"KOR","AGRPNPC","TOT","RT","A","2003",2.19,
"KOR","AGRPNPC","TOT","RT","A","2004",2.47,
"KOR","AGRPNPC","TOT","RT","A","2005",2.3,
"KOR","AGRPNPC","TOT","RT","A","2006",2.26,
"KOR","AGRPNPC","TOT","RT","A","2007",2.16,
"KOR","AGRPNPC","TOT","RT","A","2008",1.73,
"KOR","AGRPNPC","TOT","RT","A","2009",1.95,
"KOR","AGRPNPC","TOT","RT","A","2010",1.7,
"KOR","AGRPNPC","TOT","RT","A","2011",2.02,
"KOR","AGRPNPC","TOT","RT","A","2012",1.94,
"KOR","AGRPNPC","TOT","RT","A","2013",1.96,
"KOR","AGRPNPC","TOT","RT","A","2014",1.9,
"KOR","AGRPNPC","TOT","RT","A","2015",1.87,
"MEX","AGRPNPC","TOT","RT","A","1991",1.3,
"MEX","AGRPNPC","TOT","RT","A","1992",1.35,
"MEX","AGRPNPC","TOT","RT","A","1993",1.36,
"MEX","AGRPNPC","TOT","RT","A","1994",1.16,
"MEX","AGRPNPC","TOT","RT","A","1995",0.91,
"MEX","AGRPNPC","TOT","RT","A","1996",0.98,
"MEX","AGRPNPC","TOT","RT","A","1997",1.1,
"MEX","AGRPNPC","TOT","RT","A","1998",1.15,
"MEX","AGRPNPC","TOT","RT","A","1999",1.16,
"MEX","AGRPNPC","TOT","RT","A","2000",1.23,
"MEX","AGRPNPC","TOT","RT","A","2001",1.14,
"MEX","AGRPNPC","TOT","RT","A","2002",1.28,
"MEX","AGRPNPC","TOT","RT","A","2003",1.12,
"MEX","AGRPNPC","TOT","RT","A","2004",1.05,
"MEX","AGRPNPC","TOT","RT","A","2005",1.05,
"MEX","AGRPNPC","TOT","RT","A","2006",1.05,
"MEX","AGRPNPC","TOT","RT","A","2007",1.04,
"MEX","AGRPNPC","TOT","RT","A","2008",1.03,
"MEX","AGRPNPC","TOT","RT","A","2009",1.04,
"MEX","AGRPNPC","TOT","RT","A","2010",1.04,
"MEX","AGRPNPC","TOT","RT","A","2011",1.03,
"MEX","AGRPNPC","TOT","RT","A","2012",1.04,
"MEX","AGRPNPC","TOT","RT","A","2013",1.03,
"MEX","AGRPNPC","TOT","RT","A","2014",1.01,
"MEX","AGRPNPC","TOT","RT","A","2015",1.01,
"NZL","AGRPNPC","TOT","RT","A","1986",1.02,
"NZL","AGRPNPC","TOT","RT","A","1987",1.01,
"NZL","AGRPNPC","TOT","RT","A","1988",1,
"NZL","AGRPNPC","TOT","RT","A","1989",1,
"NZL","AGRPNPC","TOT","RT","A","1990",1,
"NZL","AGRPNPC","TOT","RT","A","1991",1,
"NZL","AGRPNPC","TOT","RT","A","1992",1,
"NZL","AGRPNPC","TOT","RT","A","1993",1,
"NZL","AGRPNPC","TOT","RT","A","1994",1,
"NZL","AGRPNPC","TOT","RT","A","1995",1,
"NZL","AGRPNPC","TOT","RT","A","1996",1,
"NZL","AGRPNPC","TOT","RT","A","1997",1,
"NZL","AGRPNPC","TOT","RT","A","1998",1,
"NZL","AGRPNPC","TOT","RT","A","1999",1,
"NZL","AGRPNPC","TOT","RT","A","2000",1,
"NZL","AGRPNPC","TOT","RT","A","2001",1,
"NZL","AGRPNPC","TOT","RT","A","2002",1,
"NZL","AGRPNPC","TOT","RT","A","2003",1,
"NZL","AGRPNPC","TOT","RT","A","2004",1,
"NZL","AGRPNPC","TOT","RT","A","2005",1,
"NZL","AGRPNPC","TOT","RT","A","2006",1,
"NZL","AGRPNPC","TOT","RT","A","2007",1,
"NZL","AGRPNPC","TOT","RT","A","2008",1,
"NZL","AGRPNPC","TOT","RT","A","2009",1,
"NZL","AGRPNPC","TOT","RT","A","2010",1,
"NZL","AGRPNPC","TOT","RT","A","2011",1,
"NZL","AGRPNPC","TOT","RT","A","2012",1,
"NZL","AGRPNPC","TOT","RT","A","2013",1,
"NZL","AGRPNPC","TOT","RT","A","2014",1,
"NZL","AGRPNPC","TOT","RT","A","2015",1,
"NOR","AGRPNPC","TOT","RT","A","1986",4.16,
"NOR","AGRPNPC","TOT","RT","A","1987",4.33,
"NOR","AGRPNPC","TOT","RT","A","1988",3.73,
"NOR","AGRPNPC","TOT","RT","A","1989",3.09,
"NOR","AGRPNPC","TOT","RT","A","1990",3.98,
"NOR","AGRPNPC","TOT","RT","A","1991",4.17,
"NOR","AGRPNPC","TOT","RT","A","1992",3.51,
"NOR","AGRPNPC","TOT","RT","A","1993",3.3,
"NOR","AGRPNPC","TOT","RT","A","1994",3.16,
"NOR","AGRPNPC","TOT","RT","A","1995",2.42,
"NOR","AGRPNPC","TOT","RT","A","1996",2.45,
"NOR","AGRPNPC","TOT","RT","A","1997",2.62,
"NOR","AGRPNPC","TOT","RT","A","1998",3.16,
"NOR","AGRPNPC","TOT","RT","A","1999",3.24,
"NOR","AGRPNPC","TOT","RT","A","2000",2.46,
