"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AQUAPROD","TOT","TONNE","A","1995",24009,
"AUS","AQUAPROD","TOT","TONNE","A","1996",26351,
"AUS","AQUAPROD","TOT","TONNE","A","1997",26637,
"AUS","AQUAPROD","TOT","TONNE","A","1998",28339,
"AUS","AQUAPROD","TOT","TONNE","A","1999",34121.9,
"AUS","AQUAPROD","TOT","TONNE","A","2000",36994.3,
"AUS","AQUAPROD","TOT","TONNE","A","2001",39981.2,
"AUS","AQUAPROD","TOT","TONNE","A","2002",43641.4,
"AUS","AQUAPROD","TOT","TONNE","A","2003",44018,
"AUS","AQUAPROD","TOT","TONNE","A","2004",49146.1,
"AUS","AQUAPROD","TOT","TONNE","A","2005",46616.9,
"AUS","AQUAPROD","TOT","TONNE","A","2006",61147,
"AUS","AQUAPROD","TOT","TONNE","A","2007",64032,
"AUS","AQUAPROD","TOT","TONNE","A","2008",70092,
"AUS","AQUAPROD","TOT","TONNE","A","2009",70121.7,
"AUS","AQUAPROD","TOT","TONNE","A","2010",71977.39,
"AUS","AQUAPROD","TOT","TONNE","A","2011",68631.89,
"AUS","AQUAPROD","TOT","TONNE","A","2012",81832.7,
"AUS","AQUAPROD","TOT","TONNE","A","2013",80065.5,
"AUS","AQUAPROD","TOT","TONNE","A","2014",74913.5,
"AUS","AQUAPROD","TOT","USD","A","1995",289339911.044,
"AUS","AQUAPROD","TOT","USD","A","1996",299821471.426,
"AUS","AQUAPROD","TOT","USD","A","1997",290868791.959,
"AUS","AQUAPROD","TOT","USD","A","1998",316692918.199,
"AUS","AQUAPROD","TOT","USD","A","1999",390540807.236,
"AUS","AQUAPROD","TOT","USD","A","2000",368911064.296,
"AUS","AQUAPROD","TOT","USD","A","2001",337230692.369,
"AUS","AQUAPROD","TOT","USD","A","2002",362379064.341,
"AUS","AQUAPROD","TOT","USD","A","2003",478331703.876,
"AUS","AQUAPROD","TOT","USD","A","2004",533089354.499,
"AUS","AQUAPROD","TOT","USD","A","2005",482984342.321,
"AUS","AQUAPROD","TOT","USD","A","2006",606980092.056,
"AUS","AQUAPROD","TOT","USD","A","2007",727519669.292,
"AUS","AQUAPROD","TOT","USD","A","2008",724137429.863,
"AUS","AQUAPROD","TOT","USD","A","2009",675978946.991,
"AUS","AQUAPROD","TOT","USD","A","2010",805007249.782,
"AUS","AQUAPROD","TOT","USD","A","2011",1030394526.399,
"AUS","AQUAPROD","TOT","USD","A","2012",1075863250.518,
"AUS","AQUAPROD","TOT","USD","A","2013",992909519.231,
"AUS","AQUAPROD","TOT","USD","A","2014",903956545.455,
"AUT","AQUAPROD","TOT","TONNE","A","1995",4058,
"AUT","AQUAPROD","TOT","TONNE","A","1996",4070,
"AUT","AQUAPROD","TOT","USD","A","1995",1104.161,
"AUT","AQUAPROD","TOT","USD","A","1996",1051.296,
"BEL","AQUAPROD","TOT","TONNE","A","1995",1852,
"BEL","AQUAPROD","TOT","TONNE","A","1996",1752,
"BEL","AQUAPROD","TOT","TONNE","A","2000",1630,
"BEL","AQUAPROD","TOT","TONNE","A","2001",1630,
"BEL","AQUAPROD","TOT","TONNE","A","2002",2000,
"BEL","AQUAPROD","TOT","TONNE","A","2007",128,
"BEL","AQUAPROD","TOT","TONNE","A","2008",126,
"BEL","AQUAPROD","TOT","USD","A","1995",4508.561,
"BEL","AQUAPROD","TOT","USD","A","1996",4288.879,
"BEL","AQUAPROD","TOT","USD","A","2007",403074.434,
"BEL","AQUAPROD","TOT","USD","A","2008",291206.349,
"CAN","AQUAPROD","TOT","TONNE","A","1995",66296,
"CAN","AQUAPROD","TOT","TONNE","A","1996",71191,
"CAN","AQUAPROD","TOT","TONNE","A","1997",81999,
"CAN","AQUAPROD","TOT","TONNE","A","1998",92032,
"CAN","AQUAPROD","TOT","TONNE","A","1999",113228,
"CAN","AQUAPROD","TOT","TONNE","A","2000",127158,
"CAN","AQUAPROD","TOT","TONNE","A","2001",154069,
"CAN","AQUAPROD","TOT","TONNE","A","2002",171796,
"CAN","AQUAPROD","TOT","TONNE","A","2003",155634,
"CAN","AQUAPROD","TOT","TONNE","A","2004",145018,
"CAN","AQUAPROD","TOT","TONNE","A","2005",154479,
"CAN","AQUAPROD","TOT","TONNE","A","2006",171629,
"CAN","AQUAPROD","TOT","TONNE","A","2007",153061,
"CAN","AQUAPROD","TOT","TONNE","A","2008",144671,
"CAN","AQUAPROD","TOT","TONNE","A","2009",142908,
"CAN","AQUAPROD","TOT","TONNE","A","2010",150121,
"CAN","AQUAPROD","TOT","TONNE","A","2011",148772,
"CAN","AQUAPROD","TOT","TONNE","A","2012",157226,
"CAN","AQUAPROD","TOT","USD","A","1995",249237007.158,
"CAN","AQUAPROD","TOT","USD","A","1996",259309878.787,
"CAN","AQUAPROD","TOT","USD","A","1997",278518231.309,
"CAN","AQUAPROD","TOT","USD","A","1998",292228455.811,
"CAN","AQUAPROD","TOT","USD","A","1999",375624342.336,
"CAN","AQUAPROD","TOT","USD","A","2000",403768467.979,
"CAN","AQUAPROD","TOT","USD","A","2001",391042031.57,
"CAN","AQUAPROD","TOT","USD","A","2002",400175373.526,
"CAN","AQUAPROD","TOT","USD","A","2003",418138837.375,
"CAN","AQUAPROD","TOT","USD","A","2004",398231008.897,
"CAN","AQUAPROD","TOT","USD","A","2005",583183858.898,
"CAN","AQUAPROD","TOT","USD","A","2006",797479255.178,
"CAN","AQUAPROD","TOT","USD","A","2007",708886853.86,
"CAN","AQUAPROD","TOT","USD","A","2008",694088376.865,
"CAN","AQUAPROD","TOT","USD","A","2009",626497465.805,
"CAN","AQUAPROD","TOT","USD","A","2010",799285654.373,
"CAN","AQUAPROD","TOT","USD","A","2011",739568096.612,
"CAN","AQUAPROD","TOT","USD","A","2012",731611611.612,
"CZE","AQUAPROD","TOT","TONNE","A","1995",18509,
"CZE","AQUAPROD","TOT","TONNE","A","1996",18127,
"CZE","AQUAPROD","TOT","TONNE","A","1997",17446,
"CZE","AQUAPROD","TOT","TONNE","A","1999",18775,
"CZE","AQUAPROD","TOT","TONNE","A","2000",19475,
"CZE","AQUAPROD","TOT","TONNE","A","2001",20098,
"CZE","AQUAPROD","TOT","TONNE","A","2002",19210,
"CZE","AQUAPROD","TOT","TONNE","A","2003",19670,
"CZE","AQUAPROD","TOT","TONNE","A","2004",19384,
"CZE","AQUAPROD","TOT","TONNE","A","2005",20455,
"CZE","AQUAPROD","TOT","TONNE","A","2006",20431,
"CZE","AQUAPROD","TOT","TONNE","A","2007",20447,
"CZE","AQUAPROD","TOT","TONNE","A","2008",20395,
"CZE","AQUAPROD","TOT","TONNE","A","2009",20071,
"CZE","AQUAPROD","TOT","TONNE","A","2010",20420,
"CZE","AQUAPROD","TOT","TONNE","A","2011",21010,
"CZE","AQUAPROD","TOT","TONNE","A","2012",20763,
"CZE","AQUAPROD","TOT","TONNE","A","2013",19358,
"CZE","AQUAPROD","TOT","TONNE","A","2014",20135,
"CZE","AQUAPROD","TOT","USD","A","1995",1175185.506,
"CZE","AQUAPROD","TOT","USD","A","1996",1311717.434,
"CZE","AQUAPROD","TOT","USD","A","1997",1225383.929,
"CZE","AQUAPROD","TOT","USD","A","1999",28289284.869,
"CZE","AQUAPROD","TOT","USD","A","2000",23479551.437,
"CZE","AQUAPROD","TOT","USD","A","2001",24646070.526,
"CZE","AQUAPROD","TOT","USD","A","2002",27359464.75,
"CZE","AQUAPROD","TOT","USD","A","2003",38588067.941,
"CZE","AQUAPROD","TOT","USD","A","2004",41688172.844,
"CZE","AQUAPROD","TOT","USD","A","2005",47469187.442,
"CZE","AQUAPROD","TOT","USD","A","2006",51055110.666,
"CZE","AQUAPROD","TOT","USD","A","2007",56681055.823,
"CZE","AQUAPROD","TOT","USD","A","2008",67397170.158,
"CZE","AQUAPROD","TOT","USD","A","2009",59368723.016,
"CZE","AQUAPROD","TOT","USD","A","2010",60169270.849,
"CZE","AQUAPROD","TOT","USD","A","2011",66601682.157,
"CZE","AQUAPROD","TOT","USD","A","2012",81193110.861,
"CZE","AQUAPROD","TOT","USD","A","2013",56909485.954,
