"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FISHSUPP","TOT","USD","A","2005",38420494.48,
"AUS","FISHSUPP","TOT","USD","A","2006",45771980.357,
"AUS","FISHSUPP","TOT","USD","A","2007",57954314.297,
"AUS","FISHSUPP","TOT","USD","A","2008",66958630.855,
"AUS","FISHSUPP","TOT","USD","A","2009",26962337.446,
"AUS","FISHSUPP","TOT","USD","A","2010",32015024.433,
"AUS","FISHSUPP","TOT","USD","A","2011",18718757.642,
"AUS","FISHSUPP","TOT","USD","A","2012",14247412.008,
"AUS","FISHSUPP","TOT","USD","A","2013",14250961.538,
"AUS","FISHSUPP","TOT","USD","A","2014",17780909.091,
"BEL","FISHSUPP","TOT","USD","A","2006",7757024.675,
"BEL","FISHSUPP","TOT","USD","A","2007",6061722.569,
"BEL","FISHSUPP","TOT","USD","A","2008",4988432.89,
"BEL","FISHSUPP","TOT","USD","A","2009",14484295.215,
"BEL","FISHSUPP","TOT","USD","A","2010",14066535.694,
"BEL","FISHSUPP","TOT","USD","A","2011",5305914.468,
"BEL","FISHSUPP","TOT","USD","A","2012",6559658.985,
"BEL","FISHSUPP","TOT","USD","A","2013",5780484.011,
"CAN","FISHSUPP","TOT","USD","A","2001",521892258.863,
"CAN","FISHSUPP","TOT","USD","A","2002",497759083.242,
"CAN","FISHSUPP","TOT","USD","A","2003",553787022.639,
"CAN","FISHSUPP","TOT","USD","A","2004",580665167.488,
"CAN","FISHSUPP","TOT","USD","A","2005",595447549.085,
"CAN","FISHSUPP","TOT","USD","A","2006",631552288.181,
"CAN","FISHSUPP","TOT","USD","A","2007",677387114.205,
"CAN","FISHSUPP","TOT","USD","A","2008",700845545.187,
"CAN","FISHSUPP","TOT","USD","A","2009",745800858.083,
"CAN","FISHSUPP","TOT","USD","A","2010",869946510.967,
"CZE","FISHSUPP","TOT","USD","A","2006",4560624.393,
"CZE","FISHSUPP","TOT","USD","A","2007",9569376.253,
"CZE","FISHSUPP","TOT","USD","A","2008",29233678.899,
"CZE","FISHSUPP","TOT","USD","A","2009",36870709.266,
"CZE","FISHSUPP","TOT","USD","A","2010",28978807.562,
"CZE","FISHSUPP","TOT","USD","A","2011",46196461.299,
"CZE","FISHSUPP","TOT","USD","A","2012",29317384.021,
"CZE","FISHSUPP","TOT","USD","A","2013",23021819.585,
"CZE","FISHSUPP","TOT","USD","A","2014",10192260.553,
"DNK","FISHSUPP","TOT","USD","A","2004",92528705.148,
"DNK","FISHSUPP","TOT","USD","A","2005",79029407.551,
"DNK","FISHSUPP","TOT","USD","A","2006",113100806.054,
"DNK","FISHSUPP","TOT","USD","A","2007",91578248.466,
"DNK","FISHSUPP","TOT","USD","A","2008",116180458.855,
"DNK","FISHSUPP","TOT","USD","A","2009",109556316.987,
"DNK","FISHSUPP","TOT","USD","A","2010",115119584.347,
"DNK","FISHSUPP","TOT","USD","A","2011",134149591.185,
"DNK","FISHSUPP","TOT","USD","A","2012",134362165.976,
"DNK","FISHSUPP","TOT","USD","A","2013",140495898.216,
"DNK","FISHSUPP","TOT","USD","A","2014",110994787.814,
"FIN","FISHSUPP","TOT","USD","A","2004",25441240.561,
"FIN","FISHSUPP","TOT","USD","A","2005",29606638.997,
"FIN","FISHSUPP","TOT","USD","A","2006",23399346.092,
"FIN","FISHSUPP","TOT","USD","A","2007",30194987.926,
