"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AGRLANDAREA","TOT","HA","A","1985",485605.123,
"AUS","AGRLANDAREA","TOT","HA","A","1986",485167.951,
"AUS","AGRLANDAREA","TOT","HA","A","1987",471019.353,
"AUS","AGRLANDAREA","TOT","HA","A","1988",472033.507,
"AUS","AGRLANDAREA","TOT","HA","A","1989",460503.367,
"AUS","AGRLANDAREA","TOT","HA","A","1990",464026.542,
"AUS","AGRLANDAREA","TOT","HA","A","1991",462763.419,
"AUS","AGRLANDAREA","TOT","HA","A","1992",465953.494,
"AUS","AGRLANDAREA","TOT","HA","A","1993",460097.296,
"AUS","AGRLANDAREA","TOT","HA","A","1994",469047.583,
"AUS","AGRLANDAREA","TOT","HA","A","1995",463347.33,
"AUS","AGRLANDAREA","TOT","HA","A","1996",465219.561,
"AUS","AGRLANDAREA","TOT","HA","A","1997",466152.069,
"AUS","AGRLANDAREA","TOT","HA","A","1998",463786.276,
"AUS","AGRLANDAREA","TOT","HA","A","1999",453729.393,
"AUS","AGRLANDAREA","TOT","HA","A","2000",455516.1,
"AUS","AGRLANDAREA","TOT","HA","A","2001",455723.262,
"AUS","AGRLANDAREA","TOT","HA","A","2002",447007.342,
"AUS","AGRLANDAREA","TOT","HA","A","2003",439531.447,
"AUS","AGRLANDAREA","TOT","HA","A","2004",440109.576,
"AUS","AGRLANDAREA","TOT","HA","A","2005",445148.801,
"AUS","AGRLANDAREA","TOT","HA","A","2006",434924.815,
"AUS","AGRLANDAREA","TOT","HA","A","2007",425449.339,
"AUS","AGRLANDAREA","TOT","HA","A","2008",417287.559,
"AUS","AGRLANDAREA","TOT","HA","A","2009",409028.751,
"AUS","AGRLANDAREA","TOT","HA","A","2010",397451.002,
"AUS","AGRLANDAREA","TOT","HA","A","2011",391686.179,
"AUS","AGRLANDAREA","TOT","HA","A","2012",405473.623,
"AUS","AGRLANDAREA","TOT","HA","A","2013",396615.288,
"AUT","AGRLANDAREA","TOT","HA","A","1990",3458,
"AUT","AGRLANDAREA","TOT","HA","A","1991",3477,
"AUT","AGRLANDAREA","TOT","HA","A","1992",3467.8,
"AUT","AGRLANDAREA","TOT","HA","A","1993",3448.3,
"AUT","AGRLANDAREA","TOT","HA","A","1994",3449.3,
"AUT","AGRLANDAREA","TOT","HA","A","1999",3384.3,
"AUT","AGRLANDAREA","TOT","HA","A","2000",3380.7,
"AUT","AGRLANDAREA","TOT","HA","A","2001",3374.1,
"AUT","AGRLANDAREA","TOT","HA","A","2002",3373.6,
"AUT","AGRLANDAREA","TOT","HA","A","2003",3374.5,
"AUT","AGRLANDAREA","TOT","HA","A","2004",3368.4,
"AUT","AGRLANDAREA","TOT","HA","A","2005",3262.9,
"AUT","AGRLANDAREA","TOT","HA","A","2006",3239.9,
"AUT","AGRLANDAREA","TOT","HA","A","2007",3238.6,
"AUT","AGRLANDAREA","TOT","HA","A","2008",3171,
"AUT","AGRLANDAREA","TOT","HA","A","2009",3168.6,
"AUT","AGRLANDAREA","TOT","HA","A","2010",3165.8,
"AUT","AGRLANDAREA","TOT","HA","A","2011",2868.15,
"AUT","AGRLANDAREA","TOT","HA","A","2012",2863.58,
"AUT","AGRLANDAREA","TOT","HA","A","2013",2862.44,
"AUT","AGRLANDAREA","TOT","HA","A","2014",2716.16,
"AUT","AGRLANDAREA","TOT","HA","A","2015",2720.4,
"BEL","AGRLANDAREA","TOT","HA","A","1990",1384,
"BEL","AGRLANDAREA","TOT","HA","A","1991",1374.8,
"BEL","AGRLANDAREA","TOT","HA","A","1992",1353.8,
"BEL","AGRLANDAREA","TOT","HA","A","1993",1370.8,
"BEL","AGRLANDAREA","TOT","HA","A","1994",1370.2,
"BEL","AGRLANDAREA","TOT","HA","A","1995",1385.8,
"BEL","AGRLANDAREA","TOT","HA","A","1996",1390.5,
"BEL","AGRLANDAREA","TOT","HA","A","1997",1383,
"BEL","AGRLANDAREA","TOT","HA","A","1998",1390.8,
"BEL","AGRLANDAREA","TOT","HA","A","1999",1393.8,
"BEL","AGRLANDAREA","TOT","HA","A","2000",1395.7,
"BEL","AGRLANDAREA","TOT","HA","A","2001",1390.2,
"BEL","AGRLANDAREA","TOT","HA","A","2002",1392.7,
"BEL","AGRLANDAREA","TOT","HA","A","2003",1392.1,
"BEL","AGRLANDAREA","TOT","HA","A","2004",1393.8,
"BEL","AGRLANDAREA","TOT","HA","A","2005",1385.8,
"BEL","AGRLANDAREA","TOT","HA","A","2006",1382.4,
"BEL","AGRLANDAREA","TOT","HA","A","2007",1370.3,
"BEL","AGRLANDAREA","TOT","HA","A","2008",1373.8,
"BEL","AGRLANDAREA","TOT","HA","A","2009",1365.2,
"BEL","AGRLANDAREA","TOT","HA","A","2010",1358.02,
"BEL","AGRLANDAREA","TOT","HA","A","2011",1337.25,
"BEL","AGRLANDAREA","TOT","HA","A","2012",1333.91,
"BEL","AGRLANDAREA","TOT","HA","A","2013",1338.57,
"BEL","AGRLANDAREA","TOT","HA","A","2014",1333.4,
