"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1985",9303502.741,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1986",9410090.115,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1987",9447021.649,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1988",9391578.378,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1989",9293084.787,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1990",9473892.951,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1991",9712453.846,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1992",9365182.818,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1993",9272978.891,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1994",9783679.666,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1995",9023477.135,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1996",9597530.947,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1997",9751342.163,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1998",9580576.385,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1999",9351626.439,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","2000",9458174.647,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","2001",9216628.686,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","2002",9601585.416,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","2003",7022905.348,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","2004",7147805.852,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","2005",6891110.844,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","2006",7204990.717,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","2007",7172754.241,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","2008",6837186.667,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","2009",6719847.152,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","2010",6665426.798,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","2011",6762047.888,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","2012",7579708.036,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","2013",7324430.345,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1985",467167.144,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1986",504966.614,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1987",568166.997,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1988",547834.254,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1989",548126.096,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1990",474141.958,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1991",526966.591,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1992",516256.248,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1993",489961.479,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1994",585538.418,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1995",515232.626,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1996",569461.501,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1997",613675.006,
