"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GRANT","TOT","MLN_USD","A","1970",113.19458,
"AUS","GRANT","TOT","MLN_USD","A","1971",124.104278,
"AUS","GRANT","TOT","MLN_USD","A","1972",102.562207,
"AUS","GRANT","TOT","MLN_USD","A","1973",96.260471,
"AUS","GRANT","TOT","MLN_USD","A","1974",137.229365,
"AUS","GRANT","TOT","MLN_USD","A","1975",119.33861,
"AUS","GRANT","TOT","MLN_USD","A","1976",124.61149,
"AUS","GRANT","TOT","MLN_USD","A","1977",121.214411,
"AUS","GRANT","TOT","MLN_USD","A","1978",115.648569,
"AUS","GRANT","TOT","MLN_USD","A","1979",138.93586,
"AUS","GRANT","TOT","MLN_USD","A","1980",100.190839,
"AUS","GRANT","TOT","MLN_USD","A","1981",81.300162,
"AUS","GRANT","TOT","MLN_USD","A","1982",77.081281,
"AUS","GRANT","TOT","MLN_USD","A","1983",76.72058,
"AUS","GRANT","TOT","MLN_USD","A","1984",94.337493,
"AUS","GRANT","TOT","MLN_USD","A","1985",143.343034,
"AUS","GRANT","TOT","MLN_USD","A","1986",106.256659,
"AUS","GRANT","TOT","MLN_USD","A","1987",95.018043,
"AUS","GRANT","TOT","MLN_USD","A","1988",88.391317,
"AUS","GRANT","TOT","MLN_USD","A","1989",87.802555,
"AUS","GRANT","TOT","MLN_USD","A","1990",96.739969,
"AUS","GRANT","TOT","MLN_USD","A","1991",173.867437,
"AUS","GRANT","TOT","MLN_USD","A","1992",114.638786,
"AUS","GRANT","TOT","MLN_USD","A","1993",179.289818,
"AUS","GRANT","TOT","MLN_USD","A","1994",133.062596,
"AUS","GRANT","TOT","MLN_USD","A","1995",103.546159,
"AUS","GRANT","TOT","MLN_USD","A","1996",120.35415,
"AUS","GRANT","TOT","MLN_USD","A","1997",249.719367,
"AUS","GRANT","TOT","MLN_USD","A","1998",214.689836,
"AUS","GRANT","TOT","MLN_USD","A","1999",177.922934,
"AUS","GRANT","TOT","MLN_USD","A","2000",299.711756,
"AUS","GRANT","TOT","MLN_USD","A","2001",456.409812,
"AUS","GRANT","TOT","MLN_USD","A","2002",494.805936,
"AUS","GRANT","TOT","MLN_USD","A","2003",545.882214,
"AUS","GRANT","TOT","MLN_USD","A","2004",674.885578,
"AUS","GRANT","TOT","MLN_USD","A","2005",1053.711281,
"AUS","GRANT","TOT","MLN_USD","A","2006",756.133767,
"AUS","GRANT","TOT","MLN_USD","A","2007",694.866258,
"AUS","GRANT","TOT","MLN_USD","A","2008",676.307477,
"AUS","GRANT","TOT","MLN_USD","A","2010",798.613086,
"AUS","GRANT","TOT","MLN_USD","A","2011",1004.289881,
"AUS","GRANT","TOT","MLN_USD","A","2012",1048.274059,
"AUT","GRANT","TOT","MLN_USD","A","1970",30.779945,
"AUT","GRANT","TOT","MLN_USD","A","1971",32.551968,
"AUT","GRANT","TOT","MLN_USD","A","1972",31.323081,
"AUT","GRANT","TOT","MLN_USD","A","1973",47.49833,
"AUT","GRANT","TOT","MLN_USD","A","1974",44.3951,
"AUT","GRANT","TOT","MLN_USD","A","1975",45.071978,
"AUT","GRANT","TOT","MLN_USD","A","1976",43.42596,
"AUT","GRANT","TOT","MLN_USD","A","1977",37.538798,
"AUT","GRANT","TOT","MLN_USD","A","1978",41.945503,
"AUT","GRANT","TOT","MLN_USD","A","1979",40.825196,
"AUT","GRANT","TOT","MLN_USD","A","1980",54.605259,
"AUT","GRANT","TOT","MLN_USD","A","1981",54.107891,
"AUT","GRANT","TOT","MLN_USD","A","1982",41.619657,
"AUT","GRANT","TOT","MLN_USD","A","1983",34.003753,
"AUT","GRANT","TOT","MLN_USD","A","1984",36.842612,
"AUT","GRANT","TOT","MLN_USD","A","1985",54.635592,
"AUT","GRANT","TOT","MLN_USD","A","1986",41.145146,
"AUT","GRANT","TOT","MLN_USD","A","1987",41.683861,
"AUT","GRANT","TOT","MLN_USD","A","1988",40.994301,
"AUT","GRANT","TOT","MLN_USD","A","1989",44.97176,
"AUT","GRANT","TOT","MLN_USD","A","1990",41.831649,
"AUT","GRANT","TOT","MLN_USD","A","1991",73.523344,
"AUT","GRANT","TOT","MLN_USD","A","1992",101.936804,
"AUT","GRANT","TOT","MLN_USD","A","1993",91.615767,
"AUT","GRANT","TOT","MLN_USD","A","1994",45.311892,
"AUT","GRANT","TOT","MLN_USD","A","1995",58.04927,
"AUT","GRANT","TOT","MLN_USD","A","1996",54.313318,
"AUT","GRANT","TOT","MLN_USD","A","1997",43.735132,
"AUT","GRANT","TOT","MLN_USD","A","1998",60.688265,
"AUT","GRANT","TOT","MLN_USD","A","1999",109.784376,
"AUT","GRANT","TOT","MLN_USD","A","2000",99.02662,
"AUT","GRANT","TOT","MLN_USD","A","2001",89.781519,
"AUT","GRANT","TOT","MLN_USD","A","2002",85.384636,
"AUT","GRANT","TOT","MLN_USD","A","2003",87.555719,
"AUT","GRANT","TOT","MLN_USD","A","2004",97.089667,
"AUT","GRANT","TOT","MLN_USD","A","2005",148.799262,
"AUT","GRANT","TOT","MLN_USD","A","2006",123.036477,
"AUT","GRANT","TOT","MLN_USD","A","2007",114.142318,
"AUT","GRANT","TOT","MLN_USD","A","2008",118.869694,
"AUT","GRANT","TOT","MLN_USD","A","2009",122.975072,
"AUT","GRANT","TOT","MLN_USD","A","2010",153.186998,
"AUT","GRANT","TOT","MLN_USD","A","2011",155.909215,
"AUT","GRANT","TOT","MLN_USD","A","2012",238.964747,
"AUT","GRANT","TOT","MLN_USD","A","2013",153.000362,
"AUT","GRANT","TOT","MLN_USD","A","2014",162.910452,
"BEL","GRANT","TOT","MLN_USD","A","1970",95.341646,
"BEL","GRANT","TOT","MLN_USD","A","1971",71.641774,
"BEL","GRANT","TOT","MLN_USD","A","1972",61.012264,
"BEL","GRANT","TOT","MLN_USD","A","1973",63.055604,
"BEL","GRANT","TOT","MLN_USD","A","1974",65.345954,
"BEL","GRANT","TOT","MLN_USD","A","1975",62.875959,
"BEL","GRANT","TOT","MLN_USD","A","1976",69.011741,
"BEL","GRANT","TOT","MLN_USD","A","1977",72.191634,
"BEL","GRANT","TOT","MLN_USD","A","1978",70.23363,
"BEL","GRANT","TOT","MLN_USD","A","1979",81.440473,
"BEL","GRANT","TOT","MLN_USD","A","1980",85.653914,
"BEL","GRANT","TOT","MLN_USD","A","1981",85.728905,
"BEL","GRANT","TOT","MLN_USD","A","1982",83.684512,
"BEL","GRANT","TOT","MLN_USD","A","1983",10.946227,
"BEL","GRANT","TOT","MLN_USD","A","1984",46.67422,
"BEL","GRANT","TOT","MLN_USD","A","1985",66.673138,
"BEL","GRANT","TOT","MLN_USD","A","1986",42.930336,
"BEL","GRANT","TOT","MLN_USD","A","1987",32.195879,
"BEL","GRANT","TOT","MLN_USD","A","1988",28.326215,
"BEL","GRANT","TOT","MLN_USD","A","1989",18.982879,
"BEL","GRANT","TOT","MLN_USD","A","1990",86.171682,
"BEL","GRANT","TOT","MLN_USD","A","1991",40.285463,
"BEL","GRANT","TOT","MLN_USD","A","1992",39.194787,
"BEL","GRANT","TOT","MLN_USD","A","1993",40.19849,
"BEL","GRANT","TOT","MLN_USD","A","1994",65.945945,
"BEL","GRANT","TOT","MLN_USD","A","1995",67.97253,
"BEL","GRANT","TOT","MLN_USD","A","1996",69.095739,
"BEL","GRANT","TOT","MLN_USD","A","1997",53.325308,
"BEL","GRANT","TOT","MLN_USD","A","1998",47.380925,
"BEL","GRANT","TOT","MLN_USD","A","1999",107.423645,
"BEL","GRANT","TOT","MLN_USD","A","2000",116.577966,
"BEL","GRANT","TOT","MLN_USD","A","2001",220.941035,
"BEL","GRANT","TOT","MLN_USD","A","2002",108.316884,
"BEL","GRANT","TOT","MLN_USD","A","2003",197.847222,
"BEL","GRANT","TOT","MLN_USD","A","2004",192.684258,
"BEL","GRANT","TOT","MLN_USD","A","2005",260.449433,
"BEL","GRANT","TOT","MLN_USD","A","2006",253.658348,
"BEL","GRANT","TOT","MLN_USD","A","2007",310.671724,
"BEL","GRANT","TOT","MLN_USD","A","2008",304.723257,
"BEL","GRANT","TOT","MLN_USD","A","2009",327.661687,
"BEL","GRANT","TOT","MLN_USD","A","2010",337.343438,
"BEL","GRANT","TOT","MLN_USD","A","2011",434.215139,
"BEL","GRANT","TOT","MLN_USD","A","2013",563.273149,
"BEL","GRANT","TOT","MLN_USD","A","2014",391.615142,
"BEL","GRANT","TOT","MLN_USD","A","2015",388.24,
"CAN","GRANT","TOT","MLN_USD","A","1970",266.661141,
"CAN","GRANT","TOT","MLN_USD","A","1971",233.595628,
"CAN","GRANT","TOT","MLN_USD","A","1972",238.491262,
"CAN","GRANT","TOT","MLN_USD","A","1973",318.606739,
"CAN","GRANT","TOT","MLN_USD","A","1974",194.945405,
"CAN","GRANT","TOT","MLN_USD","A","1975",215.68135,
"CAN","GRANT","TOT","MLN_USD","A","1976",304.190418,
"CAN","GRANT","TOT","MLN_USD","A","1977",298.527041,
"CAN","GRANT","TOT","MLN_USD","A","1978",253.729636,
"CAN","GRANT","TOT","MLN_USD","A","1979",261.342396,
"CAN","GRANT","TOT","MLN_USD","A","1980",251.902904,
"CAN","GRANT","TOT","MLN_USD","A","1981",235.419133,
"CAN","GRANT","TOT","MLN_USD","A","1982",265.735914,
