"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","OOF","TOT","MLN_USD","A","1961",1.924078,
"AUS","OOF","TOT","MLN_USD","A","1963",9.247544,
"AUS","OOF","TOT","MLN_USD","A","1964",36.008951,
"AUS","OOF","TOT","MLN_USD","A","1965",26.303879,
"AUS","OOF","TOT","MLN_USD","A","1966",16.970852,
"AUS","OOF","TOT","MLN_USD","A","1967",82.219039,
"AUS","OOF","TOT","MLN_USD","A","1968",-23.791193,
"AUS","OOF","TOT","MLN_USD","A","1970",50.685217,
"AUS","OOF","TOT","MLN_USD","A","1971",70.385519,
"AUS","OOF","TOT","MLN_USD","A","1972",25.743882,
"AUS","OOF","TOT","MLN_USD","A","1973",8.345778,
"AUS","OOF","TOT","MLN_USD","A","1974",-16.33246,
"AUS","OOF","TOT","MLN_USD","A","1975",-12.342941,
"AUS","OOF","TOT","MLN_USD","A","1976",-3.31895,
"AUS","OOF","TOT","MLN_USD","A","1977",-9.4098,
"AUS","OOF","TOT","MLN_USD","A","1978",137.189172,
"AUS","OOF","TOT","MLN_USD","A","1979",56.195602,
"AUS","OOF","TOT","MLN_USD","A","1980",30.977243,
"AUS","OOF","TOT","MLN_USD","A","1981",44.196733,
"AUS","OOF","TOT","MLN_USD","A","1982",152.988736,
"AUS","OOF","TOT","MLN_USD","A","1983",274.929332,
"AUS","OOF","TOT","MLN_USD","A","1984",312.083877,
"AUS","OOF","TOT","MLN_USD","A","1985",57.018001,
"AUS","OOF","TOT","MLN_USD","A","1986",91.604283,
"AUS","OOF","TOT","MLN_USD","A","1987",-138.461735,
"AUS","OOF","TOT","MLN_USD","A","1988",96.893928,
"AUS","OOF","TOT","MLN_USD","A","1989",314.437431,
"AUS","OOF","TOT","MLN_USD","A","1990",168.863856,
"AUS","OOF","TOT","MLN_USD","A","1991",358.131001,
"AUS","OOF","TOT","MLN_USD","A","1992",711.70216,
"AUS","OOF","TOT","MLN_USD","A","1993",316.536718,
"AUS","OOF","TOT","MLN_USD","A","1994",303.068205,
"AUS","OOF","TOT","MLN_USD","A","1995",0.325617,
"AUS","OOF","TOT","MLN_USD","A","1996",349.324069,
"AUS","OOF","TOT","MLN_USD","A","1997",160.809893,
"AUS","OOF","TOT","MLN_USD","A","1998",102.7014,
"AUS","OOF","TOT","MLN_USD","A","1999",1168.560217,
"AUS","OOF","TOT","MLN_USD","A","2000",1004.768755,
"AUS","OOF","TOT","MLN_USD","A","2001",-57.85446,
"AUS","OOF","TOT","MLN_USD","A","2002",-69.542453,
"AUS","OOF","TOT","MLN_USD","A","2003",-13.157502,
"AUS","OOF","TOT","MLN_USD","A","2004",-108.67258,
"AUS","OOF","TOT","MLN_USD","A","2005",-115.704634,
"AUS","OOF","TOT","MLN_USD","A","2006",233.435456,
"AUS","OOF","TOT","MLN_USD","A","2007",-23.814655,
"AUS","OOF","TOT","MLN_USD","A","2008",-110.553174,
"AUS","OOF","TOT","MLN_USD","A","2009",395.44824,
"AUS","OOF","TOT","MLN_USD","A","2010",228.914879,
"AUS","OOF","TOT","MLN_USD","A","2011",191.765309,
"AUS","OOF","TOT","MLN_USD","A","2012",241.583069,
"AUS","OOF","TOT","MLN_USD","A","2013",362.09039,
"AUS","OOF","TOT","MLN_USD","A","2014",120.386355,
"AUS","OOF","TOT","MLN_USD","A","2015",275.48,
"AUT","OOF","TOT","MLN_USD","A","1960",-2.578568,
