"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PRIVFLOW","TOT","MLN_USD","A","1964",133.23312,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1965",200.610916,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1966",190.328108,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1967",217.140483,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1968",386.289675,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1969",431.829111,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1970",1221.564188,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1971",1983.676403,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1972",924.417912,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1973",193.525931,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1974",295.709279,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1975",188.917534,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1976",354.624789,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1977",554.098929,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1978",118.579057,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1979",512.650731,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1980",411.652021,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1981",277.411796,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1982",557.981937,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1983",122.681338,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1984",1297.921088,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1985",1135.434236,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1986",608.316004,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1987",747.467252,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1988",4758.694592,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1989",558.756792,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1990",776.981363,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1991",-6042.515148,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1992",4897.781234,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1993",1698.355066,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1994",1426.014531,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1995",2195.343103,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1996",-3321.374268,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1997",-7186.739092,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1998",341.716275,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1999",765.533151,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2000",503.735061,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2001",326.075007,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2002",-865.665731,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2003",2229.150182,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2004",665.483211,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2005",3555.964419,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2006",7464.625883,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2007",7366.839868,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2008",317.13591,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2010",8180.373915,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2011",8707.915269,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2012",10781.462752,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2013",13839.498944,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2014",22729.650988,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2015",10071.3,
"AUT","PRIVFLOW","TOT","MLN_USD","A","1960",74.778472,
"AUT","PRIVFLOW","TOT","MLN_USD","A","1961",221.106589,
"AUT","PRIVFLOW","TOT","MLN_USD","A","1962",202.684796,
"AUT","PRIVFLOW","TOT","MLN_USD","A","1963",43.265729,
"AUT","PRIVFLOW","TOT","MLN_USD","A","1964",73.918188,
"AUT","PRIVFLOW","TOT","MLN_USD","A","1965",165.038958,
"AUT","PRIVFLOW","TOT","MLN_USD","A","1966",162.174638,
"AUT","PRIVFLOW","TOT","MLN_USD","A","1967",207.447441,
"AUT","PRIVFLOW","TOT","MLN_USD","A","1968",487.597478,
"AUT","PRIVFLOW","TOT","MLN_USD","A","1969",586.911597,
"AUT","PRIVFLOW","TOT","MLN_USD","A","1970",630.858811,
"AUT","PRIVFLOW","TOT","MLN_USD","A","1971",631.30375,
"AUT","PRIVFLOW","TOT","MLN_USD","A","1972",612.834043,
"AUT","PRIVFLOW","TOT","MLN_USD","A","1973",506.897071,
"AUT","PRIVFLOW","TOT","MLN_USD","A","1974",613.699698,
"AUT","PRIVFLOW","TOT","MLN_USD","A","1975",296.842179,
"AUT","PRIVFLOW","TOT","MLN_USD","A","1976",1023.91137,
"AUT","PRIVFLOW","TOT","MLN_USD","A","1977",1283.522164,
"AUT","PRIVFLOW","TOT","MLN_USD","A","1978",999.078664,
