"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TOTFLOW","TOT","MLN_USD","A","1960",573.243095,
"AUS","TOTFLOW","TOT","MLN_USD","A","1961",682.085519,
"AUS","TOTFLOW","TOT","MLN_USD","A","1962",704.12665,
"AUS","TOTFLOW","TOT","MLN_USD","A","1963",896.087013,
"AUS","TOTFLOW","TOT","MLN_USD","A","1964",1069.465859,
"AUS","TOTFLOW","TOT","MLN_USD","A","1965",1266.444089,
"AUS","TOTFLOW","TOT","MLN_USD","A","1966",1328.138895,
"AUS","TOTFLOW","TOT","MLN_USD","A","1967",1618.810664,
"AUS","TOTFLOW","TOT","MLN_USD","A","1968",1628.586483,
"AUS","TOTFLOW","TOT","MLN_USD","A","1969",1841.434123,
"AUS","TOTFLOW","TOT","MLN_USD","A","1970",2911.912554,
"AUS","TOTFLOW","TOT","MLN_USD","A","1971",3611.109119,
"AUS","TOTFLOW","TOT","MLN_USD","A","1972",2702.989473,
"AUS","TOTFLOW","TOT","MLN_USD","A","1973",1615.978661,
"AUS","TOTFLOW","TOT","MLN_USD","A","1974",2004.855328,
"AUS","TOTFLOW","TOT","MLN_USD","A","1975",2241.442886,
"AUS","TOTFLOW","TOT","MLN_USD","A","1976",1741.040762,
"AUS","TOTFLOW","TOT","MLN_USD","A","1977",2014.101884,
"AUS","TOTFLOW","TOT","MLN_USD","A","1978",2146.386677,
"AUS","TOTFLOW","TOT","MLN_USD","A","1979",2483.111386,
"AUS","TOTFLOW","TOT","MLN_USD","A","1980",2224.942372,
"AUS","TOTFLOW","TOT","MLN_USD","A","1981",1879.611556,
"AUS","TOTFLOW","TOT","MLN_USD","A","1982",2819.094237,
"AUS","TOTFLOW","TOT","MLN_USD","A","1983",2272.146201,
"AUS","TOTFLOW","TOT","MLN_USD","A","1984",3500.917796,
"AUS","TOTFLOW","TOT","MLN_USD","A","1985",3396.14844,
"AUS","TOTFLOW","TOT","MLN_USD","A","1986",2832.837536,
"AUS","TOTFLOW","TOT","MLN_USD","A","1987",2213.222797,
"AUS","TOTFLOW","TOT","MLN_USD","A","1988",7136.29955,
"AUS","TOTFLOW","TOT","MLN_USD","A","1989",2819.818437,
"AUS","TOTFLOW","TOT","MLN_USD","A","1990",2723.270587,
"AUS","TOTFLOW","TOT","MLN_USD","A","1991",-3697.584291,
"AUS","TOTFLOW","TOT","MLN_USD","A","1992",7569.195806,
"AUS","TOTFLOW","TOT","MLN_USD","A","1993",4047.45209,
"AUS","TOTFLOW","TOT","MLN_USD","A","1994",3808.000819,
"AUS","TOTFLOW","TOT","MLN_USD","A","1995",4346.042422,
"AUS","TOTFLOW","TOT","MLN_USD","A","1996",-1145.151394,
"AUS","TOTFLOW","TOT","MLN_USD","A","1997",-5024.607315,
"AUS","TOTFLOW","TOT","MLN_USD","A","1998",2525.005052,
"AUS","TOTFLOW","TOT","MLN_USD","A","1999",3943.855753,
"AUS","TOTFLOW","TOT","MLN_USD","A","2000",3783.495735,
"AUS","TOTFLOW","TOT","MLN_USD","A","2001",2612.992152,
"AUS","TOTFLOW","TOT","MLN_USD","A","2002",1534.307826,
"AUS","TOTFLOW","TOT","MLN_USD","A","2003",4738.907216,
"AUS","TOTFLOW","TOT","MLN_USD","A","2004",3247.654717,
"AUS","TOTFLOW","TOT","MLN_USD","A","2005",6638.744881,
"AUS","TOTFLOW","TOT","MLN_USD","A","2006",11063.336473,
"AUS","TOTFLOW","TOT","MLN_USD","A","2007",10867.360917,
"AUS","TOTFLOW","TOT","MLN_USD","A","2008",3866.462431,
"AUS","TOTFLOW","TOT","MLN_USD","A","2009",3339.122773,
"AUS","TOTFLOW","TOT","MLN_USD","A","2010",12498.843556,
"AUS","TOTFLOW","TOT","MLN_USD","A","2011",13549.018234,
"AUS","TOTFLOW","TOT","MLN_USD","A","2012",16023.001277,
"AUS","TOTFLOW","TOT","MLN_USD","A","2013",17956.837589,
"AUS","TOTFLOW","TOT","MLN_USD","A","2014",26479.283874,
"AUS","TOTFLOW","TOT","MLN_USD","A","2015",13840.39,
"AUT","TOTFLOW","TOT","MLN_USD","A","1960",73.489188,
"AUT","TOTFLOW","TOT","MLN_USD","A","1961",248.130728,
"AUT","TOTFLOW","TOT","MLN_USD","A","1962",365.303992,
"AUT","TOTFLOW","TOT","MLN_USD","A","1963",67.175737,
"AUT","TOTFLOW","TOT","MLN_USD","A","1964",234.993642,
"AUT","TOTFLOW","TOT","MLN_USD","A","1965",495.116875,
"AUT","TOTFLOW","TOT","MLN_USD","A","1966",496.010171,
"AUT","TOTFLOW","TOT","MLN_USD","A","1967",465.146732,
"AUT","TOTFLOW","TOT","MLN_USD","A","1968",697.675848,
"AUT","TOTFLOW","TOT","MLN_USD","A","1969",738.02762,
"AUT","TOTFLOW","TOT","MLN_USD","A","1970",833.399517,
"AUT","TOTFLOW","TOT","MLN_USD","A","1971",731.239864,
"AUT","TOTFLOW","TOT","MLN_USD","A","1972",756.364264,
"AUT","TOTFLOW","TOT","MLN_USD","A","1973",768.962325,
"AUT","TOTFLOW","TOT","MLN_USD","A","1974",938.923928,
"AUT","TOTFLOW","TOT","MLN_USD","A","1975",746.101477,
"AUT","TOTFLOW","TOT","MLN_USD","A","1976",1515.123051,
"AUT","TOTFLOW","TOT","MLN_USD","A","1977",1708.915707,
"AUT","TOTFLOW","TOT","MLN_USD","A","1978",1404.685927,
"AUT","TOTFLOW","TOT","MLN_USD","A","1979",639.34085,
"AUT","TOTFLOW","TOT","MLN_USD","A","1980",583.247474,
"AUT","TOTFLOW","TOT","MLN_USD","A","1981",836.203096,
"AUT","TOTFLOW","TOT","MLN_USD","A","1982",372.830251,
"AUT","TOTFLOW","TOT","MLN_USD","A","1983",361.067626,
"AUT","TOTFLOW","TOT","MLN_USD","A","1984",165.467538,
"AUT","TOTFLOW","TOT","MLN_USD","A","1985",476.418808,
"AUT","TOTFLOW","TOT","MLN_USD","A","1986",284.833059,
"AUT","TOTFLOW","TOT","MLN_USD","A","1987",424.47207,
"AUT","TOTFLOW","TOT","MLN_USD","A","1988",499.817035,
"AUT","TOTFLOW","TOT","MLN_USD","A","1989",260.884286,
"AUT","TOTFLOW","TOT","MLN_USD","A","1990",525.990011,
"AUT","TOTFLOW","TOT","MLN_USD","A","1991",728.877121,
"AUT","TOTFLOW","TOT","MLN_USD","A","1992",812.911796,
"AUT","TOTFLOW","TOT","MLN_USD","A","1993",705.30042,
