"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPA","TOT","MLN_USD","A","2000",1150.92462476385,
"AUS","CPA","TOT","MLN_USD","A","2001",1122.29863862224,
"AUS","CPA","TOT","MLN_USD","A","2002",1089.70871318482,
"AUS","CPA","TOT","MLN_USD","A","2003",1137.03050404292,
"AUS","CPA","TOT","MLN_USD","A","2004",1171.31195595847,
"AUS","CPA","TOT","MLN_USD","A","2005",1181.47064803271,
"AUS","CPA","TOT","MLN_USD","A","2006",1361.18709627409,
"AUS","CPA","TOT","MLN_USD","A","2007",1539.67667733725,
"AUS","CPA","TOT","MLN_USD","A","2008",1528.45058316067,
"AUS","CPA","TOT","MLN_USD","A","2009",1722.26742617414,
"AUS","CPA","TOT","MLN_USD","A","2010",1916.36248101659,
"AUS","CPA","TOT","MLN_USD","A","2011",2097.27366094651,
"AUS","CPA","TOT","MLN_USD","A","2012",2452.02863844901,
"AUS","CPA","TOT","MLN_USD","A","2013",2165.21019140203,
"AUS","CPA","TOT","MLN_USD","A","2014",1993.98139466351,
"AUS","CPA","TOT","MLN_USD","A","2015",1909.13741619355,
"AUT","CPA","TOT","MLN_USD","A","2000",195.003148707596,
"AUT","CPA","TOT","MLN_USD","A","2001",176.670000580463,
"AUT","CPA","TOT","MLN_USD","A","2002",143.72944532179,
"AUT","CPA","TOT","MLN_USD","A","2003",119.832397488463,
"AUT","CPA","TOT","MLN_USD","A","2004",84.8049573486509,
"AUT","CPA","TOT","MLN_USD","A","2005",91.6919383277772,
"AUT","CPA","TOT","MLN_USD","A","2006",104.61103958252,
"AUT","CPA","TOT","MLN_USD","A","2007",96.7556045421815,
"AUT","CPA","TOT","MLN_USD","A","2008",109.624488661291,
"AUT","CPA","TOT","MLN_USD","A","2009",93.8998818812891,
"AUT","CPA","TOT","MLN_USD","A","2010",98.9718789742652,
"AUT","CPA","TOT","MLN_USD","A","2011",89.5485740659361,
"AUT","CPA","TOT","MLN_USD","A","2012",71.7826453078201,
"AUT","CPA","TOT","MLN_USD","A","2013",82.2270825628533,
"AUT","CPA","TOT","MLN_USD","A","2014",70.7014137734609,
"AUT","CPA","TOT","MLN_USD","A","2015",68.9634697892401,
"BEL","CPA","TOT","MLN_USD","A","2000",438.845204861879,
"BEL","CPA","TOT","MLN_USD","A","2001",402.047101142116,
"BEL","CPA","TOT","MLN_USD","A","2002",488.536272086554,
"BEL","CPA","TOT","MLN_USD","A","2003",474.348892317615,
"BEL","CPA","TOT","MLN_USD","A","2004",466.140321729827,
"BEL","CPA","TOT","MLN_USD","A","2005",501.412765260579,
"BEL","CPA","TOT","MLN_USD","A","2006",403.131110789545,
"BEL","CPA","TOT","MLN_USD","A","2007",366.969608141828,
"BEL","CPA","TOT","MLN_USD","A","2008",401.730742974753,
"BEL","CPA","TOT","MLN_USD","A","2009",447.176094580469,
"BEL","CPA","TOT","MLN_USD","A","2010",381.615708194773,
"BEL","CPA","TOT","MLN_USD","A","2011",345.668120568797,
"BEL","CPA","TOT","MLN_USD","A","2012",346.133427423723,
"BEL","CPA","TOT","MLN_USD","A","2013",327.70521427136,
"BEL","CPA","TOT","MLN_USD","A","2014",331.995242632665,
"BEL","CPA","TOT","MLN_USD","A","2015",304.474984986134,
"CAN","CPA","TOT","MLN_USD","A","2000",549.73065920569,
"CAN","CPA","TOT","MLN_USD","A","2001",777.924528484434,
"CAN","CPA","TOT","MLN_USD","A","2002",832.537206352062,
"CAN","CPA","TOT","MLN_USD","A","2003",852.861602065855,
"CAN","CPA","TOT","MLN_USD","A","2004",977.905702755296,
"CAN","CPA","TOT","MLN_USD","A","2005",1038.8080491323,
"CAN","CPA","TOT","MLN_USD","A","2006",1105.38974571886,
"CAN","CPA","TOT","MLN_USD","A","2007",1176.68226620998,
"CAN","CPA","TOT","MLN_USD","A","2008",1583.32310132129,
"CAN","CPA","TOT","MLN_USD","A","2009",1187.5773316633,
"CAN","CPA","TOT","MLN_USD","A","2010",1159.82440332025,
"CAN","CPA","TOT","MLN_USD","A","2011",1117.80801708461,
"CAN","CPA","TOT","MLN_USD","A","2012",934.467130417864,
"CAN","CPA","TOT","MLN_USD","A","2013",904.541890825961,
"CAN","CPA","TOT","MLN_USD","A","2014",866.427716382056,
"CAN","CPA","TOT","MLN_USD","A","2015",939.324631990143,
"CZE","CPA","TOT","MLN_USD","A","2000",7.79432418944844,
"CZE","CPA","TOT","MLN_USD","A","2001",24.1945999836672,
"CZE","CPA","TOT","MLN_USD","A","2002",17.540275452036,
"CZE","CPA","TOT","MLN_USD","A","2003",109.727429473296,
"CZE","CPA","TOT","MLN_USD","A","2004",52.5483894278396,
