"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","DISTNODA","ADCT","MLN_USD","A","1965",7.81,
"AUS","DISTNODA","ADCT","MLN_USD","A","1966",5.68,
"AUS","DISTNODA","ADCT","MLN_USD","A","1967",7.39,
"AUS","DISTNODA","ADCT","MLN_USD","A","1968",11.03,
"AUS","DISTNODA","ADCT","MLN_USD","A","1969",12.03,
"AUS","DISTNODA","ADCT","MLN_USD","A","1970",6.77,
"AUS","DISTNODA","ADCT","MLN_USD","A","1971",7.3,
"AUS","DISTNODA","ADCT","MLN_USD","A","1972",8.8,
"AUS","DISTNODA","ADCT","MLN_USD","A","1973",6.06,
"AUS","DISTNODA","ADCT","MLN_USD","A","1974",5.41,
"AUS","DISTNODA","ADCT","MLN_USD","A","1975",6.86,
"AUS","DISTNODA","ADCT","MLN_USD","A","1976",7.77,
"AUS","DISTNODA","ADCT","MLN_USD","A","1977",6.7,
"AUS","DISTNODA","ADCT","MLN_USD","A","1978",5.34,
"AUS","DISTNODA","ADCT","MLN_USD","A","1979",3.2,
"AUS","DISTNODA","ADCT","MLN_USD","A","1980",5.91,
"AUS","DISTNODA","ADCT","MLN_USD","A","1981",5.34,
"AUS","DISTNODA","ADCT","MLN_USD","A","1982",5.52,
"AUS","DISTNODA","ADCT","MLN_USD","A","1983",7.53,
"AUS","DISTNODA","ADCT","MLN_USD","A","1984",23.76,
"AUS","DISTNODA","ADCT","MLN_USD","A","1985",51.69,
"AUS","DISTNODA","ADCT","MLN_USD","A","1986",36.83,
"AUS","DISTNODA","ADCT","MLN_USD","A","1987",28.45,
"AUS","DISTNODA","ADCT","MLN_USD","A","1988",22.03,
"AUS","DISTNODA","ADCT","MLN_USD","A","1989",13.14,
"AUS","DISTNODA","ADCT","MLN_USD","A","1990",16.1,
"AUS","DISTNODA","ADCT","MLN_USD","A","1991",16.58,
"AUS","DISTNODA","ADCT","MLN_USD","A","1992",12.84,
"AUS","DISTNODA","ADCT","MLN_USD","A","1993",7,
"AUS","DISTNODA","ADCT","MLN_USD","A","1994",4.85,
"AUS","DISTNODA","ADCT","MLN_USD","A","1995",3.19,
"AUS","DISTNODA","ADCT","MLN_USD","A","1996",2.4,
"AUS","DISTNODA","ADCT","MLN_USD","A","1997",2.08,
"AUS","DISTNODA","ADCT","MLN_USD","A","1998",2.2,
"AUS","DISTNODA","ADCT","MLN_USD","A","1999",1.81,
"AUS","DISTNODA","ADCT","MLN_USD","A","2000",0.04,
"AUS","DISTNODA","ADCT","MLN_USD","A","2001",0.19,
"AUS","DISTNODA","ADCT","MLN_USD","A","2002",0.28,
