"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FOODAID","TOT","MLN_USD","A","1996",25.065177,
"AUS","FOODAID","TOT","MLN_USD","A","1997",27.974118,
"AUS","FOODAID","TOT","MLN_USD","A","1998",54.84791,
"AUS","FOODAID","TOT","MLN_USD","A","1999",37.666604,
"AUS","FOODAID","TOT","MLN_USD","A","2000",45.683131,
"AUS","FOODAID","TOT","MLN_USD","A","2001",17.914545,
"AUS","FOODAID","TOT","MLN_USD","A","2002",30.557138,
"AUS","FOODAID","TOT","MLN_USD","A","2003",28.148294,
"AUS","FOODAID","TOT","MLN_USD","A","2004",16.443786,
"AUS","FOODAID","TOT","MLN_USD","A","2005",14.092886,
"AUS","FOODAID","TOT","MLN_USD","A","2006",50.813624,
"AUS","FOODAID","TOT","MLN_USD","A","2007",4.018591,
"AUS","FOODAID","TOT","MLN_USD","A","2008",81.566548,
"AUS","FOODAID","TOT","MLN_USD","A","2009",83.568673,
"AUS","FOODAID","TOT","MLN_USD","A","2010",32.942962,
"AUS","FOODAID","TOT","MLN_USD","A","2011",54.19025,
"AUS","FOODAID","TOT","MLN_USD","A","2012",33.843134,
"AUS","FOODAID","TOT","MLN_USD","A","2013",16.786263,
"AUS","FOODAID","TOT","MLN_USD","A","2014",27.361664,
"AUS","FOODAID","TOT","MLN_USD","A","2015",3.69,
"AUT","FOODAID","TOT","MLN_USD","A","1995",0.485953,
"AUT","FOODAID","TOT","MLN_USD","A","1996",0.091823,
"AUT","FOODAID","TOT","MLN_USD","A","1997",0.719543,
"AUT","FOODAID","TOT","MLN_USD","A","1998",0.674167,
"AUT","FOODAID","TOT","MLN_USD","A","1999",1.650893,
"AUT","FOODAID","TOT","MLN_USD","A","2000",0.219606,
"AUT","FOODAID","TOT","MLN_USD","A","2001",0.015848,
"AUT","FOODAID","TOT","MLN_USD","A","2002",0.014873,
"AUT","FOODAID","TOT","MLN_USD","A","2004",0.13138,
"AUT","FOODAID","TOT","MLN_USD","A","2005",2.816794,
"AUT","FOODAID","TOT","MLN_USD","A","2006",1.182146,
"AUT","FOODAID","TOT","MLN_USD","A","2007",1.87835,
"AUT","FOODAID","TOT","MLN_USD","A","2008",2.800096,
"AUT","FOODAID","TOT","MLN_USD","A","2009",2.008907,
"AUT","FOODAID","TOT","MLN_USD","A","2010",1.567623,
"AUT","FOODAID","TOT","MLN_USD","A","2011",1.740135,
"AUT","FOODAID","TOT","MLN_USD","A","2012",2.127364,
