"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NODA","TOT","MLN_USD","A","1960",573.243095,
"AUS","NODA","TOT","MLN_USD","A","1961",680.161442,
"AUS","NODA","TOT","MLN_USD","A","1962",704.12665,
"AUS","NODA","TOT","MLN_USD","A","1963",886.839469,
"AUS","NODA","TOT","MLN_USD","A","1964",900.223787,
"AUS","NODA","TOT","MLN_USD","A","1965",1039.529294,
"AUS","NODA","TOT","MLN_USD","A","1966",1120.839935,
"AUS","NODA","TOT","MLN_USD","A","1967",1319.451142,
"AUS","NODA","TOT","MLN_USD","A","1968",1266.088001,
"AUS","NODA","TOT","MLN_USD","A","1969",1409.605012,
"AUS","NODA","TOT","MLN_USD","A","1970",1526.46857,
"AUS","NODA","TOT","MLN_USD","A","1971",1432.942919,
"AUS","NODA","TOT","MLN_USD","A","1972",1650.265472,
"AUS","NODA","TOT","MLN_USD","A","1973",1317.846482,
"AUS","NODA","TOT","MLN_USD","A","1974",1588.249144,
"AUS","NODA","TOT","MLN_USD","A","1975",1945.529683,
"AUS","NODA","TOT","MLN_USD","A","1976",1264.922285,
"AUS","NODA","TOT","MLN_USD","A","1977",1348.198344,
"AUS","NODA","TOT","MLN_USD","A","1978",1774.969879,
"AUS","NODA","TOT","MLN_USD","A","1979",1775.329193,
"AUS","NODA","TOT","MLN_USD","A","1980",1682.122269,
"AUS","NODA","TOT","MLN_USD","A","1981",1476.702866,
"AUS","NODA","TOT","MLN_USD","A","1982",2031.042282,
"AUS","NODA","TOT","MLN_USD","A","1983",1797.81495,
"AUS","NODA","TOT","MLN_USD","A","1984",1796.575339,
"AUS","NODA","TOT","MLN_USD","A","1985",2060.353169,
"AUS","NODA","TOT","MLN_USD","A","1986",2026.66059,
"AUS","NODA","TOT","MLN_USD","A","1987",1509.199238,
"AUS","NODA","TOT","MLN_USD","A","1988",2192.319713,
"AUS","NODA","TOT","MLN_USD","A","1989",1858.821659,
"AUS","NODA","TOT","MLN_USD","A","1990",1680.685399,
"AUS","NODA","TOT","MLN_USD","A","1991",1812.932418,
"AUS","NODA","TOT","MLN_USD","A","1992",1845.073625,
"AUS","NODA","TOT","MLN_USD","A","1993",1853.270488,
"AUS","NODA","TOT","MLN_USD","A","1994",1945.855487,
"AUS","NODA","TOT","MLN_USD","A","1995",2046.827542,
"AUS","NODA","TOT","MLN_USD","A","1996",1706.560539,
"AUS","NODA","TOT","MLN_USD","A","1997",1751.619031,
"AUS","NODA","TOT","MLN_USD","A","1998",1865.89754,
"AUS","NODA","TOT","MLN_USD","A","1999",1831.839452,
"AUS","NODA","TOT","MLN_USD","A","2000",1975.280163,
"AUS","NODA","TOT","MLN_USD","A","2001",1888.340156,
"AUS","NODA","TOT","MLN_USD","A","2002",1974.710074,
"AUS","NODA","TOT","MLN_USD","A","2003",1977.032323,
"AUS","NODA","TOT","MLN_USD","A","2004",2015.958508,
"AUS","NODA","TOT","MLN_USD","A","2005",2144.773815,
"AUS","NODA","TOT","MLN_USD","A","2006",2609.153656,
"AUS","NODA","TOT","MLN_USD","A","2007",2829.469446,
"AUS","NODA","TOT","MLN_USD","A","2008",2983.572218,
"AUS","NODA","TOT","MLN_USD","A","2009",2943.674533,
"AUS","NODA","TOT","MLN_USD","A","2010",3290.941676,
"AUS","NODA","TOT","MLN_USD","A","2011",3645.047776,
"AUS","NODA","TOT","MLN_USD","A","2012",3951.681397,
"AUS","NODA","TOT","MLN_USD","A","2013",3755.248255,
"AUS","NODA","TOT","MLN_USD","A","2014",3629.246532,
"AUS","NODA","TOT","MLN_USD","A","2015",3493.61,
"AUS","NODA","TOT","MLN_USD","A","2016",3049.815672,
"AUS","NODA","TOT","PC_GNI","A","1960",0.370207,
"AUS","NODA","TOT","PC_GNI","A","1961",0.438586,
"AUS","NODA","TOT","PC_GNI","A","1962",0.426097,
"AUS","NODA","TOT","PC_GNI","A","1963",0.507676,
"AUS","NODA","TOT","PC_GNI","A","1964",0.481696,
"AUS","NODA","TOT","PC_GNI","A","1965",0.528578,
"AUS","NODA","TOT","PC_GNI","A","1966",0.556168,
"AUS","NODA","TOT","PC_GNI","A","1967",0.615102,
"AUS","NODA","TOT","PC_GNI","A","1968",0.565133,
"AUS","NODA","TOT","PC_GNI","A","1969",0.598692,
"AUS","NODA","TOT","PC_GNI","A","1970",0.615465,
"AUS","NODA","TOT","PC_GNI","A","1971",0.561453,
"AUS","NODA","TOT","PC_GNI","A","1972",0.615291,
"AUS","NODA","TOT","PC_GNI","A","1973",0.466332,
"AUS","NODA","TOT","PC_GNI","A","1974",0.551338,
"AUS","NODA","TOT","PC_GNI","A","1975",0.654945,
"AUS","NODA","TOT","PC_GNI","A","1976",0.407832,
"AUS","NODA","TOT","PC_GNI","A","1977",0.41945,
"AUS","NODA","TOT","PC_GNI","A","1978",0.546109,
"AUS","NODA","TOT","PC_GNI","A","1979",0.527912,
"AUS","NODA","TOT","PC_GNI","A","1980",0.483521,
"AUS","NODA","TOT","PC_GNI","A","1981",0.410934,
"AUS","NODA","TOT","PC_GNI","A","1982",0.561017,
"AUS","NODA","TOT","PC_GNI","A","1983",0.489838,
"AUS","NODA","TOT","PC_GNI","A","1984",0.450168,
"AUS","NODA","TOT","PC_GNI","A","1985",0.482921,
"AUS","NODA","TOT","PC_GNI","A","1986",0.465792,
"AUS","NODA","TOT","PC_GNI","A","1987",0.33528,
"AUS","NODA","TOT","PC_GNI","A","1988",0.460885,
"AUS","NODA","TOT","PC_GNI","A","1989",0.376072,
"AUS","NODA","TOT","PC_GNI","A","1990",0.340148,
"AUS","NODA","TOT","PC_GNI","A","1991",0.375278,
"AUS","NODA","TOT","PC_GNI","A","1992",0.366095,
"AUS","NODA","TOT","PC_GNI","A","1993",0.347079,
