"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","1992",5.91,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","1993",7.85,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","1994",13.05,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","1996",11.01,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","1997",23.6,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","1998",24.67,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","1999",8.17,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2000",16.73,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2001",19.3,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2002",8.99,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2003",11.16,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2004",16.82,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2005",25.56,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2006",340.54,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2007",309.28,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2008",258.66,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2009",3.16,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2010",6.51,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2011",9.33,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2012",8.73,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2015",7.81,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1967",138.13,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1968",43.54,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1969",153.18,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1970",154.22,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1971",33.27,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1972",39.8,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1973",87.61,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1974",158.63,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1975",146.92,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1976",32.28,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1977",167.96,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1978",119,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1979",174.8,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1980",81.51,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1981",78.25,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1982",48.79,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1983",72.07,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1984",107.03,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1985",76.03,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1986",32.05,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1987",85.85,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1988",147.65,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1989",174.78,
