"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","1995",17.65693,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","1996",17.57888,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","1997",13.27477,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","1998",15.41549,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","1999",11.10554,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2000",10.67188,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2001",10.98535,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2002",12.00224,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2003",11.35857,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2004",10.47444,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2005",10.23309,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2006",9.407533,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2007",12.8476,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2008",22.02359,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2009",15.1363,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2010",15.10172,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2011",20.20707,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2012",17.05494,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2013",14.79511,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2014",15.67407,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2015",14.71195,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","1995",10.65656,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","1996",8.347501,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","1997",8.082774,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","1998",7.907119,
