"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHL","FINCORP","TOT","RT","A","2003",4.028185,
"CHL","FINCORP","TOT","RT","A","2004",3.789898,
"CHL","FINCORP","TOT","RT","A","2005",4.009123,
"CHL","FINCORP","TOT","RT","A","2006",3.319655,
"CHL","FINCORP","TOT","RT","A","2007",3.136715,
"CHL","FINCORP","TOT","RT","A","2008",4.109505,
"CHL","FINCORP","TOT","RT","A","2009",3.29155,
"CHL","FINCORP","TOT","RT","A","2010",2.877002,
"CHL","FINCORP","TOT","RT","A","2011",3.472094,
"CHL","FINCORP","TOT","RT","A","2012",3.576678,
"CHL","FINCORP","TOT","RT","A","2013",3.798357,
"CHL","FINCORP","TOT","RT","A","2014",3.920688,
"CHL","FINCORP","TOT","RT","A","2015",4.172608,
"CHL","FINCORP","TOT","RT","A","2016",4.169843,
"IRL","FINCORP","TOT","RT","A","2001",1.550607,
"IRL","FINCORP","TOT","RT","A","2002",1.602741,
"IRL","FINCORP","TOT","RT","A","2003",1.822642,
"IRL","FINCORP","TOT","RT","A","2004",2.014267,
"IRL","FINCORP","TOT","RT","A","2005",2.102018,
"IRL","FINCORP","TOT","RT","A","2006",2.015989,
"IRL","FINCORP","TOT","RT","A","2007",2.08584,
"IRL","FINCORP","TOT","RT","A","2008",3.016007,
"IRL","FINCORP","TOT","RT","A","2009",2.575159,
"IRL","FINCORP","TOT","RT","A","2010",2.067641,
"IRL","FINCORP","TOT","RT","A","2011",1.71611,
"IRL","FINCORP","TOT","RT","A","2012",1.385202,
"IRL","FINCORP","TOT","RT","A","2013",1.14782,
"IRL","FINCORP","TOT","RT","A","2014",0.9890669,
"IRL","FINCORP","TOT","RT","A","2015",0.9998878,
"TUR","FINCORP","TOT","RT","A","2010",3.123398,
"TUR","FINCORP","TOT","RT","A","2011",4.875911,
"TUR","FINCORP","TOT","RT","A","2012",4.188494,
"TUR","FINCORP","TOT","RT","A","2013",6.116801,
"TUR","FINCORP","TOT","RT","A","2014",5.498024,
"TUR","FINCORP","TOT","RT","A","2015",7.283876,
"NOR","FINCORP","TOT","RT","A","1995",10.25281,
"NOR","FINCORP","TOT","RT","A","1996",9.01397,
"NOR","FINCORP","TOT","RT","A","1997",7.141603,
"NOR","FINCORP","TOT","RT","A","1998",7.559643,
"NOR","FINCORP","TOT","RT","A","1999",6.625716,
"NOR","FINCORP","TOT","RT","A","2000",6.886081,
"NOR","FINCORP","TOT","RT","A","2001",7.979001,
"NOR","FINCORP","TOT","RT","A","2002",9.055592,
"NOR","FINCORP","TOT","RT","A","2003",8.184958,
"NOR","FINCORP","TOT","RT","A","2004",7.019004,
"NOR","FINCORP","TOT","RT","A","2005",6.228755,
"NOR","FINCORP","TOT","RT","A","2006",5.667767,
"NOR","FINCORP","TOT","RT","A","2007",5.832508,
"NOR","FINCORP","TOT","RT","A","2008",10.01787,
"NOR","FINCORP","TOT","RT","A","2009",7.356026,
"NOR","FINCORP","TOT","RT","A","2010",6.119944,
"NOR","FINCORP","TOT","RT","A","2011",6.691651,
"NOR","FINCORP","TOT","RT","A","2012",4.77439,
"NOR","FINCORP","TOT","RT","A","2013",4.117225,
"NOR","FINCORP","TOT","RT","A","2014",3.79447,
"NOR","FINCORP","TOT","RT","A","2015",3.531683,
"NOR","FINCORP","TOT","RT","A","2016",3.436422,
"KOR","FINCORP","TOT","RT","A","2008",6.937558,
"KOR","FINCORP","TOT","RT","A","2009",5.852437,
"KOR","FINCORP","TOT","RT","A","2010",5.834767,
"KOR","FINCORP","TOT","RT","A","2011",6.912828,
"KOR","FINCORP","TOT","RT","A","2012",6.537024,
"KOR","FINCORP","TOT","RT","A","2013",6.46339,
"KOR","FINCORP","TOT","RT","A","2014",7.064696,
"KOR","FINCORP","TOT","RT","A","2015",7.173857,
"KOR","FINCORP","TOT","RT","A","2016",7.010661,
"SWE","FINCORP","TOT","RT","A","1995",5.65343,
"SWE","FINCORP","TOT","RT","A","1996",4.422221,
"SWE","FINCORP","TOT","RT","A","1997",3.898236,
"SWE","FINCORP","TOT","RT","A","1998",3.527014,
"SWE","FINCORP","TOT","RT","A","1999",2.862806,
"SWE","FINCORP","TOT","RT","A","2000",2.796592,
"SWE","FINCORP","TOT","RT","A","2001",2.84701,
"SWE","FINCORP","TOT","RT","A","2002",3.569959,
"SWE","FINCORP","TOT","RT","A","2003",3.053387,
"SWE","FINCORP","TOT","RT","A","2004",2.99782,
"SWE","FINCORP","TOT","RT","A","2005",2.891115,
"SWE","FINCORP","TOT","RT","A","2006",2.735328,
"SWE","FINCORP","TOT","RT","A","2007",3.018409,
"SWE","FINCORP","TOT","RT","A","2008",4.68374,
"SWE","FINCORP","TOT","RT","A","2009",3.546455,
"SWE","FINCORP","TOT","RT","A","2010",3.202853,
"SWE","FINCORP","TOT","RT","A","2011",3.520626,
"SWE","FINCORP","TOT","RT","A","2012",3.133561,
"SWE","FINCORP","TOT","RT","A","2013",2.768569,
"SWE","FINCORP","TOT","RT","A","2014",2.564388,
"SWE","FINCORP","TOT","RT","A","2015",2.502637,
"SWE","FINCORP","TOT","RT","A","2016",2.507281,
"BEL","FINCORP","TOT","RT","A","1995",5.556985,
"BEL","FINCORP","TOT","RT","A","1996",5.323579,
"BEL","FINCORP","TOT","RT","A","1997",4.312678,
"BEL","FINCORP","TOT","RT","A","1998",2.750035,
"BEL","FINCORP","TOT","RT","A","1999",2.865404,
"BEL","FINCORP","TOT","RT","A","2000",2.593462,
"BEL","FINCORP","TOT","RT","A","2001",2.618918,
"BEL","FINCORP","TOT","RT","A","2002",3.02454,
"BEL","FINCORP","TOT","RT","A","2003",3.003624,
"BEL","FINCORP","TOT","RT","A","2004",2.707425,
"BEL","FINCORP","TOT","RT","A","2005",2.688509,
"BEL","FINCORP","TOT","RT","A","2006",2.450996,
"BEL","FINCORP","TOT","RT","A","2007",2.43705,
"BEL","FINCORP","TOT","RT","A","2008",3.074301,
"BEL","FINCORP","TOT","RT","A","2009",2.590103,
"BEL","FINCORP","TOT","RT","A","2010",2.497525,
"BEL","FINCORP","TOT","RT","A","2011",2.57295,
"BEL","FINCORP","TOT","RT","A","2012",2.655217,
"BEL","FINCORP","TOT","RT","A","2013",2.495592,
"BEL","FINCORP","TOT","RT","A","2014",2.546867,
"BEL","FINCORP","TOT","RT","A","2015",2.46715,
"BEL","FINCORP","TOT","RT","A","2016",2.711839,
"ESP","FINCORP","TOT","RT","A","1995",5.862535,
"ESP","FINCORP","TOT","RT","A","1996",4.439415,
"ESP","FINCORP","TOT","RT","A","1997",3.161261,
"ESP","FINCORP","TOT","RT","A","1998",2.783826,
"ESP","FINCORP","TOT","RT","A","1999",2.890814,
"ESP","FINCORP","TOT","RT","A","2000",3.157717,
"ESP","FINCORP","TOT","RT","A","2001",3.47304,
"ESP","FINCORP","TOT","RT","A","2002",4.154201,
"ESP","FINCORP","TOT","RT","A","2003",3.768131,
"ESP","FINCORP","TOT","RT","A","2004",3.598316,
"ESP","FINCORP","TOT","RT","A","2005",3.755156,
"ESP","FINCORP","TOT","RT","A","2006",3.762678,
"ESP","FINCORP","TOT","RT","A","2007",4.419088,
"ESP","FINCORP","TOT","RT","A","2008",6.682623,
"ESP","FINCORP","TOT","RT","A","2009",6.216888,
"ESP","FINCORP","TOT","RT","A","2010",7.03704,
"ESP","FINCORP","TOT","RT","A","2011",7.682674,
"ESP","FINCORP","TOT","RT","A","2012",8.479889,
"ESP","FINCORP","TOT","RT","A","2013",6.618044,
"ESP","FINCORP","TOT","RT","A","2014",5.421021,
"ESP","FINCORP","TOT","RT","A","2015",5.18633,
"ESP","FINCORP","TOT","RT","A","2016",5.109693,
"FIN","FINCORP","TOT","RT","A","1995",15.49941,
"FIN","FINCORP","TOT","RT","A","1996",10.96481,
"FIN","FINCORP","TOT","RT","A","1997",8.222912,
"FIN","FINCORP","TOT","RT","A","1998",5.359905,
"FIN","FINCORP","TOT","RT","A","1999",4.069396,
"FIN","FINCORP","TOT","RT","A","2000",4.136915,
"FIN","FINCORP","TOT","RT","A","2001",4.352208,
"FIN","FINCORP","TOT","RT","A","2002",4.623737,
"FIN","FINCORP","TOT","RT","A","2003",3.85253,
"FIN","FINCORP","TOT","RT","A","2004",3.412863,
"FIN","FINCORP","TOT","RT","A","2005",2.88532,
"FIN","FINCORP","TOT","RT","A","2006",2.527753,
"FIN","FINCORP","TOT","RT","A","2007",2.716831,
"FIN","FINCORP","TOT","RT","A","2008",4.051718,
"FIN","FINCORP","TOT","RT","A","2009",3.566798,
"FIN","FINCORP","TOT","RT","A","2010",3.910935,
"FIN","FINCORP","TOT","RT","A","2011",5.327113,
"FIN","FINCORP","TOT","RT","A","2012",4.853652,
"FIN","FINCORP","TOT","RT","A","2013",3.704794,
"FIN","FINCORP","TOT","RT","A","2014",3.496062,
"FIN","FINCORP","TOT","RT","A","2015",3.02342,
"FIN","FINCORP","TOT","RT","A","2016",2.988648,
"ISR","FINCORP","TOT","RT","A","2001",19.10818,
"ISR","FINCORP","TOT","RT","A","2002",27.23217,
"ISR","FINCORP","TOT","RT","A","2003",11.11297,
"ISR","FINCORP","TOT","RT","A","2004",7.213508,
"ISR","FINCORP","TOT","RT","A","2005",4.680239,
"ISR","FINCORP","TOT","RT","A","2006",5.735571,
"ISR","FINCORP","TOT","RT","A","2007",7.30764,
"ISR","FINCORP","TOT","RT","A","2008",20.76116,
"ISR","FINCORP","TOT","RT","A","2009",4.755871,
"ISR","FINCORP","TOT","RT","A","2010",4.820888,
"ISR","FINCORP","TOT","RT","A","2011",7.111837,
"ISR","FINCORP","TOT","RT","A","2012",6.093528,
"ISR","FINCORP","TOT","RT","A","2013",5.376826,
"ISR","FINCORP","TOT","RT","A","2014",5.128177,
"ISR","FINCORP","TOT","RT","A","2015",5.598053,
"LUX","FINCORP","TOT","RT","A","2002",0.7573892,
"LUX","FINCORP","TOT","RT","A","2003",0.6776702,
"LUX","FINCORP","TOT","RT","A","2004",0.6474636,
"LUX","FINCORP","TOT","RT","A","2005",0.6822125,
"LUX","FINCORP","TOT","RT","A","2006",0.6724062,
"LUX","FINCORP","TOT","RT","A","2007",0.6413146,
"LUX","FINCORP","TOT","RT","A","2008",0.7523558,
"LUX","FINCORP","TOT","RT","A","2009",0.6005853,
"LUX","FINCORP","TOT","RT","A","2010",0.5324965,
"LUX","FINCORP","TOT","RT","A","2011",0.6346393,
"LUX","FINCORP","TOT","RT","A","2012",0.6535962,
