"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","NONFINCORP","TOT","RT","A","2001",3.778082,
"IRL","NONFINCORP","TOT","RT","A","2002",3.091882,
"IRL","NONFINCORP","TOT","RT","A","2003",3.052505,
"IRL","NONFINCORP","TOT","RT","A","2004",3.182696,
"IRL","NONFINCORP","TOT","RT","A","2005",3.776059,
"IRL","NONFINCORP","TOT","RT","A","2006",4.289737,
"IRL","NONFINCORP","TOT","RT","A","2007",4.328178,
"IRL","NONFINCORP","TOT","RT","A","2008",6.281344,
"IRL","NONFINCORP","TOT","RT","A","2009",6.519265,
"IRL","NONFINCORP","TOT","RT","A","2010",6.265573,
"IRL","NONFINCORP","TOT","RT","A","2011",6.313507,
"IRL","NONFINCORP","TOT","RT","A","2012",6.543574,
"IRL","NONFINCORP","TOT","RT","A","2013",6.253527,
"IRL","NONFINCORP","TOT","RT","A","2014",7.376002,
"IRL","NONFINCORP","TOT","RT","A","2015",6.559132,
"CHL","NONFINCORP","TOT","RT","A","2003",4.548077,
"CHL","NONFINCORP","TOT","RT","A","2004",3.761358,
"CHL","NONFINCORP","TOT","RT","A","2005",3.29623,
"CHL","NONFINCORP","TOT","RT","A","2006",2.638177,
"CHL","NONFINCORP","TOT","RT","A","2007",2.656277,
"CHL","NONFINCORP","TOT","RT","A","2008",3.557106,
"CHL","NONFINCORP","TOT","RT","A","2009",3.254547,
"CHL","NONFINCORP","TOT","RT","A","2010",2.828937,
"CHL","NONFINCORP","TOT","RT","A","2011",3.333959,
"CHL","NONFINCORP","TOT","RT","A","2012",3.618423,
"CHL","NONFINCORP","TOT","RT","A","2013",3.871749,
"CHL","NONFINCORP","TOT","RT","A","2014",4.236841,
"CHL","NONFINCORP","TOT","RT","A","2015",4.664336,
"BEL","NONFINCORP","TOT","RT","A","1995",3.584773,
"BEL","NONFINCORP","TOT","RT","A","1996",3.959251,
"BEL","NONFINCORP","TOT","RT","A","1997",4.221519,
"BEL","NONFINCORP","TOT","RT","A","1998",3.676178,
"BEL","NONFINCORP","TOT","RT","A","1999",4.231872,
"BEL","NONFINCORP","TOT","RT","A","2000",4.396039,
"BEL","NONFINCORP","TOT","RT","A","2001",4.451969,
"BEL","NONFINCORP","TOT","RT","A","2002",4.26665,
"BEL","NONFINCORP","TOT","RT","A","2003",4.277111,
"BEL","NONFINCORP","TOT","RT","A","2004",4.1664,
"BEL","NONFINCORP","TOT","RT","A","2005",3.905816,
"BEL","NONFINCORP","TOT","RT","A","2006",3.896361,
"BEL","NONFINCORP","TOT","RT","A","2007",4.196903,
"BEL","NONFINCORP","TOT","RT","A","2008",5.453668,
"BEL","NONFINCORP","TOT","RT","A","2009",5.863477,
"BEL","NONFINCORP","TOT","RT","A","2010",5.430078,
"BEL","NONFINCORP","TOT","RT","A","2011",5.91073,
"BEL","NONFINCORP","TOT","RT","A","2012",6.588575,
"BEL","NONFINCORP","TOT","RT","A","2013",5.484523,
"BEL","NONFINCORP","TOT","RT","A","2014",5.716658,
"BEL","NONFINCORP","TOT","RT","A","2015",5.802315,
"FIN","NONFINCORP","TOT","RT","A","1995",2.888337,
"FIN","NONFINCORP","TOT","RT","A","1996",2.870591,
"FIN","NONFINCORP","TOT","RT","A","1997",2.564067,
"FIN","NONFINCORP","TOT","RT","A","1998",2.377726,
"FIN","NONFINCORP","TOT","RT","A","1999",2.467252,
"FIN","NONFINCORP","TOT","RT","A","2000",2.592851,
"FIN","NONFINCORP","TOT","RT","A","2001",2.504123,
"FIN","NONFINCORP","TOT","RT","A","2002",2.80743,
"FIN","NONFINCORP","TOT","RT","A","2003",2.953233,
"FIN","NONFINCORP","TOT","RT","A","2004",2.802134,
"FIN","NONFINCORP","TOT","RT","A","2005",3.030519,
"FIN","NONFINCORP","TOT","RT","A","2006",3.035923,
"FIN","NONFINCORP","TOT","RT","A","2007",3.022539,
"FIN","NONFINCORP","TOT","RT","A","2008",3.440957,
"FIN","NONFINCORP","TOT","RT","A","2009",4.283991,
"FIN","NONFINCORP","TOT","RT","A","2010",4.284532,
"FIN","NONFINCORP","TOT","RT","A","2011",4.244219,
"FIN","NONFINCORP","TOT","RT","A","2012",4.589425,
