"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","VANONFINCORP","COMPEMPLOYEE","PC_NVA","A","1995",72.5308497998227,
"AUT","VANONFINCORP","COMPEMPLOYEE","PC_NVA","A","1996",70.9973234058598,
"AUT","VANONFINCORP","COMPEMPLOYEE","PC_NVA","A","1997",69.3103936812652,
"AUT","VANONFINCORP","COMPEMPLOYEE","PC_NVA","A","1998",68.7531257908176,
"AUT","VANONFINCORP","COMPEMPLOYEE","PC_NVA","A","1999",68.7813039014729,
"AUT","VANONFINCORP","COMPEMPLOYEE","PC_NVA","A","2000",68.0586407492259,
"AUT","VANONFINCORP","COMPEMPLOYEE","PC_NVA","A","2001",66.8343288602523,
"AUT","VANONFINCORP","COMPEMPLOYEE","PC_NVA","A","2002",66.3871746440115,
"AUT","VANONFINCORP","COMPEMPLOYEE","PC_NVA","A","2003",66.5448258140596,
"AUT","VANONFINCORP","COMPEMPLOYEE","PC_NVA","A","2004",64.8337784914718,
"AUT","VANONFINCORP","COMPEMPLOYEE","PC_NVA","A","2005",63.6087201835406,
"AUT","VANONFINCORP","COMPEMPLOYEE","PC_NVA","A","2006",62.4501677379139,
"AUT","VANONFINCORP","COMPEMPLOYEE","PC_NVA","A","2007",61.9720047644734,
"AUT","VANONFINCORP","COMPEMPLOYEE","PC_NVA","A","2008",64.4641051022435,
"AUT","VANONFINCORP","COMPEMPLOYEE","PC_NVA","A","2009",67.975338786473,
"AUT","VANONFINCORP","COMPEMPLOYEE","PC_NVA","A","2010",67.2333087937136,
"AUT","VANONFINCORP","COMPEMPLOYEE","PC_NVA","A","2011",66.8282975107364,
"AUT","VANONFINCORP","COMPEMPLOYEE","PC_NVA","A","2012",68.5996750415245,
"AUT","VANONFINCORP","COMPEMPLOYEE","PC_NVA","A","2013",70.0559279383681,
"AUT","VANONFINCORP","COMPEMPLOYEE","PC_NVA","A","2014",70.5625598395268,
"AUT","VANONFINCORP","COMPEMPLOYEE","PC_NVA","A","2015",70.8904968776383,
"AUT","VANONFINCORP","NETOPERATING","PC_NVA","A","1995",24.3978903868264,
