"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IND","GFCFASSET","OTHBUILDING","PC_GFCF","A","2004",30.6110821640209,
"IND","GFCFASSET","OTHBUILDING","PC_GFCF","A","2005",30.6618046347653,
"IND","GFCFASSET","OTHBUILDING","PC_GFCF","A","2006",30.8629185347193,
"IND","GFCFASSET","OTHBUILDING","PC_GFCF","A","2007",32.369830569682,
"IND","GFCFASSET","OTHBUILDING","PC_GFCF","A","2008",32.9865599444112,
"IND","GFCFASSET","OTHBUILDING","PC_GFCF","A","2009",33.4909223942687,
"MEX","GFCFASSET","CULTASSET","PC_GFCF","A","2003",0.115273593586528,
"MEX","GFCFASSET","CULTASSET","PC_GFCF","A","2004",0.0955788275519,
"MEX","GFCFASSET","CULTASSET","PC_GFCF","A","2005",0.090961429467821,
"MEX","GFCFASSET","CULTASSET","PC_GFCF","A","2006",0.08658259158754,
"MEX","GFCFASSET","CULTASSET","PC_GFCF","A","2007",0.084754206892423,
"MEX","GFCFASSET","CULTASSET","PC_GFCF","A","2008",0.089739331971933,
"MEX","GFCFASSET","CULTASSET","PC_GFCF","A","2009",0.096450277459702,
"MEX","GFCFASSET","CULTASSET","PC_GFCF","A","2010",0.095484134847826,
"MEX","GFCFASSET","CULTASSET","PC_GFCF","A","2011",0.091548574485008,
"MEX","GFCFASSET","CULTASSET","PC_GFCF","A","2012",0.087470483727251,
"MEX","GFCFASSET","CULTASSET","PC_GFCF","A","2013",0.108524351088478,
"MEX","GFCFASSET","CULTASSET","PC_GFCF","A","2014",0.107021369216547,
"MEX","GFCFASSET","CULTASSET","PC_GFCF","A","2015",0.101893080291942,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1970",34.015037593985,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1971",35.4300385109114,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1972",36.3877235592846,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1973",34.6276495966986,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1974",35.8470281062817,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1975",34.5044632639048,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1976",33.7247993736543,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1977",34.5421245421245,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1978",34.3166607960549,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1979",34.6130863459815,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1980",33.0809486694132,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1981",31.0531135531136,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1982",29.1489447887552,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1983",27.50671029893,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1984",26.9965787745793,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1985",27.3403959600951,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1986",27.0792921304724,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1987",25.8857515081141,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1988",24.9536096138553,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1989",27.1894005961303,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1990",31.2502994394494,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1991",30.0162556741504,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1992",25.9811886058402,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1993",23.6348172067812,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1994",23.3529934758381,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1995",22.0940689309018,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1996",22.8863882117919,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1997",22.8691559256949,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1998",22.2877135930082,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","1999",23.4146196572311,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","2000",23.4201070517462,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","2001",21.9676192706632,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","2002",21.5688188310315,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","2003",23.3413725888133,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","2004",23.4023994865296,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","2005",23.2603382228621,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","2006",23.1197483517904,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","2007",26.777301238899,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","2008",33.4035910426807,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","2009",40.2168915912798,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","2010",39.4085348232348,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","2011",38.1715477627427,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","2012",35.9414488083905,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","2013",35.8836010655644,
"ZAF","GFCFASSET","OTHBUILDING","PC_GFCF","A","2014",38.1298181298181,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1980",1.46818923327896,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1981",1.06537530266344,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1982",1.26970600766937,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1983",1.25075346594334,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1984",1.47821761068865,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1985",1.81665915093732,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1986",2.16688030275285,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1987",2.27148030286404,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1988",2.41972795410382,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1989",2.37006553878982,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1990",3.1341458896751,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1991",3.89182938219988,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1992",5.13773154291174,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1993",6.99530802510511,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1994",8.31954620657055,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1995",10.4021899347231,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1996",7.78860856269113,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1997",7.38127429440595,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1998",8.15922257521959,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1999",8.25784706130188,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2000",7.46733636392536,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2001",7.05864570737606,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2002",6.49808237972,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2003",8.15079269030618,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2004",7.89630090849914,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2005",8.08182516759851,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2006",8.23206386332435,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2007",8.04602798040042,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2008",7.94158111969521,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2009",8.28173938378615,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2010",8.31602863215499,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2011",8.09063706343224,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2012",8.22909661510872,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2013",8.4047071930924,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2014",9.22457677281875,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2015",9.44209023014071,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2016",8.57549059733322,
"CHE","GFCFASSET","FIXASSET","PC_GFCF","A","1995",14.590126317123,
"CHE","GFCFASSET","FIXASSET","PC_GFCF","A","1996",15.7586859998871,
