"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","GFCFSECTOR","HH","PC_GFCF","A","1994",23.7318390158476,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","1995",22.5397485809385,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","1996",22.6138968409673,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","1997",21.0116553173367,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","1998",19.5450593836037,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","1999",19.5474700764519,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2000",19.226662747197,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2001",18.5750474847318,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2002",19.311788726789,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2003",18.8902820769658,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2004",18.9353381538412,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2005",18.2220971011728,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2006",17.6056305583412,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2007",16.5596467641361,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2008",16.317639534716,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2009",15.571661013109,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2010",15.6646905431857,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2011",16.1660202067123,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2012",16.0015211907824,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2013",16.5682837585139,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2014",15.5112220262769,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2015",15.0272272309315,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1992",18.4186266398771,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1993",16.0876675998232,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1994",15.3585641144985,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1995",16.8083705850567,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1996",17.6659948542024,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1997",18.2103063517723,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1998",19.4051685158777,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1999",20.7262325981284,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2000",22.1406585540444,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2001",23.8786780159731,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2002",23.5247163047697,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2003",24.6572159217256,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2004",22.3129587330592,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2005",23.8901991821659,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2006",23.0643064329363,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2007",21.2086490499943,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2008",19.4671880126873,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2009",20.5058538297126,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2010",20.5359662481771,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2011",24.5309257935731,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2012",24.5575447361213,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2013",25.7998183992559,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2014",25.3400033786929,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","1999",50.840145692903,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2000",47.5648511487211,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2001",45.7454704493728,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2002",45.0640295791534,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2003",43.7286114705465,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2004",42.6634518858385,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2005",43.2828691176873,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2006",42.5186536479043,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2007",42.79502290573,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2008",42.1149096822839,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2009",57.8570517561609,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2010",59.7393788853828,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2011",67.1410264387647,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2012",74.5381048804995,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2013",72.418714136072,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2014",72.9221697765733,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2015",78.5892636409057,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","1995",15.9869377005509,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","1996",13.7754886920535,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","1997",13.7905907582268,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","1998",14.4585123739056,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","1999",12.6046583587143,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2000",13.6369380903451,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2001",12.1907441544581,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2002",12.6370207144205,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2003",25.1835893245176,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2004",16.6121905664585,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2005",17.4578740511966,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2006",17.3717713293949,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2007",15.4472126260164,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2008",17.0915241321786,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2009",20.4577083364677,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2010",17.5607994333985,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2011",16.967958336184,"B"
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2012",16.1011575722259,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2013",14.8368836585729,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2014",16.4178677674515,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2015",19.3237464954958,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2003",64.5627911739618,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2004",62.49359916212,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2005",66.4062335095911,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2006",64.0803083832636,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2007",63.0358242402167,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2008",65.244039036556,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2009",63.8746988977074,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2010",71.8934480545422,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2011",70.8525847176532,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2012",74.3575590019781,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2013",75.2984319462297,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2014",73.7484090406672,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2015",71.3818912703107,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","1995",15.3628105260808,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","1996",14.1972079191563,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","1997",11.448304555856,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","1998",11.2150166969734,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","1999",11.24067759344,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2000",10.1954506791856,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2001",9.52549924824682,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2002",10.9418147436667,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2003",10.1148473986016,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2004",9.96295420509183,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2005",12.6776845935999,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2006",12.5583627802282,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2007",12.8244458202046,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2008",13.7617569098174,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2009",14.9013086319978,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2010",14.8606495545271,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2011",13.3154416944333,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2012",12.7767133915239,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2013",13.0006606462541,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2014",12.9467916185852,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2015",13.08421552616,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","1994",22.1445095453268,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","1995",21.4152641154929,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","1996",21.6127482383088,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","1997",20.3734743336658,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","1998",20.7012895224454,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","1999",22.4304745521061,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2000",20.173575194194,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2001",20.4576541354033,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2002",20.6212515156536,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2003",19.2639049819295,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2004",17.5368321920541,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2005",16.283005200796,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2006",15.3250117866396,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2007",14.7912059118033,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2008",14.6599409819564,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2009",17.5073611970133,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2010",17.5455215832225,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2011",16.4269887353385,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2012",16.0646938648609,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2013",16.6084093319646,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2014",16.4752946229282,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2015",15.8850318207451,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","1992",6.85285427254462,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","1993",6.96463827906291,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","1994",7.61769839422853,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","1995",7.4872525421231,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","1996",7.57474271012007,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","1997",8.75152781611008,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","1998",9.18326319084554,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","1999",8.8538077444529,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2000",8.82456454306848,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2001",8.979140395124,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2002",9.20681781857205,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2003",11.7134200578163,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2004",12.2461854728186,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2005",12.1043925603482,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2006",11.6037856987263,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2007",11.1637189201538,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2008",11.4852736675989,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2009",12.3236928573707,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2010",12.3233222298159,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2011",10.9305825529997,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2012",10.68971917531,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2013",10.711361857938,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2014",11.4263393241925,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","1995",13.0112832965724,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","1996",11.941883740247,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","1997",10.9736959491161,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","1998",13.765015990431,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","1999",18.1583126094601,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2000",24.3290167887973,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2001",18.9978673299493,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2002",21.5760746955536,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2003",21.3757742472726,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2004",19.7973113797416,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2005",20.1029593001031,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2006",20.2224600994304,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2007",20.0405284800163,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2008",20.1427657885578,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2009",24.8427264154263,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2010",21.8170477333852,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2011",19.6829136023066,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2012",21.6024824694693,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2013",21.5552426265655,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2014",21.492871741688,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2015",19.2718587345198,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","1995",25.3352131630404,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","1996",25.5857255932052,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","1997",25.0547534622171,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","1998",24.6496558677205,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","1999",23.8238588696456,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2000",22.2020263766882,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2001",22.6827936479925,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2002",21.3113556151628,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2003",20.7103251420965,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2004",20.9307647961318,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2005",21.6368565027236,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2006",22.4880855106876,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2007",21.6816194048121,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2008",21.6486272840145,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2009",20.6461135895514,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2010",20.8898091724127,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2011",19.9631745297324,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2012",19.103272572233,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2013",17.6326406325873,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2014",18.4359407600029,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2015",18.9177942550566,
"CAN","GFCFSECTOR","CORP","PC_GFCF","A","1981",55.5869013259261,
"CAN","GFCFSECTOR","CORP","PC_GFCF","A","1982",55.6827650758501,
"CAN","GFCFSECTOR","CORP","PC_GFCF","A","1983",50.3268416596105,
"CAN","GFCFSECTOR","CORP","PC_GFCF","A","1984",49.0739249476566,
"CAN","GFCFSECTOR","CORP","PC_GFCF","A","1985",50.173849214781,
"CAN","GFCFSECTOR","CORP","PC_GFCF","A","1986",48.8901927156203,
"CAN","GFCFSECTOR","CORP","PC_GFCF","A","1987",48.2859418558343,
"CAN","GFCFSECTOR","CORP","PC_GFCF","A","1988",48.9137024348292,
"CAN","GFCFSECTOR","CORP","PC_GFCF","A","1989",48.0538766828357,
"CAN","GFCFSECTOR","CORP","PC_GFCF","A","1990",47.9172739076287,
"CAN","GFCFSECTOR","CORP","PC_GFCF","A","1991",48.4490700045709,
"CAN","GFCFSECTOR","CORP","PC_GFCF","A","1992",46.0038342512081,
"CAN","GFCFSECTOR","CORP","PC_GFCF","A","1993",46.8458513905232,
"CAN","GFCFSECTOR","CORP","PC_GFCF","A","1994",47.252876032735,
"CAN","GFCFSECTOR","CORP","PC_GFCF","A","1995",49.9954122427579,
