"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1971",0.7857832058,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1972",9.7670209766,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1973",5.3339944324,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1974",-7.1628281545,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1975",-9.5969993341,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1976",16.6818707049,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1977",-0.5930250067,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1978",2.0535974366,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1979",0.5925503068,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1980",-9.3012433816,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1981",-16.7447739061,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1982",8.2984495833,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1983",4.4072642485,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1984",10.3486780012,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1985",13.8720907821,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1986",18.2613525165,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1987",3.1340152698,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1988",-5.6798764886,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1989",2.0709093333,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1990",-0.242349984,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1991",-2.3255288885,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1992",-0.5131642819,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1993",-2.6431840888,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1994",6.8603912996,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1995",10.565481508,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1996",5.3180573174,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1997",10.2072129437,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1998",6.6465256798,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1999",-0.2617459302,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2000",8.1661769229,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2001",-0.4667864641,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2002",-2.2935124538,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2003",1.6384161459,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2004",3.5175187307,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2005",5.9424236242,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2006",13.6684825076,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2007",0.6906355418,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2008",-2.4965924524,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2009",-12.9673902171,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2010",-5.7466970858,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2011",0.3886887015,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2012",3.7330588125,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2013",2.7324835916,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2014",3.4502803994,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2015",2.4672484272,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2016",5.2065495856,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2017",2.4647871523,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2018",3.1029083235,
"AUS","GFCFFORECAST","TOT","AGRWTH","A","1961",6.523297491,
"AUS","GFCFFORECAST","TOT","AGRWTH","A","1962",1.2497596616,
"AUS","GFCFFORECAST","TOT","AGRWTH","A","1963",9.6111849601,
"AUS","GFCFFORECAST","TOT","AGRWTH","A","1964",8.3114970656,
"AUS","GFCFFORECAST","TOT","AGRWTH","A","1965",8.5054483655,
"AUS","GFCFFORECAST","TOT","AGRWTH","A","1966",5.5667139619,
"AUS","GFCFFORECAST","TOT","AGRWTH","A","1967",6.1110141386,
"AUS","GFCFFORECAST","TOT","AGRWTH","A","1968",7.8942606636,
"AUS","GFCFFORECAST","TOT","AGRWTH","A","1969",4.5205061747,
