"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GFCF","TOT","AGRWTH","A","1960",5.636184,
"AUS","GFCF","TOT","AGRWTH","A","1961",2.105134,
"AUS","GFCF","TOT","AGRWTH","A","1962",6.250301,
"AUS","GFCF","TOT","AGRWTH","A","1963",9.379965,
"AUS","GFCF","TOT","AGRWTH","A","1964",7.480029,
"AUS","GFCF","TOT","AGRWTH","A","1965",8.131274,
"AUS","GFCF","TOT","AGRWTH","A","1966",5.095337,
"AUS","GFCF","TOT","AGRWTH","A","1967",7.348894,
"AUS","GFCF","TOT","AGRWTH","A","1968",6.396379,
"AUS","GFCF","TOT","AGRWTH","A","1969",3.282565,
"AUS","GFCF","TOT","AGRWTH","A","1970",3.22,
"AUS","GFCF","TOT","AGRWTH","A","1971",2.809827,
"AUS","GFCF","TOT","AGRWTH","A","1972",3.037006,
"AUS","GFCF","TOT","AGRWTH","A","1973",4.321142,
"AUS","GFCF","TOT","AGRWTH","A","1974",-6.403232,
"AUS","GFCF","TOT","AGRWTH","A","1975",3.411206,
"AUS","GFCF","TOT","AGRWTH","A","1976",3.877809,
"AUS","GFCF","TOT","AGRWTH","A","1977",3.814666,
"AUS","GFCF","TOT","AGRWTH","A","1978",9.771644,
"AUS","GFCF","TOT","AGRWTH","A","1979",2.875811,
"AUS","GFCF","TOT","AGRWTH","A","1980",12.776463,
"AUS","GFCF","TOT","AGRWTH","A","1981",7.269032,
"AUS","GFCF","TOT","AGRWTH","A","1982",-9.482072,
"AUS","GFCF","TOT","AGRWTH","A","1983",5.092919,
"AUS","GFCF","TOT","AGRWTH","A","1984",9.615904,
"AUS","GFCF","TOT","AGRWTH","A","1985",5.927203,
"AUS","GFCF","TOT","AGRWTH","A","1986",0.391953,
"AUS","GFCF","TOT","AGRWTH","A","1987",7.490679,
"AUS","GFCF","TOT","AGRWTH","A","1988",10.709272,
"AUS","GFCF","TOT","AGRWTH","A","1989",0.890311,
