"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1961",1.0175763182,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1962",6.1240842491,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1963",9.2330924388,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1964",9.7215364866,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1965",7.5282365117,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1966",6.984432541,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1967",10.6786622335,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1968",9.1853684397,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1969",12.2871755033,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1970",11.199192851,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1971",10.5664290343,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1972",9.5824247966,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1973",18.0409944799,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1974",19.4381004169,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1975",16.8376483443,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1976",17.3674161244,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1977",11.3235945108,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1978",10.3706060124,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1979",14.7445597348,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1980",12.8404791434,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1981",14.4999721743,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1982",11.6181438188,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1983",8.3203152641,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1984",13.0423858697,
