"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","A","1961",4.513858,
"OECD","QGDP","TOT","PC_CHGPP","A","1962",5.686373,
"OECD","QGDP","TOT","PC_CHGPP","A","1963",5.15553,
"OECD","QGDP","TOT","PC_CHGPP","A","1964",6.335201,
"OECD","QGDP","TOT","PC_CHGPP","A","1965",5.354942,
"OECD","QGDP","TOT","PC_CHGPP","A","1966",5.702045,
"OECD","QGDP","TOT","PC_CHGPP","A","1967",3.909617,
"OECD","QGDP","TOT","PC_CHGPP","A","1968",5.855768,
"OECD","QGDP","TOT","PC_CHGPP","A","1969",5.51293,
"OECD","QGDP","TOT","PC_CHGPP","A","1970",3.881466,
"OECD","QGDP","TOT","PC_CHGPP","A","1971",3.654858,
"OECD","QGDP","TOT","PC_CHGPP","A","1972",5.441875,
"OECD","QGDP","TOT","PC_CHGPP","A","1973",6.038306,
"OECD","QGDP","TOT","PC_CHGPP","A","1974",1.006163,
"OECD","QGDP","TOT","PC_CHGPP","A","1975",0.386836,
"OECD","QGDP","TOT","PC_CHGPP","A","1976",4.822761,
"OECD","QGDP","TOT","PC_CHGPP","A","1977",3.595507,
"OECD","QGDP","TOT","PC_CHGPP","A","1978",4.361958,
"OECD","QGDP","TOT","PC_CHGPP","A","1979",3.828584,
"OECD","QGDP","TOT","PC_CHGPP","A","1980",1.285183,
"OECD","QGDP","TOT","PC_CHGPP","A","1981",2.198882,
"OECD","QGDP","TOT","PC_CHGPP","A","1982",0.065474,
"OECD","QGDP","TOT","PC_CHGPP","A","1983",2.748254,
"OECD","QGDP","TOT","PC_CHGPP","A","1984",4.720438,
"OECD","QGDP","TOT","PC_CHGPP","A","1985",3.826292,
"OECD","QGDP","TOT","PC_CHGPP","A","1986",2.816686,
"OECD","QGDP","TOT","PC_CHGPP","A","1987",3.464506,
"OECD","QGDP","TOT","PC_CHGPP","A","1988",4.489943,
"OECD","QGDP","TOT","PC_CHGPP","A","1989",3.806273,
"OECD","QGDP","TOT","PC_CHGPP","A","1990",3.08341,
"OECD","QGDP","TOT","PC_CHGPP","A","1991",1.263683,
"OECD","QGDP","TOT","PC_CHGPP","A","1992",2.185929,
"OECD","QGDP","TOT","PC_CHGPP","A","1993",1.375342,
"OECD","QGDP","TOT","PC_CHGPP","A","1994",2.894689,
"OECD","QGDP","TOT","PC_CHGPP","A","1995",2.410068,
"OECD","QGDP","TOT","PC_CHGPP","A","1996",3.075392,
"OECD","QGDP","TOT","PC_CHGPP","A","1997",3.513745,
"OECD","QGDP","TOT","PC_CHGPP","A","1998",2.877337,
"OECD","QGDP","TOT","PC_CHGPP","A","1999",3.355655,
"OECD","QGDP","TOT","PC_CHGPP","A","2000",4.132831,
"OECD","QGDP","TOT","PC_CHGPP","A","2001",1.331195,
"OECD","QGDP","TOT","PC_CHGPP","A","2002",1.691771,
"OECD","QGDP","TOT","PC_CHGPP","A","2003",2.088713,
"OECD","QGDP","TOT","PC_CHGPP","A","2004",3.331483,
"OECD","QGDP","TOT","PC_CHGPP","A","2005",2.834336,
"OECD","QGDP","TOT","PC_CHGPP","A","2006",3.09563,
"OECD","QGDP","TOT","PC_CHGPP","A","2007",2.649984,
"OECD","QGDP","TOT","PC_CHGPP","A","2008",0.249408,
"OECD","QGDP","TOT","PC_CHGPP","A","2009",-3.471661,
"OECD","QGDP","TOT","PC_CHGPP","A","2010",2.994166,
"OECD","QGDP","TOT","PC_CHGPP","A","2011",2.027611,
"OECD","QGDP","TOT","PC_CHGPP","A","2012",1.343569,
"OECD","QGDP","TOT","PC_CHGPP","A","2013",1.483913,
"OECD","QGDP","TOT","PC_CHGPP","A","2014",2.150621,
"OECD","QGDP","TOT","PC_CHGPP","A","2015",2.468105,
"OECD","QGDP","TOT","PC_CHGPP","A","2016",1.754105,
"EST","QGDP","TOT","PC_CHGPP","A","1996",5.323845,
"EST","QGDP","TOT","PC_CHGPP","A","1997",11.798618,
"EST","QGDP","TOT","PC_CHGPP","A","1998",4.117259,
"EST","QGDP","TOT","PC_CHGPP","A","1999",-0.856447,
"EST","QGDP","TOT","PC_CHGPP","A","2000",10.568073,
"EST","QGDP","TOT","PC_CHGPP","A","2001",6.328712,
"EST","QGDP","TOT","PC_CHGPP","A","2002",6.076393,
"EST","QGDP","TOT","PC_CHGPP","A","2003",7.416163,
"EST","QGDP","TOT","PC_CHGPP","A","2004",6.294748,
"EST","QGDP","TOT","PC_CHGPP","A","2005",9.373711,
"EST","QGDP","TOT","PC_CHGPP","A","2006",10.271884,
"EST","QGDP","TOT","PC_CHGPP","A","2007",7.748192,
"EST","QGDP","TOT","PC_CHGPP","A","2008",-5.419456,
"EST","QGDP","TOT","PC_CHGPP","A","2009",-14.724404,
"EST","QGDP","TOT","PC_CHGPP","A","2010",2.259076,
"EST","QGDP","TOT","PC_CHGPP","A","2011",7.597301,
"EST","QGDP","TOT","PC_CHGPP","A","2012",4.307259,
"EST","QGDP","TOT","PC_CHGPP","A","2013",1.415215,
"EST","QGDP","TOT","PC_CHGPP","A","2014",2.822907,
"EST","QGDP","TOT","PC_CHGPP","A","2015",1.444215,
"EST","QGDP","TOT","PC_CHGPP","A","2016",1.570294,
"DEU","QGDP","TOT","PC_CHGPY","Q","1961-Q1",7.45029,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1961-Q2",5.002099,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1961-Q3",3.57695,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1961-Q4",2.996161,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1962-Q1",3.466854,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1962-Q2",5.112241,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1962-Q3",5.465212,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1962-Q4",4.759933,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1963-Q1",-0.372461,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1963-Q2",3.021411,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1963-Q3",4.102017,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1963-Q4",4.832455,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1964-Q1",10.127128,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1964-Q2",6.688293,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1964-Q3",4.182534,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1964-Q4",5.091161,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1965-Q1",5.36137,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1965-Q2",5.732237,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1965-Q3",5.341683,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1965-Q4",4.549873,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1966-Q1",4.73437,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1966-Q2",3.424304,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1966-Q3",2.86622,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1966-Q4",0.657536,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1967-Q1",-1.629791,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1967-Q2",-2.237879,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1967-Q3",0,"E"
