"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1961",-0.0039919363,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1962",5.5250603804,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1963",6.0930258952,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1964",6.2437375419,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1965",4.9880685079,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1966",2.9221931314,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1967",7.1954378576,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1968",5.2996059342,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1969",6.2532676591,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1970",6.9449803825,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1971",3.8694569829,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1972",2.2891793785,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1973",4.3635327635,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1974",1.6018956311,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1975",2.4196633923,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1976",3.8882487875,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1977",1.4860185773,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1978",2.0148496128,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1979",4.6178281807,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1980",2.726435118,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1981",4.1775603875,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1982",-0.3551853046,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1983",-0.1540891338,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1984",6.5248236889,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1985",5.0972350579,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1986",1.9434808664,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1987",5.2751054438,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1988",4.5133335569,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1989",4.2543990581,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1990",1.3715016672,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1991",-1.2932843721,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1992",3.0101309427,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1993",4.160229931,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1994",4.6420270077,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1995",3.4912596429,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1996",3.9681260962,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1997",3.8888470717,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1998",4.9522873923,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1999",4.0637959828,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2000",3.5194586769,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2001",2.5032984017,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2002",3.9814909307,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2003",2.996757705,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2004",3.9442621656,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2005",3.201941151,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2006",2.7226355996,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2007",4.5285988065,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2008",2.4507546115,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2009",1.7870224271,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2010",2.3780765839,
