"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FDIFLOW","INWARD","MLN_USD","A","2005",-28222.882388787,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2006",26331.097882601,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2007",41475.066934404,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2008",46687.265135699,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2009",31668.226485728,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2010",36441.937259218,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2011",58906.652913873,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2012",58968.944099379,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2013",56946.159783867,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2014",39613.304488913,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2015",22267.638440153,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2016",43324.908942243,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2005",-35692.413162706,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2006",20020.345113405,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2007",11895.917001339,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2008",30260.542797495,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2009",16409.296521603,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2010",19802.788479178,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2011",1716.3486333161,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2012",6736.0248447205,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2013",1580.4708606716,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2014",2.7041644131963,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2015",-16741.302877752,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2016",448.22716122798,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2006",3.215533601548,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2007",4.2047279957895,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2008",4.4199500660948,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2009",3.1294331204792,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2010",2.8166718678456,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2011",3.8282671439961,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2012",3.7283919379165,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2013",3.7100321985972,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2014",2.7176938870238,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2015",1.7910980499053,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2016",3.4476786464097,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2006",2.4448692839838,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2007",1.2060039669189,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2008",2.8648088027667,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2009",1.6215557900475,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2010",1.5305980254957,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2011",0.11154327661722,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2012",0.42589436029812,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2013",0.10296739594541,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2014",0.00018552077869,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2016",0.0356687007598,
"AUT","FDIFLOW","INWARD","MLN_USD","A","2005",10777.8749739,
