"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FDIRESTR","MFG","RESTR","A","1997",0.2,
"AUS","FDIRESTR","MFG","RESTR","A","2003",0.175,
"AUS","FDIRESTR","MFG","RESTR","A","2006",0.175,
"AUS","FDIRESTR","MFG","RESTR","A","2010",0.075,
"AUS","FDIRESTR","MFG","RESTR","A","2011",0.075,
"AUS","FDIRESTR","MFG","RESTR","A","2012",0.075,
"AUS","FDIRESTR","MFG","RESTR","A","2013",0.075,
"AUS","FDIRESTR","MFG","RESTR","A","2014",0.075,
"AUS","FDIRESTR","MFG","RESTR","A","2015",0.08,
"AUS","FDIRESTR","MFG","RESTR","A","2016",0.08,
"AUS","FDIRESTR","TOT","RESTR","A","1997",0.266,
"AUS","FDIRESTR","TOT","RESTR","A","2003",0.246,
"AUS","FDIRESTR","TOT","RESTR","A","2006",0.237,
"AUS","FDIRESTR","TOT","RESTR","A","2010",0.128,
"AUS","FDIRESTR","TOT","RESTR","A","2011",0.128,
"AUS","FDIRESTR","TOT","RESTR","A","2012",0.128,
"AUS","FDIRESTR","TOT","RESTR","A","2013",0.128,
"AUS","FDIRESTR","TOT","RESTR","A","2014",0.127,
"AUS","FDIRESTR","TOT","RESTR","A","2015",0.14,
"AUS","FDIRESTR","TOT","RESTR","A","2016",0.146,
"AUS","FDIRESTR","BSNSSERV","RESTR","A","1997",0.203,
"AUS","FDIRESTR","BSNSSERV","RESTR","A","2003",0.178,
"AUS","FDIRESTR","BSNSSERV","RESTR","A","2006",0.178,
"AUS","FDIRESTR","BSNSSERV","RESTR","A","2010",0.078,
"AUS","FDIRESTR","BSNSSERV","RESTR","A","2011",0.078,
"AUS","FDIRESTR","BSNSSERV","RESTR","A","2012",0.078,
"AUS","FDIRESTR","BSNSSERV","RESTR","A","2013",0.078,
"AUS","FDIRESTR","BSNSSERV","RESTR","A","2014",0.078,
"AUS","FDIRESTR","BSNSSERV","RESTR","A","2015",0.078,
"AUS","FDIRESTR","BSNSSERV","RESTR","A","2016",0.078,
"AUS","FDIRESTR","DISTRIB","RESTR","A","1997",0.2,
"AUS","FDIRESTR","DISTRIB","RESTR","A","2003",0.175,
"AUS","FDIRESTR","DISTRIB","RESTR","A","2006",0.175,
"AUS","FDIRESTR","DISTRIB","RESTR","A","2010",0.075,
"AUS","FDIRESTR","DISTRIB","RESTR","A","2011",0.075,
"AUS","FDIRESTR","DISTRIB","RESTR","A","2012",0.075,
"AUS","FDIRESTR","DISTRIB","RESTR","A","2013",0.075,
"AUS","FDIRESTR","DISTRIB","RESTR","A","2014",0.075,
"AUS","FDIRESTR","DISTRIB","RESTR","A","2015",0.075,
"AUS","FDIRESTR","DISTRIB","RESTR","A","2016",0.075,
"AUS","FDIRESTR","ELECTRICITY","RESTR","A","1997",0.2,
"AUS","FDIRESTR","ELECTRICITY","RESTR","A","2003",0.175,
"AUS","FDIRESTR","ELECTRICITY","RESTR","A","2006",0.175,
"AUS","FDIRESTR","ELECTRICITY","RESTR","A","2010",0.075,
"AUS","FDIRESTR","ELECTRICITY","RESTR","A","2011",0.075,
"AUS","FDIRESTR","ELECTRICITY","RESTR","A","2012",0.075,
"AUS","FDIRESTR","ELECTRICITY","RESTR","A","2013",0.075,
"AUS","FDIRESTR","ELECTRICITY","RESTR","A","2014",0.075,
"AUS","FDIRESTR","ELECTRICITY","RESTR","A","2015",0.075,
"AUS","FDIRESTR","ELECTRICITY","RESTR","A","2016",0.2,
"AUS","FDIRESTR","FINANSERV","RESTR","A","1997",0.283,
"AUS","FDIRESTR","FINANSERV","RESTR","A","2003",0.267,
"AUS","FDIRESTR","FINANSERV","RESTR","A","2006",0.267,
"AUS","FDIRESTR","FINANSERV","RESTR","A","2010",0.133,
"AUS","FDIRESTR","FINANSERV","RESTR","A","2011",0.133,
"AUS","FDIRESTR","FINANSERV","RESTR","A","2012",0.133,
"AUS","FDIRESTR","FINANSERV","RESTR","A","2013",0.133,
"AUS","FDIRESTR","FINANSERV","RESTR","A","2014",0.133,
"AUS","FDIRESTR","FINANSERV","RESTR","A","2015",0.133,
"AUS","FDIRESTR","FINANSERV","RESTR","A","2016",0.133,
"AUS","FDIRESTR","MEDIA","RESTR","A","1997",0.763,
"AUS","FDIRESTR","MEDIA","RESTR","A","2003",0.763,
"AUS","FDIRESTR","MEDIA","RESTR","A","2006",0.613,
"AUS","FDIRESTR","MEDIA","RESTR","A","2010",0.2,
"AUS","FDIRESTR","MEDIA","RESTR","A","2011",0.2,
