"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FDISTOCK","INWARD","MLN_USD","A","2005",247738.81144534,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2006",301968.83404525,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2007",391967.89274058,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2008",307840.60984061,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2009",439445.64047363,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2010",527096.24961886,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2011",554930.93642088,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2012",614541.67100198,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2013",568093.08510638,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2014",562814.96062992,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2015",537366.84445094,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2005",205360.23477623,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2006",264651.95380478,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2007",341250.77180912,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2008",244302.14830215,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2009",364581.09077861,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2010",449768.26913304,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2011",418813.73146455,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2012",476427.01071689,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2013",456992.90780142,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2014",446587.92650919,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2015",396442.6097757,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2005",32.490838736303,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2006",36.876203826441,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2007",39.737569915524,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2008",29.143710171433,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2009",43.42572649492,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2010",40.740347237517,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2011",36.06424344281,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2012",38.855235525603,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2013",37.011163624455,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2014",38.612249035108,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2015",43.223115453695,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","2005",26.932906604486,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","2006",32.319094857679,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","2007",34.595885669815,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","2008",23.128433276112,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","2009",36.027661387897,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","2010",34.763509461786,
