"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHDEBT","TOT","PC_NDI","A","1995",103.5703,
"AUS","HHDEBT","TOT","PC_NDI","A","1996",109.4108,
"AUS","HHDEBT","TOT","PC_NDI","A","1997",119.5541,
"AUS","HHDEBT","TOT","PC_NDI","A","1998",129.2963,
"AUS","HHDEBT","TOT","PC_NDI","A","1999",139.7607,
"AUS","HHDEBT","TOT","PC_NDI","A","2000",140.9188,
"AUS","HHDEBT","TOT","PC_NDI","A","2001",146.1597,
"AUS","HHDEBT","TOT","PC_NDI","A","2002",157.569,
"AUS","HHDEBT","TOT","PC_NDI","A","2003",168.0662,
"AUS","HHDEBT","TOT","PC_NDI","A","2004",181.5424,
"AUS","HHDEBT","TOT","PC_NDI","A","2005",190.065,
"AUS","HHDEBT","TOT","PC_NDI","A","2006",193.8503,
"AUS","HHDEBT","TOT","PC_NDI","A","2007",195.7888,
"AUS","HHDEBT","TOT","PC_NDI","A","2008",190.8969,
"AUS","HHDEBT","TOT","PC_NDI","A","2009",197.6739,
"AUS","HHDEBT","TOT","PC_NDI","A","2010",198.1518,
"AUS","HHDEBT","TOT","PC_NDI","A","2011",196.4905,
"AUS","HHDEBT","TOT","PC_NDI","A","2012",195.5661,
"AUS","HHDEBT","TOT","PC_NDI","A","2013",196.5331,
"AUS","HHDEBT","TOT","PC_NDI","A","2014",203.7439,
"AUS","HHDEBT","TOT","PC_NDI","A","2015",211.8145,
"AUT","HHDEBT","TOT","PC_NDI","A","1995",65.79416,
"AUT","HHDEBT","TOT","PC_NDI","A","1996",68.43458,
"AUT","HHDEBT","TOT","PC_NDI","A","1997",70.79178,
"AUT","HHDEBT","TOT","PC_NDI","A","1998",70.38312,
"AUT","HHDEBT","TOT","PC_NDI","A","1999",73.64539,
"AUT","HHDEBT","TOT","PC_NDI","A","2000",75.5246,
"AUT","HHDEBT","TOT","PC_NDI","A","2001",77.14597,
"AUT","HHDEBT","TOT","PC_NDI","A","2002",79.26852,
"AUT","HHDEBT","TOT","PC_NDI","A","2003",79.44253,
"AUT","HHDEBT","TOT","PC_NDI","A","2004",81.34805,
"AUT","HHDEBT","TOT","PC_NDI","A","2005",87.47219,
"AUT","HHDEBT","TOT","PC_NDI","A","2006",88.77776,
"AUT","HHDEBT","TOT","PC_NDI","A","2007",88.63744,
"AUT","HHDEBT","TOT","PC_NDI","A","2008",90.20093,
"AUT","HHDEBT","TOT","PC_NDI","A","2009",90.34869,
"AUT","HHDEBT","TOT","PC_NDI","A","2010",94.20359,
"AUT","HHDEBT","TOT","PC_NDI","A","2011",93.4807,
"AUT","HHDEBT","TOT","PC_NDI","A","2012",91.06219,
"AUT","HHDEBT","TOT","PC_NDI","A","2013",90.75005,
"AUT","HHDEBT","TOT","PC_NDI","A","2014",91.04642,
"AUT","HHDEBT","TOT","PC_NDI","A","2015",93.50741,
"BEL","HHDEBT","TOT","PC_NDI","A","1995",63.61525,
"BEL","HHDEBT","TOT","PC_NDI","A","1996",66.95876,
"BEL","HHDEBT","TOT","PC_NDI","A","1997",69.85358,
"BEL","HHDEBT","TOT","PC_NDI","A","1998",70.81943,
"BEL","HHDEBT","TOT","PC_NDI","A","1999",72.86789,
"BEL","HHDEBT","TOT","PC_NDI","A","2000",70.63449,
"BEL","HHDEBT","TOT","PC_NDI","A","2001",66.28788,
"BEL","HHDEBT","TOT","PC_NDI","A","2002",68.26832,
"BEL","HHDEBT","TOT","PC_NDI","A","2003",70.6599,
"BEL","HHDEBT","TOT","PC_NDI","A","2004",74.58935,
"BEL","HHDEBT","TOT","PC_NDI","A","2005",79.53007,
"BEL","HHDEBT","TOT","PC_NDI","A","2006",82.79771,
"BEL","HHDEBT","TOT","PC_NDI","A","2007",86.8249,
"BEL","HHDEBT","TOT","PC_NDI","A","2008",89.10609,
"BEL","HHDEBT","TOT","PC_NDI","A","2009",90.11388,
"BEL","HHDEBT","TOT","PC_NDI","A","2010",95.32616,
"BEL","HHDEBT","TOT","PC_NDI","A","2011",101.5978,
"BEL","HHDEBT","TOT","PC_NDI","A","2012",104.029,
"BEL","HHDEBT","TOT","PC_NDI","A","2013",106.795,
"BEL","HHDEBT","TOT","PC_NDI","A","2014",111.1957,
"BEL","HHDEBT","TOT","PC_NDI","A","2015",114.4542,
"CZE","HHDEBT","TOT","PC_NDI","A","1995",28.68955,
"CZE","HHDEBT","TOT","PC_NDI","A","1996",21.5927,
"CZE","HHDEBT","TOT","PC_NDI","A","1997",20.58215,
"CZE","HHDEBT","TOT","PC_NDI","A","1998",19.33349,
"CZE","HHDEBT","TOT","PC_NDI","A","1999",20.49403,
"CZE","HHDEBT","TOT","PC_NDI","A","2000",21.68846,
"CZE","HHDEBT","TOT","PC_NDI","A","2001",22.23867,
"CZE","HHDEBT","TOT","PC_NDI","A","2002",27.05035,
"CZE","HHDEBT","TOT","PC_NDI","A","2003",29.20226,
"CZE","HHDEBT","TOT","PC_NDI","A","2004",34.12238,
"CZE","HHDEBT","TOT","PC_NDI","A","2005",39.40726,
"CZE","HHDEBT","TOT","PC_NDI","A","2006",43.6442,
"CZE","HHDEBT","TOT","PC_NDI","A","2007",52.93654,
"CZE","HHDEBT","TOT","PC_NDI","A","2008",58.8004,
"CZE","HHDEBT","TOT","PC_NDI","A","2009",60.34621,
"CZE","HHDEBT","TOT","PC_NDI","A","2010",61.89302,
"CZE","HHDEBT","TOT","PC_NDI","A","2011",64.64095,
"CZE","HHDEBT","TOT","PC_NDI","A","2012",65.81157,
"CZE","HHDEBT","TOT","PC_NDI","A","2013",68.30981,
"CZE","HHDEBT","TOT","PC_NDI","A","2014",66.66041,
"CZE","HHDEBT","TOT","PC_NDI","A","2015",68.6831,
"DNK","HHDEBT","TOT","PC_NDI","A","1995",192.0898,
"DNK","HHDEBT","TOT","PC_NDI","A","1996",199.4465,
"DNK","HHDEBT","TOT","PC_NDI","A","1997",212.5655,
"DNK","HHDEBT","TOT","PC_NDI","A","1998",220.5775,
"DNK","HHDEBT","TOT","PC_NDI","A","1999",225.5186,
"DNK","HHDEBT","TOT","PC_NDI","A","2000",231.9916,
"DNK","HHDEBT","TOT","PC_NDI","A","2001",236.8431,
"DNK","HHDEBT","TOT","PC_NDI","A","2002",242.1902,
"DNK","HHDEBT","TOT","PC_NDI","A","2003",247.444,
"DNK","HHDEBT","TOT","PC_NDI","A","2004",260.8987,
"DNK","HHDEBT","TOT","PC_NDI","A","2005",281.7372,
