"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHDI","NET","AGRWTH","A","1970",5.35902702243065,
"AUS","HHDI","NET","AGRWTH","A","1971",4.19589121677515,
"AUS","HHDI","NET","AGRWTH","A","1972",7.19554179422878,
"AUS","HHDI","NET","AGRWTH","A","1973",8.14384997008925,
"AUS","HHDI","NET","AGRWTH","A","1974",4.41221182849554,
"AUS","HHDI","NET","AGRWTH","A","1975",1.17407693752437,
"AUS","HHDI","NET","AGRWTH","A","1976",3.34482507949374,
"AUS","HHDI","NET","AGRWTH","A","1977",0.893236705147773,
"AUS","HHDI","NET","AGRWTH","A","1978",3.29324940905495,
"AUS","HHDI","NET","AGRWTH","A","1979",1.06208582141406,
"AUS","HHDI","NET","AGRWTH","A","1980",3.07078377154122,
"AUS","HHDI","NET","AGRWTH","A","1981",4.16550432165306,
"AUS","HHDI","NET","AGRWTH","A","1982",-0.224838482447925,
"AUS","HHDI","NET","AGRWTH","A","1983",4.02751325930148,
"AUS","HHDI","NET","AGRWTH","A","1984",2.60209848225106,
"AUS","HHDI","NET","AGRWTH","A","1985",2.24360821943452,
"AUS","HHDI","NET","AGRWTH","A","1986",-0.1366405718746,
"AUS","HHDI","NET","AGRWTH","A","1987",2.39458951193315,
"AUS","HHDI","NET","AGRWTH","A","1988",5.249348502454,
"AUS","HHDI","NET","AGRWTH","A","1989",3.98921938763215,
"AUS","HHDI","NET","AGRWTH","A","1990",0.64401003344412,
"AUS","HHDI","NET","AGRWTH","A","1991",0.604795007548626,
"AUS","HHDI","NET","AGRWTH","A","1992",1.98192626942797,
"AUS","HHDI","NET","AGRWTH","A","1993",2.0505258830377,
"AUS","HHDI","NET","AGRWTH","A","1994",3.57988274824598,
"AUS","HHDI","NET","AGRWTH","A","1995",3.6872243691556,
"AUS","HHDI","NET","AGRWTH","A","1996",4.05265248376508,
"AUS","HHDI","NET","AGRWTH","A","1997",2.11223171772829,
"AUS","HHDI","NET","AGRWTH","A","1998",4.481388443703,
"AUS","HHDI","NET","AGRWTH","A","1999",3.46369666744314,
"AUS","HHDI","NET","AGRWTH","A","2000",4.1080594725293,
"AUS","HHDI","NET","AGRWTH","A","2001",4.13522139739548,
"AUS","HHDI","NET","AGRWTH","A","2002",0.999586554024724,
"AUS","HHDI","NET","AGRWTH","A","2003",5.5114393832266,
"AUS","HHDI","NET","AGRWTH","A","2004",5.43500696230847,
"AUS","HHDI","NET","AGRWTH","A","2005",2.19679781338052,
"AUS","HHDI","NET","AGRWTH","A","2006",5.08598252525894,
"AUS","HHDI","NET","AGRWTH","A","2007",6.51976793772602,
