"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHFA","CURDEP","PC_HHFA","A","1995",24.4895,
"AUS","HHFA","CURDEP","PC_HHFA","A","1996",23.6142,
"AUS","HHFA","CURDEP","PC_HHFA","A","1997",22.4528,
"AUS","HHFA","CURDEP","PC_HHFA","A","1998",21.27483,
"AUS","HHFA","CURDEP","PC_HHFA","A","1999",19.21703,
"AUS","HHFA","CURDEP","PC_HHFA","A","2000",19.4304,
"AUS","HHFA","CURDEP","PC_HHFA","A","2001",19.85744,
"AUS","HHFA","CURDEP","PC_HHFA","A","2002",20.95455,
"AUS","HHFA","CURDEP","PC_HHFA","A","2003",21.40045,
"AUS","HHFA","CURDEP","PC_HHFA","A","2004",18.91323,
"AUS","HHFA","CURDEP","PC_HHFA","A","2005",17.38127,
"AUS","HHFA","CURDEP","PC_HHFA","A","2006",16.85478,
"AUS","HHFA","CURDEP","PC_HHFA","A","2007",17.09449,
"AUS","HHFA","CURDEP","PC_HHFA","A","2008",23.72334,
"AUS","HHFA","CURDEP","PC_HHFA","A","2009",22.10198,
"AUS","HHFA","CURDEP","PC_HHFA","A","2010",22.95191,
"AUS","HHFA","CURDEP","PC_HHFA","A","2011",24.30395,
"AUS","HHFA","CURDEP","PC_HHFA","A","2012",22.47705,
"AUS","HHFA","CURDEP","PC_HHFA","A","2013",22.21834,
"AUS","HHFA","CURDEP","PC_HHFA","A","2014",22.29374,
"AUS","HHFA","CURDEP","PC_HHFA","A","2015",22.56656,
"AUS","HHFA","CURDEP","PC_HHFA","A","2016",22.36372,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","1995",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","1996",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","1997",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","1998",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","1999",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2000",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2001",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2002",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2003",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2004",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2005",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2006",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2007",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2008",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2009",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2010",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2011",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2012",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2013",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2014",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2015",0,
"AUS","HHFA","MFSH","PC_HHFA","A","1995",0,
"AUS","HHFA","MFSH","PC_HHFA","A","1996",0,
"AUS","HHFA","MFSH","PC_HHFA","A","1997",0,
"AUS","HHFA","MFSH","PC_HHFA","A","1998",0,
"AUS","HHFA","MFSH","PC_HHFA","A","1999",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2000",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2001",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2002",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2003",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2004",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2005",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2006",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2007",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2008",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2009",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2010",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2011",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2012",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2013",0,
