"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","1995",14.80474,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","1996",11.44894,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","1997",10.2062,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","1998",6.657855,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","1999",5.515685,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2000",6.195704,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2001",8.798401,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2002",-5.580853,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2003",7.852551,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2004",9.001667,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2005",5.738219,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2006",8.07762,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2007",3.613978,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2008",9.076358,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2009",4.891821,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2010",-6.886341,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2011",2.693535,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2012",-8.449274,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2013",-2.409035,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2014",-1.615744,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2015",3.265626,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","1996",7.20904,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","1997",5.891942,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","1998",6.35701,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","1999",8.3777,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2000",10.08837,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2001",5.906423,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2002",7.106924,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2003",7.812347,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2004",7.108729,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2005",8.549934,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2006",9.165972,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2007",10.2179,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2008",9.699554,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2009",8.621818,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2010",6.593928,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2011",4.112669,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2012",5.127348,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2013",3.375132,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2014",4.548673,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2015",3.599877,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2003",9.681826,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2004",4.570786,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2005",4.816112,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2006",4.675889,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2007",0.8506939,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2008",0.9977829,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2009",5.484174,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2010",6.752277,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2011",4.052042,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2012",6.376604,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2013",6.513034,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2014",6.218446,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2015",4.713391,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2002",-5.020894,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2003",-12.186,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2004",-11.35028,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2005",-18.3171,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2006",-17.25156,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2007",-19.11542,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2008",-5.510768,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2009",6.428423,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2010",7.481975,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2011",5.041405,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2012",5.898919,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2013",5.251081,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2014",6.165789,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2015",5.347273,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","1996",2.742942,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","1997",0.339999,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","1998",3.683519,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","1999",2.324812,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2000",1.093087,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2001",-1.81132,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2002",3.357393,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2003",2.879282,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2004",1.355172,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2005",3.99027,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2006",-7.911726,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2007",-7.469853,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2008",-4.974718,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2009",0.0456283,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2010",-1.21426,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2011",-2.556752,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2012",-1.226049,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2013",-2.608637,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2014",0.6913998,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2015",-0.445164,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","1995",10.11277,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","1996",2.635001,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","1997",2.47806,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","1998",3.020106,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","1999",1.532639,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2000",-2.877709,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2001",-0.4125683,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2002",-1.125816,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2003",1.158291,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2004",-1.981143,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2005",-4.568472,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2006",-5.946985,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2007",-4.444764,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2008",-2.467033,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2009",3.918662,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2010",-0.2265281,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2011",-3.891515,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2012",-3.514081,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2013",-1.532019,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2014",-3.492471,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2015",-5.000867,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","1995",4.797007,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","1996",2.913175,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","1997",0.7114016,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","1998",5.753055,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","1999",-2.007342,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2000",-1.582802,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2001",-1.447653,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2002",-6.473547,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2003",-9.466386,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2004",-12.56747,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2005",-8.399195,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2006",-15.02532,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2007",-10.40158,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2008",-5.602548,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2009",8.370111,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2010",5.181754,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2011",11.4684,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2012",10.59304,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2013",4.117917,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2014",7.281901,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2015",7.310901,
"KOR","HHFT","NETBALANCE","PC_NHHDI","A","2009",13.90859,
"KOR","HHFT","NETBALANCE","PC_NHHDI","A","2010",8.983033,
"KOR","HHFT","NETBALANCE","PC_NHHDI","A","2011",8.990932,
"KOR","HHFT","NETBALANCE","PC_NHHDI","A","2012",9.598232,
"KOR","HHFT","NETBALANCE","PC_NHHDI","A","2013",11.47394,
