"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","HHWEALTH","TOT","PC_NDI","A","1995",263.1783,
"HUN","HHWEALTH","TOT","PC_NDI","A","1996",289.6345,
"HUN","HHWEALTH","TOT","PC_NDI","A","1997",306.4461,
"HUN","HHWEALTH","TOT","PC_NDI","A","1998",305.092,
"HUN","HHWEALTH","TOT","PC_NDI","A","1999",324.5665,
"HUN","HHWEALTH","TOT","PC_NDI","A","2000",328.5773,
"HUN","HHWEALTH","TOT","PC_NDI","A","2001",319.6617,
"HUN","HHWEALTH","TOT","PC_NDI","A","2002",310.5332,
"HUN","HHWEALTH","TOT","PC_NDI","A","2003",297.4898,
"HUN","HHWEALTH","TOT","PC_NDI","A","2004",292.0594,
"HUN","HHWEALTH","TOT","PC_NDI","A","2005",294.8772,
"HUN","HHWEALTH","TOT","PC_NDI","A","2006",308.9611,
"HUN","HHWEALTH","TOT","PC_NDI","A","2007",320.9632,
"HUN","HHWEALTH","TOT","PC_NDI","A","2008",316.0769,
"HUN","HHWEALTH","TOT","PC_NDI","A","2009",340.0526,
"HUN","HHWEALTH","TOT","PC_NDI","A","2010",347.0392,
"HUN","HHWEALTH","TOT","PC_NDI","A","2011",334.7604,
"HUN","HHWEALTH","TOT","PC_NDI","A","2012",346.4506,
"HUN","HHWEALTH","TOT","PC_NDI","A","2013",351.5667,
"HUN","HHWEALTH","TOT","PC_NDI","A","2014",358.7562,
"SVK","HHWEALTH","TOT","PC_NDI","A","1995",353.5312,
"SVK","HHWEALTH","TOT","PC_NDI","A","1996",328.1951,
"SVK","HHWEALTH","TOT","PC_NDI","A","1997",315.017,
"SVK","HHWEALTH","TOT","PC_NDI","A","1998",312.0124,
"SVK","HHWEALTH","TOT","PC_NDI","A","1999",317.5917,
"SVK","HHWEALTH","TOT","PC_NDI","A","2000",312.6442,
"SVK","HHWEALTH","TOT","PC_NDI","A","2001",303.1499,
"SVK","HHWEALTH","TOT","PC_NDI","A","2002",284.5437,
"SVK","HHWEALTH","TOT","PC_NDI","A","2003",274.1884,
"SVK","HHWEALTH","TOT","PC_NDI","A","2004",256.5201,
"SVK","HHWEALTH","TOT","PC_NDI","A","2005",247.3099,
"SVK","HHWEALTH","TOT","PC_NDI","A","2006",244.5677,
"SVK","HHWEALTH","TOT","PC_NDI","A","2007",229.2159,
"SVK","HHWEALTH","TOT","PC_NDI","A","2008",222.859,
"SVK","HHWEALTH","TOT","PC_NDI","A","2009",227.8441,
"SVK","HHWEALTH","TOT","PC_NDI","A","2010",229.6472,
"SVK","HHWEALTH","TOT","PC_NDI","A","2011",229.0873,
"SVK","HHWEALTH","TOT","PC_NDI","A","2012",225.8402,
"SVK","HHWEALTH","TOT","PC_NDI","A","2013",226.7102,
"SVK","HHWEALTH","TOT","PC_NDI","A","2014",228.4767,
"SVK","HHWEALTH","TOT","PC_NDI","A","2015",226.3602,
"EST","HHWEALTH","TOT","PC_NDI","A","1995",344.5692,
"EST","HHWEALTH","TOT","PC_NDI","A","1996",431.0622,
"EST","HHWEALTH","TOT","PC_NDI","A","1997",448.6099,
"EST","HHWEALTH","TOT","PC_NDI","A","1998",388.0335,
"EST","HHWEALTH","TOT","PC_NDI","A","1999",416.9583,
"EST","HHWEALTH","TOT","PC_NDI","A","2000",360.241,
"EST","HHWEALTH","TOT","PC_NDI","A","2001",383.212,
"EST","HHWEALTH","TOT","PC_NDI","A","2002",364.5408,
"EST","HHWEALTH","TOT","PC_NDI","A","2003",354.4986,
"EST","HHWEALTH","TOT","PC_NDI","A","2004",369.1376,
"EST","HHWEALTH","TOT","PC_NDI","A","2005",350.0413,
"EST","HHWEALTH","TOT","PC_NDI","A","2006",344.1295,
"EST","HHWEALTH","TOT","PC_NDI","A","2007",323.4563,
"EST","HHWEALTH","TOT","PC_NDI","A","2008",277.6,
"EST","HHWEALTH","TOT","PC_NDI","A","2009",304.4282,
"EST","HHWEALTH","TOT","PC_NDI","A","2010",284.8528,
"EST","HHWEALTH","TOT","PC_NDI","A","2011",281.5164,
"EST","HHWEALTH","TOT","PC_NDI","A","2012",291.4063,
"EST","HHWEALTH","TOT","PC_NDI","A","2013",315.7357,
"EST","HHWEALTH","TOT","PC_NDI","A","2014",318.519,
"CZE","HHWEALTH","TOT","PC_NDI","A","1995",312.8046,
"CZE","HHWEALTH","TOT","PC_NDI","A","1996",306.3099,
"CZE","HHWEALTH","TOT","PC_NDI","A","1997",311.1752,
"CZE","HHWEALTH","TOT","PC_NDI","A","1998",323.0609,
"CZE","HHWEALTH","TOT","PC_NDI","A","1999",323.7869,
"CZE","HHWEALTH","TOT","PC_NDI","A","2000",318.3713,
"CZE","HHWEALTH","TOT","PC_NDI","A","2001",316.1626,
"CZE","HHWEALTH","TOT","PC_NDI","A","2002",314.3081,
"CZE","HHWEALTH","TOT","PC_NDI","A","2003",315.6694,
"CZE","HHWEALTH","TOT","PC_NDI","A","2004",305.1241,
"CZE","HHWEALTH","TOT","PC_NDI","A","2005",300.3062,
"CZE","HHWEALTH","TOT","PC_NDI","A","2006",293.9893,
"CZE","HHWEALTH","TOT","PC_NDI","A","2007",311.7035,
"CZE","HHWEALTH","TOT","PC_NDI","A","2008",313.176,
"CZE","HHWEALTH","TOT","PC_NDI","A","2009",303.0667,
"CZE","HHWEALTH","TOT","PC_NDI","A","2010",311.8106,
"CZE","HHWEALTH","TOT","PC_NDI","A","2011",319.2411,
"CZE","HHWEALTH","TOT","PC_NDI","A","2012",328.9276,
"CZE","HHWEALTH","TOT","PC_NDI","A","2013",335.6924,
"CZE","HHWEALTH","TOT","PC_NDI","A","2014",340.5128,
"CZE","HHWEALTH","TOT","PC_NDI","A","2015",346.4226,
"AUS","HHWEALTH","TOT","PC_NDI","A","1995",302.6892,
"AUS","HHWEALTH","TOT","PC_NDI","A","1996",303.6468,
"AUS","HHWEALTH","TOT","PC_NDI","A","1997",312.6256,
"AUS","HHWEALTH","TOT","PC_NDI","A","1998",320.1783,
"AUS","HHWEALTH","TOT","PC_NDI","A","1999",333.4397,
"AUS","HHWEALTH","TOT","PC_NDI","A","2000",327.7718,
"AUS","HHWEALTH","TOT","PC_NDI","A","2001",329.5485,
"AUS","HHWEALTH","TOT","PC_NDI","A","2002",315.5965,
"AUS","HHWEALTH","TOT","PC_NDI","A","2003",318.9221,
"AUS","HHWEALTH","TOT","PC_NDI","A","2004",349.6256,
"AUS","HHWEALTH","TOT","PC_NDI","A","2005",386.5877,
"AUS","HHWEALTH","TOT","PC_NDI","A","2006",393.1051,
"AUS","HHWEALTH","TOT","PC_NDI","A","2007",382.5938,
"AUS","HHWEALTH","TOT","PC_NDI","A","2008",297.8137,
"AUS","HHWEALTH","TOT","PC_NDI","A","2009",325.9939,
"AUS","HHWEALTH","TOT","PC_NDI","A","2010",317.5486,
"AUS","HHWEALTH","TOT","PC_NDI","A","2011",296.6273,
"AUS","HHWEALTH","TOT","PC_NDI","A","2012",342.2623,
"AUS","HHWEALTH","TOT","PC_NDI","A","2013",353.965,
"AUS","HHWEALTH","TOT","PC_NDI","A","2014",370.6371,
"AUS","HHWEALTH","TOT","PC_NDI","A","2015",382.3684,
"SVN","HHWEALTH","TOT","PC_NDI","A","2001",283.1361,
"SVN","HHWEALTH","TOT","PC_NDI","A","2002",285.8088,
"SVN","HHWEALTH","TOT","PC_NDI","A","2003",292.8166,
"SVN","HHWEALTH","TOT","PC_NDI","A","2004",306.3029,
"SVN","HHWEALTH","TOT","PC_NDI","A","2005",303.5092,
"SVN","HHWEALTH","TOT","PC_NDI","A","2006",309.1386,
"SVN","HHWEALTH","TOT","PC_NDI","A","2007",304.4178,
"SVN","HHWEALTH","TOT","PC_NDI","A","2008",275.0853,
"SVN","HHWEALTH","TOT","PC_NDI","A","2009",285.4077,
"SVN","HHWEALTH","TOT","PC_NDI","A","2010",289.4145,
