"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1970",12.6454675323,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1971",13.0624805605,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1972",11.989269383,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1973",12.234142502,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1974",13.4372985266,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1975",13.6422831502,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1976",14.8376856149,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1977",12.2487168461,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1978",15.6820664849,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1979",15.6023245101,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1980",14.9163592737,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1981",13.7295481441,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1982",13.9774745782,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1983",11.5879322536,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1984",11.226478386,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1985",11.3505212858,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1986",13.668359289,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1987",15.0250484528,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1988",14.6631159436,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1989",15.6793160071,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1990",15.89829275,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1991",15.55981262,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1992",15.7011333264,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1993",16.2103238355,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1994",15.6639743676,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1995",14.92955794,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1996",11.9184351492,
