"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHSAV","TOT","PC_HHDI","A","1970",15.5771096023278,
"AUS","HHSAV","TOT","PC_HHDI","A","1971",15.6321114728845,
"AUS","HHSAV","TOT","PC_HHDI","A","1972",17.7027482459634,
"AUS","HHSAV","TOT","PC_HHDI","A","1973",19.4900963934261,
"AUS","HHSAV","TOT","PC_HHDI","A","1974",18.7344120375142,
"AUS","HHSAV","TOT","PC_HHDI","A","1975",17.3049976646427,
"AUS","HHSAV","TOT","PC_HHDI","A","1976",16.0165356043888,
"AUS","HHSAV","TOT","PC_HHDI","A","1977",15.136994024129,
"AUS","HHSAV","TOT","PC_HHDI","A","1978",16.530612244898,
"AUS","HHSAV","TOT","PC_HHDI","A","1979",15.816723630334,
"AUS","HHSAV","TOT","PC_HHDI","A","1980",15.6035436327218,
"AUS","HHSAV","TOT","PC_HHDI","A","1981",14.8640772476186,
"AUS","HHSAV","TOT","PC_HHDI","A","1982",12.413445007019,
"AUS","HHSAV","TOT","PC_HHDI","A","1983",14.1973641184583,
"AUS","HHSAV","TOT","PC_HHDI","A","1984",14.7598212930517,
"AUS","HHSAV","TOT","PC_HHDI","A","1985",11.9059246263573,
"AUS","HHSAV","TOT","PC_HHDI","A","1986",9.1325225508235,
"AUS","HHSAV","TOT","PC_HHDI","A","1987",7.93127359580861,
"AUS","HHSAV","TOT","PC_HHDI","A","1988",8.82672918041742,
"AUS","HHSAV","TOT","PC_HHDI","A","1989",8.98798766875731,
"AUS","HHSAV","TOT","PC_HHDI","A","1990",8.01490893294859,
"AUS","HHSAV","TOT","PC_HHDI","A","1991",6.06037772813069,
"AUS","HHSAV","TOT","PC_HHDI","A","1992",6.12210844007211,
"AUS","HHSAV","TOT","PC_HHDI","A","1993",5.69328472714944,
"AUS","HHSAV","TOT","PC_HHDI","A","1994",4.51993318042611,
"AUS","HHSAV","TOT","PC_HHDI","A","1995",4.80712387755991,
"AUS","HHSAV","TOT","PC_HHDI","A","1996",5.90127333189987,
"AUS","HHSAV","TOT","PC_HHDI","A","1997",2.98472573021728,
"AUS","HHSAV","TOT","PC_HHDI","A","1998",1.16740340850104,
"AUS","HHSAV","TOT","PC_HHDI","A","1999",0.831993631462231,
"AUS","HHSAV","TOT","PC_HHDI","A","2000",1.85344030936483,
"AUS","HHSAV","TOT","PC_HHDI","A","2001",2.98420815893324,
"AUS","HHSAV","TOT","PC_HHDI","A","2002",-0.633177019764031,
"AUS","HHSAV","TOT","PC_HHDI","A","2003",-0.284452399168216,
"AUS","HHSAV","TOT","PC_HHDI","A","2004",0.698925831963712,
"AUS","HHSAV","TOT","PC_HHDI","A","2005",-0.083851002946259,
"AUS","HHSAV","TOT","PC_HHDI","A","2006",0.674714761304502,
"AUS","HHSAV","TOT","PC_HHDI","A","2007",2.78632421057564,
"AUS","HHSAV","TOT","PC_HHDI","A","2008",8.74836617836141,
"AUS","HHSAV","TOT","PC_HHDI","A","2009",7.91247214324137,
"AUS","HHSAV","TOT","PC_HHDI","A","2010",8.91687524889351,
"AUS","HHSAV","TOT","PC_HHDI","A","2011",9.65358202054601,
"AUS","HHSAV","TOT","PC_HHDI","A","2012",8.66234434901239,
"AUS","HHSAV","TOT","PC_HHDI","A","2013",9.03885124815032,
"AUS","HHSAV","TOT","PC_HHDI","A","2014",8.00879428572578,
"AUS","HHSAV","TOT","PC_HHDI","A","2015",6.80995950349032,
"AUT","HHSAV","TOT","PC_HHDI","A","1995",14.6463909606585,
"AUT","HHSAV","TOT","PC_HHDI","A","1996",11.9184556440753,
"AUT","HHSAV","TOT","PC_HHDI","A","1997",10.4262768565848,
"AUT","HHSAV","TOT","PC_HHDI","A","1998",10.3626929950685,
"AUT","HHSAV","TOT","PC_HHDI","A","1999",11.7268936901884,
"AUT","HHSAV","TOT","PC_HHDI","A","2000",10.4703066750772,
"AUT","HHSAV","TOT","PC_HHDI","A","2001",8.82113712476754,
"AUT","HHSAV","TOT","PC_HHDI","A","2002",8.94761256363237,
"AUT","HHSAV","TOT","PC_HHDI","A","2003",9.17120169999515,
"AUT","HHSAV","TOT","PC_HHDI","A","2004",9.2126003935887,
"AUT","HHSAV","TOT","PC_HHDI","A","2005",10.7411474561041,
"AUT","HHSAV","TOT","PC_HHDI","A","2006",11.2980389670293,
"AUT","HHSAV","TOT","PC_HHDI","A","2007",12.0881160082292,
"AUT","HHSAV","TOT","PC_HHDI","A","2008",11.9470845923634,
"AUT","HHSAV","TOT","PC_HHDI","A","2009",11.2615794466084,
"AUT","HHSAV","TOT","PC_HHDI","A","2010",9.28038978647389,
"AUT","HHSAV","TOT","PC_HHDI","A","2011",7.87715541279083,
"AUT","HHSAV","TOT","PC_HHDI","A","2012",8.66712961247354,
"AUT","HHSAV","TOT","PC_HHDI","A","2013",7.027887882599,
"AUT","HHSAV","TOT","PC_HHDI","A","2014",6.98256792738689,
"AUT","HHSAV","TOT","PC_HHDI","A","2015",7.33995839117367,
"BEL","HHSAV","TOT","PC_HHDI","A","1995",14.625753530279,
"BEL","HHSAV","TOT","PC_HHDI","A","1996",12.5873512536151,
"BEL","HHSAV","TOT","PC_HHDI","A","1997",11.7344602845654,
"BEL","HHSAV","TOT","PC_HHDI","A","1998",11.0719209836154,
"BEL","HHSAV","TOT","PC_HHDI","A","1999",11.3416940001481,
"BEL","HHSAV","TOT","PC_HHDI","A","2000",10.4237376818719,
"BEL","HHSAV","TOT","PC_HHDI","A","2001",11.9096132750714,
"BEL","HHSAV","TOT","PC_HHDI","A","2002",11.0160123233074,
"BEL","HHSAV","TOT","PC_HHDI","A","2003",10.5573342477972,
"BEL","HHSAV","TOT","PC_HHDI","A","2004",8.87863804361476,
"BEL","HHSAV","TOT","PC_HHDI","A","2005",8.52292276494701,
