"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHEXP","TOT","MLN_USD","A","1960",14410.526,
"AUS","HHEXP","TOT","MLN_USD","A","1961",14846.2049,
"AUS","HHEXP","TOT","MLN_USD","A","1962",16163.031,
"AUS","HHEXP","TOT","MLN_USD","A","1963",17291.4656,
"AUS","HHEXP","TOT","MLN_USD","A","1964",18479.6653,
"AUS","HHEXP","TOT","MLN_USD","A","1965",19742.3232,
"AUS","HHEXP","TOT","MLN_USD","A","1966",21251.4365,
"AUS","HHEXP","TOT","MLN_USD","A","1967",23069.7672,
"AUS","HHEXP","TOT","MLN_USD","A","1968",25386.2732,
"AUS","HHEXP","TOT","MLN_USD","A","1969",27949.5992,
"AUS","HHEXP","TOT","MLN_USD","A","1970",31806.5472,
"AUS","HHEXP","TOT","MLN_USD","A","1971",34772.3252,
"AUS","HHEXP","TOT","MLN_USD","A","1972",37745.8891,
"AUS","HHEXP","TOT","MLN_USD","A","1973",41904.8492,
"AUS","HHEXP","TOT","MLN_USD","A","1974",47883.8279,
"AUS","HHEXP","TOT","MLN_USD","A","1975",53545.4245,
"AUS","HHEXP","TOT","MLN_USD","A","1976",58695.3466,
"AUS","HHEXP","TOT","MLN_USD","A","1977",63316.9255,
"AUS","HHEXP","TOT","MLN_USD","A","1978",69348.1645,
"AUS","HHEXP","TOT","MLN_USD","A","1979",76625.6727,
"AUS","HHEXP","TOT","MLN_USD","A","1980",86298.6734,
"AUS","HHEXP","TOT","MLN_USD","A","1981",99206.5898,
"AUS","HHEXP","TOT","MLN_USD","A","1982",106735.6191,
"AUS","HHEXP","TOT","MLN_USD","A","1983",111150.6561,
"AUS","HHEXP","TOT","MLN_USD","A","1984",116065.0216,
"AUS","HHEXP","TOT","MLN_USD","A","1985",128430.6023,
"AUS","HHEXP","TOT","MLN_USD","A","1986",136069.0955,
"AUS","HHEXP","TOT","MLN_USD","A","1987",144420.1067,
"AUS","HHEXP","TOT","MLN_USD","A","1988",154239.6526,
"AUS","HHEXP","TOT","MLN_USD","A","1989",165108.9703,
"AUS","HHEXP","TOT","MLN_USD","A","1990",173750.5083,
"AUS","HHEXP","TOT","MLN_USD","A","1991",184961.4275,
"AUS","HHEXP","TOT","MLN_USD","A","1992",194925.0673,
"AUS","HHEXP","TOT","MLN_USD","A","1993",205700.8844,
"AUS","HHEXP","TOT","MLN_USD","A","1994",221429.9459,
"AUS","HHEXP","TOT","MLN_USD","A","1995",234081.8807,
"AUS","HHEXP","TOT","MLN_USD","A","1996",243837.7807,
"AUS","HHEXP","TOT","MLN_USD","A","1997",260330.7616,
"AUS","HHEXP","TOT","MLN_USD","A","1998",278449.4032,
"AUS","HHEXP","TOT","MLN_USD","A","1999",295834.8433,
"AUS","HHEXP","TOT","MLN_USD","A","2000",316676.7156,
"AUS","HHEXP","TOT","MLN_USD","A","2001",330233.6564,
"AUS","HHEXP","TOT","MLN_USD","A","2002",351643.5225,
"AUS","HHEXP","TOT","MLN_USD","A","2003",370372.5415,
"AUS","HHEXP","TOT","MLN_USD","A","2004",390367.9446,
"AUS","HHEXP","TOT","MLN_USD","A","2005",408364.3439,
"AUS","HHEXP","TOT","MLN_USD","A","2006",437728.589,
"AUS","HHEXP","TOT","MLN_USD","A","2007",465300.5525,
"AUS","HHEXP","TOT","MLN_USD","A","2008",463519.4697,
"AUS","HHEXP","TOT","MLN_USD","A","2009",498901.7907,
"AUS","HHEXP","TOT","MLN_USD","A","2010",506843.9667,
"AUS","HHEXP","TOT","MLN_USD","A","2011",530215.4693,
"AUS","HHEXP","TOT","MLN_USD","A","2012",542520.4658,
"AUS","HHEXP","TOT","MLN_USD","A","2013",607112.8906,
"AUS","HHEXP","TOT","MLN_USD","A","2014",626852.0018,
"AUS","HHEXP","TOT","MLN_USD","A","2015",652187.538,
"AUT","HHEXP","TOT","MLN_USD","A","1970",15399.2213,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1971",17069.4437,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1972",18695.684,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1973",20489.6707,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1974",23106.7353,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1975",26416.3532,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1976",29385.1114,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1977",33278.5288,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1978",34371.7404,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1979",38948.9691,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1980",43728.6097,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1981",48625.3766,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1982",52822.3173,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1983",57748.5668,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1984",58723.3928,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1985",61987.492,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1986",63791.2352,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1987",66141.0363,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1988",70044.702,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1989",75164.8431,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1990",81201.0107,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1991",85955.7328,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1992",90856.1452,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1993",93328.3496,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1994",96990.8591,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1995",100217.033,
"AUT","HHEXP","TOT","MLN_USD","A","1996",105185.4338,
"AUT","HHEXP","TOT","MLN_USD","A","1997",107524.9005,
"AUT","HHEXP","TOT","MLN_USD","A","1998",111916.9999,
"AUT","HHEXP","TOT","MLN_USD","A","1999",114600.7077,
"AUT","HHEXP","TOT","MLN_USD","A","2000",122751.1462,
"AUT","HHEXP","TOT","MLN_USD","A","2001",125594.3007,
"AUT","HHEXP","TOT","MLN_USD","A","2002",130590.6391,
"AUT","HHEXP","TOT","MLN_USD","A","2003",136522.1105,
"AUT","HHEXP","TOT","MLN_USD","A","2004",143978.3836,
"AUT","HHEXP","TOT","MLN_USD","A","2005",150160.5217,
"AUT","HHEXP","TOT","MLN_USD","A","2006",160523.3619,
"AUT","HHEXP","TOT","MLN_USD","A","2007",164434.7783,
"AUT","HHEXP","TOT","MLN_USD","A","2008",172230.5488,
"AUT","HHEXP","TOT","MLN_USD","A","2009",176231.7945,
"AUT","HHEXP","TOT","MLN_USD","A","2010",181652.6664,
"AUT","HHEXP","TOT","MLN_USD","A","2011",192181.7206,
"AUT","HHEXP","TOT","MLN_USD","A","2012",201942.2171,
"AUT","HHEXP","TOT","MLN_USD","A","2013",210353.4734,
"AUT","HHEXP","TOT","MLN_USD","A","2014",214511.4072,
"AUT","HHEXP","TOT","MLN_USD","A","2015",217126.9747,
"AUT","HHEXP","TOT","MLN_USD","A","2016",222793.2172,
"BEL","HHEXP","TOT","MLN_USD","A","1970",19112.1881,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1971",21012.9336,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1972",23057.6744,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1973",25996.3719,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1974",29174.303,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1975",32233.0708,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1976",35806.5977,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1977",38910.8083,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1978",42622.5286,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1979",48232.2388,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1980",55409.1051,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1981",62143.9922,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1982",67336.8069,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1983",70858.652,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1984",73731.392,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1985",78445.4077,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1986",80243.867,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1987",83812.8744,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1988",88793.883,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1989",94347.9752,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1990",100918.9517,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1991",107355.2814,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1992",110148.4704,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1993",110571.0135,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1994",115750.0927,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1995",120345.4563,
"BEL","HHEXP","TOT","MLN_USD","A","1996",123563.8171,
"BEL","HHEXP","TOT","MLN_USD","A","1997",127729.9105,
"BEL","HHEXP","TOT","MLN_USD","A","1998",131647.9137,
"BEL","HHEXP","TOT","MLN_USD","A","1999",135304.9972,
"BEL","HHEXP","TOT","MLN_USD","A","2000",148556.3035,
"BEL","HHEXP","TOT","MLN_USD","A","2001",154937.0967,
"BEL","HHEXP","TOT","MLN_USD","A","2002",160564.5754,
"BEL","HHEXP","TOT","MLN_USD","A","2003",163159.3811,
"BEL","HHEXP","TOT","MLN_USD","A","2004",167454.8685,
"BEL","HHEXP","TOT","MLN_USD","A","2005",173377.5426,
"BEL","HHEXP","TOT","MLN_USD","A","2006",184809.5618,
"BEL","HHEXP","TOT","MLN_USD","A","2007",192547.131,
"BEL","HHEXP","TOT","MLN_USD","A","2008",205087.9944,
"BEL","HHEXP","TOT","MLN_USD","A","2009",208439.3649,
"BEL","HHEXP","TOT","MLN_USD","A","2010",221488.064,
"BEL","HHEXP","TOT","MLN_USD","A","2011",229904.3533,
"BEL","HHEXP","TOT","MLN_USD","A","2012",238424.8391,
"BEL","HHEXP","TOT","MLN_USD","A","2013",247398.1779,
"BEL","HHEXP","TOT","MLN_USD","A","2014",253287.751,
"BEL","HHEXP","TOT","MLN_USD","A","2015",257088.5079,
"BEL","HHEXP","TOT","MLN_USD","A","2016",263207.6327,
"CAN","HHEXP","TOT","MLN_USD","A","1970",53808.2793,"E"
"CAN","HHEXP","TOT","MLN_USD","A","1971",58669.2844,"E"
"CAN","HHEXP","TOT","MLN_USD","A","1972",64618.264,"E"
"CAN","HHEXP","TOT","MLN_USD","A","1973",71082.7199,"E"
"CAN","HHEXP","TOT","MLN_USD","A","1974",78391.0333,"E"
"CAN","HHEXP","TOT","MLN_USD","A","1975",89493.9991,"E"
"CAN","HHEXP","TOT","MLN_USD","A","1976",98068.1952,"E"
"CAN","HHEXP","TOT","MLN_USD","A","1977",108773.3659,"E"
"CAN","HHEXP","TOT","MLN_USD","A","1978",122151.3372,"E"
"CAN","HHEXP","TOT","MLN_USD","A","1979",134224.2563,"E"
"CAN","HHEXP","TOT","MLN_USD","A","1980",149179.2224,"E"
"CAN","HHEXP","TOT","MLN_USD","A","1981",166143.754,
"CAN","HHEXP","TOT","MLN_USD","A","1982",173755.628,
"CAN","HHEXP","TOT","MLN_USD","A","1983",187455.9573,
"CAN","HHEXP","TOT","MLN_USD","A","1984",203923.9009,
"CAN","HHEXP","TOT","MLN_USD","A","1985",222082.4697,
"CAN","HHEXP","TOT","MLN_USD","A","1986",237339.1227,
"CAN","HHEXP","TOT","MLN_USD","A","1987",251206.1099,
"CAN","HHEXP","TOT","MLN_USD","A","1988",268972.2598,
"CAN","HHEXP","TOT","MLN_USD","A","1989",287861.2595,
"CAN","HHEXP","TOT","MLN_USD","A","1990",304317.0134,
"CAN","HHEXP","TOT","MLN_USD","A","1991",315822.479,
"CAN","HHEXP","TOT","MLN_USD","A","1992",328274.517,
"CAN","HHEXP","TOT","MLN_USD","A","1993",344787.2583,
"CAN","HHEXP","TOT","MLN_USD","A","1994",361272.4074,
"CAN","HHEXP","TOT","MLN_USD","A","1995",373646.3193,
"CAN","HHEXP","TOT","MLN_USD","A","1996",390641.3312,
"CAN","HHEXP","TOT","MLN_USD","A","1997",417525.4483,
"CAN","HHEXP","TOT","MLN_USD","A","1998",439937.9598,
"CAN","HHEXP","TOT","MLN_USD","A","1999",462392.8251,
"CAN","HHEXP","TOT","MLN_USD","A","2000",477312.3637,
"CAN","HHEXP","TOT","MLN_USD","A","2001",501722.8983,
"CAN","HHEXP","TOT","MLN_USD","A","2002",527461.4257,
"CAN","HHEXP","TOT","MLN_USD","A","2003",552849.7571,
"CAN","HHEXP","TOT","MLN_USD","A","2004",575605.8065,
"CAN","HHEXP","TOT","MLN_USD","A","2005",617200.7434,
"CAN","HHEXP","TOT","MLN_USD","A","2006",655797.1559,
"CAN","HHEXP","TOT","MLN_USD","A","2007",691604.2063,
"CAN","HHEXP","TOT","MLN_USD","A","2008",709012.5298,
"CAN","HHEXP","TOT","MLN_USD","A","2009",730910.9379,
"CAN","HHEXP","TOT","MLN_USD","A","2010",756223.9103,
"CAN","HHEXP","TOT","MLN_USD","A","2011",777407.9765,
"CAN","HHEXP","TOT","MLN_USD","A","2012",799486.221,
"CAN","HHEXP","TOT","MLN_USD","A","2013",845427.7668,
"CAN","HHEXP","TOT","MLN_USD","A","2014",875540.7419,
"CAN","HHEXP","TOT","MLN_USD","A","2015",890374.0368,
"CAN","HHEXP","TOT","MLN_USD","A","2016",908869.0387,
"CZE","HHEXP","TOT","MLN_USD","A","1990",64506.3698,"E"
"CZE","HHEXP","TOT","MLN_USD","A","1991",56630.3737,"E"
"CZE","HHEXP","TOT","MLN_USD","A","1992",62419.2767,"E"
"CZE","HHEXP","TOT","MLN_USD","A","1993",62025.4793,"E"
"CZE","HHEXP","TOT","MLN_USD","A","1994",63961.6927,"E"
"CZE","HHEXP","TOT","MLN_USD","A","1995",68576.6054,
"CZE","HHEXP","TOT","MLN_USD","A","1996",73546.775,
"CZE","HHEXP","TOT","MLN_USD","A","1997",76968.4044,
"CZE","HHEXP","TOT","MLN_USD","A","1998",76503.3428,
"CZE","HHEXP","TOT","MLN_USD","A","1999",79339.6745,
"CZE","HHEXP","TOT","MLN_USD","A","2000",82783.2432,
"CZE","HHEXP","TOT","MLN_USD","A","2001",88628.9177,
"CZE","HHEXP","TOT","MLN_USD","A","2002",91405.1474,
"CZE","HHEXP","TOT","MLN_USD","A","2003",97697.3354,
"CZE","HHEXP","TOT","MLN_USD","A","2004",102409.1829,
"CZE","HHEXP","TOT","MLN_USD","A","2005",105777.9749,
"CZE","HHEXP","TOT","MLN_USD","A","2006",112721.9958,
