"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2010-Q1",99.7193386508987,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2010-Q2",100.746182512889,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2010-Q3",99.7499037402833,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2010-Q4",99.7845750959286,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2011-Q1",72.8945340495871,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2011-Q2",73.5637308016289,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2011-Q3",72.9912701113588,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2011-Q4",73.6165547422945,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2012-Q1",77.3173770731084,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2012-Q2",79.0698158560573,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2012-Q3",78.8948903475438,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2012-Q4",79.8788057762509,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2013-Q1",77.9462376454839,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2013-Q2",77.2931621941637,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2013-Q3",75.9877929208237,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2013-Q4",74.7928781464282,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2014-Q1",72.7775715531814,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2014-Q2",71.6251661149364,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2014-Q3",70.0009214846514,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2014-Q4",68.0696629031378,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2015-Q1",66.5128397055336,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2015-Q2",64.9576648619056,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2015-Q3",62.8705737401652,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2015-Q4",61.3999994290655,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2016-Q1",60.2322882882542,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2016-Q2",59.2217205545634,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2016-Q3",58.5087547737414,
"RUS","HOUSECOST","PRICERENT","IDX2010","Q","2016-Q4",57.9137956375407,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2002-Q1",46.952843609661,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2002-Q2",46.6414996293344,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2002-Q3",46.7441359192797,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2002-Q4",46.2944324374917,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2003-Q1",47.8141409799194,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2003-Q2",50.6916593780676,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2003-Q3",55.5029751244868,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2003-Q4",63.8540448045354,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2004-Q1",71.1224264828568,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2004-Q2",77.1192493580606,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2004-Q3",82.5034624157232,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2004-Q4",87.5161509206447,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2005-Q1",90.4950822063369,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2005-Q2",95.4289344911293,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2005-Q3",99.2085755904093,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2005-Q4",102.358131070987,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2006-Q1",105.219724006818,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2006-Q2",108.124356123992,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2006-Q3",107.154355652892,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2006-Q4",107.423766124384,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2007-Q1",109.998791715333,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2007-Q2",112.772743290737,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2007-Q3",110.653973814431,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2007-Q4",108.832229113197,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2008-Q1",107.040920108359,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2008-Q2",105.108234658985,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2008-Q3",103.229127070863,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2008-Q4",101.037717474273,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2009-Q1",97.4981926208748,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2009-Q2",95.1847262645509,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2009-Q3",97.7781647582563,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2009-Q4",100.264858586448,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2010-Q1",102.594460084498,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2010-Q2",102.225780491251,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2010-Q3",98.204717368169,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2010-Q4",96.9750420560815,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2011-Q1",97.1485261338265,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2011-Q2",97.4129487445871,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2011-Q3",96.9623255737957,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2011-Q4",94.7583650795118,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2012-Q1",91.5726576340956,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2012-Q2",91.3306853272923,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2012-Q3",93.2814091350006,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2012-Q4",94.8559003696478,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2013-Q1",96.3617544090194,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2013-Q2",97.1346858533087,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2013-Q3",97.2578609723266,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2013-Q4",98.2176142899118,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2014-Q1",99.6897166605194,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2014-Q2",100.972916034163,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2014-Q3",101.670198723954,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2014-Q4",102.278425677633,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2015-Q1",101.909825175725,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2015-Q2",102.10785875635,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2015-Q3",102.581536342508,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2015-Q4",102.354773171564,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2016-Q1",103.111798316742,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2016-Q2",102.531351772299,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2016-Q3",102.492845120674,
"ZAF","HOUSECOST","PRICERENT","IDX2010","Q","2016-Q4",104.213271377009,
"CZE","HOUSECOST","NOMINAL","IDX2010","A","2008",105.854555017061,
"CZE","HOUSECOST","NOMINAL","IDX2010","A","2009",101.785245464866,
"CZE","HOUSECOST","NOMINAL","IDX2010","A","2010",100,
"CZE","HOUSECOST","NOMINAL","IDX2010","A","2011",100.026253609998,
"CZE","HOUSECOST","NOMINAL","IDX2010","A","2012",98.5560514526083,
"CZE","HOUSECOST","NOMINAL","IDX2010","A","2013",98.5823050626063,
"CZE","HOUSECOST","NOMINAL","IDX2010","A","2014",100.997637144925,
"CZE","HOUSECOST","NOMINAL","IDX2010","A","2015",105.014439467124,
"CZE","HOUSECOST","NOMINAL","IDX2010","A","2016",112.522971891561,
"HUN","HOUSECOST","PRICEINCOME","IDX2010","A","2007",110.038816841154,
"HUN","HOUSECOST","PRICEINCOME","IDX2010","A","2008",109.119783932047,
"HUN","HOUSECOST","PRICEINCOME","IDX2010","A","2009",103.724919559219,
"HUN","HOUSECOST","PRICEINCOME","IDX2010","A","2010",100,
"HUN","HOUSECOST","PRICEINCOME","IDX2010","A","2011",89.1197452616891,
"HUN","HOUSECOST","PRICEINCOME","IDX2010","A","2012",83.0744388173606,
"HUN","HOUSECOST","PRICEINCOME","IDX2010","A","2013",77.6968476389537,
"HUN","HOUSECOST","PRICEINCOME","IDX2010","A","2014",76.9155202175264,
"HUN","HOUSECOST","PRICEINCOME","IDX2010","A","2015",83.9360407985871,
"HUN","HOUSECOST","PRICEINCOME","IDX2010","A","2016",87.3068535227984,
"KOR","HOUSECOST","RENT","IDX2010","Q","1985-Q1",41.892736020076,
"KOR","HOUSECOST","RENT","IDX2010","Q","1985-Q2",42.395158258128,
"KOR","HOUSECOST","RENT","IDX2010","Q","1985-Q3",42.9430108165566,
"KOR","HOUSECOST","RENT","IDX2010","Q","1985-Q4",43.3526763760604,
"KOR","HOUSECOST","RENT","IDX2010","Q","1986-Q1",43.7985869676597,
"KOR","HOUSECOST","RENT","IDX2010","Q","1986-Q2",44.125332761415,
"KOR","HOUSECOST","RENT","IDX2010","Q","1986-Q3",44.5381092862686,
"KOR","HOUSECOST","RENT","IDX2010","Q","1986-Q4",44.9726321129237,
"KOR","HOUSECOST","RENT","IDX2010","Q","1987-Q1",45.3965288650037,
"KOR","HOUSECOST","RENT","IDX2010","Q","1987-Q2",45.6100864715256,
"KOR","HOUSECOST","RENT","IDX2010","Q","1987-Q3",45.7779469279917,
"KOR","HOUSECOST","RENT","IDX2010","Q","1987-Q4",46.2490185837998,
"KOR","HOUSECOST","RENT","IDX2010","Q","1988-Q1",46.8602767534672,
"KOR","HOUSECOST","RENT","IDX2010","Q","1988-Q2",47.7625930554843,
"KOR","HOUSECOST","RENT","IDX2010","Q","1988-Q3",48.6711662489359,
"KOR","HOUSECOST","RENT","IDX2010","Q","1988-Q4",49.632694295776,
"KOR","HOUSECOST","RENT","IDX2010","Q","1989-Q1",50.3440825367889,
"KOR","HOUSECOST","RENT","IDX2010","Q","1989-Q2",51.0245705534464,
"KOR","HOUSECOST","RENT","IDX2010","Q","1989-Q3",51.721839901354,
"KOR","HOUSECOST","RENT","IDX2010","Q","1989-Q4",52.5566867260517,
"KOR","HOUSECOST","RENT","IDX2010","Q","1990-Q1",53.7818714104742,
"KOR","HOUSECOST","RENT","IDX2010","Q","1990-Q2",55.8498441940681,
"KOR","HOUSECOST","RENT","IDX2010","Q","1990-Q3",58.0421192099801,
"KOR","HOUSECOST","RENT","IDX2010","Q","1990-Q4",59.6705538182582,
"KOR","HOUSECOST","RENT","IDX2010","Q","1991-Q1",61.2056745059101,
"KOR","HOUSECOST","RENT","IDX2010","Q","1991-Q2",62.780538248679,
"KOR","HOUSECOST","RENT","IDX2010","Q","1991-Q3",64.3565082777364,
"KOR","HOUSECOST","RENT","IDX2010","Q","1991-Q4",65.5024562754157,
