"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","BOPFORECAST","TOT","PC_GDP","A","1960",-3.6887141536,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1961",-0.1201923077,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1962",-0.7927947363,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1963",-0.0197491853,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1964",-1.1024614139,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1965",-3.4189822564,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1966",-1.7954234305,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1967",-2.283088885,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1968",-3.3307438338,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1969",-1.7382530989,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1970",-1.3298768633,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1971",-1.1605824014,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1972",1.4228251102,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1973",1.1310494834,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1974",-2.4493884117,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1975",-0.5598202341,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1976",-1.2848605578,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1977",-2.3162875775,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1978",-3.1650814238,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1979",-1.4710268929,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1980",-2.2712727475,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1981",-4.1556295414,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1982",-4.0730681094,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1983",-3.1481621065,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1984",-4.1545163585,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1985",-4.8982111787,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1986",-5.003370948,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1987",-3.3922048677,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1988",-3.8367106142,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1989",-5.9929274095,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1990",-4.8275978726,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1991",-3.2846662796,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1992",-3.2742086135,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1993",-3.0245576615,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1994",-4.4862239447,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1995",-4.9095430828,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1996",-3.3928430293,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1997",-2.8240540578,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1998",-4.6981752283,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1999",-5.2904346408,
"AUS","BOPFORECAST","TOT","PC_GDP","A","2000",-3.8404731043,
"AUS","BOPFORECAST","TOT","PC_GDP","A","2001",-2.115732096,
"AUS","BOPFORECAST","TOT","PC_GDP","A","2002",-3.743235406,
