"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","BOP","TOT","MLN_USD","A","1960",-714.7679,
"AUS","BOP","TOT","MLN_USD","A","1961",-21.21312,
"AUS","BOP","TOT","MLN_USD","A","1962",-161.3994,
"AUS","BOP","TOT","MLN_USD","A","1963",-4.491244,
"AUS","BOP","TOT","MLN_USD","A","1964",-270.2561,
"AUS","BOP","TOT","MLN_USD","A","1965",-913.6116,
"AUS","BOP","TOT","MLN_USD","A","1966",-511.9395,
"AUS","BOP","TOT","MLN_USD","A","1967",-720.9011,
"AUS","BOP","TOT","MLN_USD","A","1968",-1141.427,
"AUS","BOP","TOT","MLN_USD","A","1969",-658.8262,
"AUS","BOP","TOT","MLN_USD","A","1970",-582.433,
"AUS","BOP","TOT","MLN_USD","A","1971",-575.8753,
"AUS","BOP","TOT","MLN_USD","A","1972",771.434,
"AUS","BOP","TOT","MLN_USD","A","1973",901.7081,
"AUS","BOP","TOT","MLN_USD","A","1974",-2399.496,
"AUS","BOP","TOT","MLN_USD","A","1975",-584.4752,
"AUS","BOP","TOT","MLN_USD","A","1976",-1468.371,
"AUS","BOP","TOT","MLN_USD","A","1977",-2615.598,
"AUS","BOP","TOT","MLN_USD","A","1978",-4038.667,
"AUS","BOP","TOT","MLN_USD","A","1979",-2043.339,
"AUS","BOP","TOT","MLN_USD","A","1980",-3853.536,
"AUS","BOP","TOT","MLN_USD","A","1981",-7647.055,
"AUS","BOP","TOT","MLN_USD","A","1982",-7657.872,
"AUS","BOP","TOT","MLN_USD","A","1983",-5642.446,
"AUS","BOP","TOT","MLN_USD","A","1984",-8149.437,
"AUS","BOP","TOT","MLN_USD","A","1985",-8447.753,
"AUS","BOP","TOT","MLN_USD","A","1986",-9131.707,
"AUS","BOP","TOT","MLN_USD","A","1987",-7210.175,
"AUS","BOP","TOT","MLN_USD","A","1988",-10259.94,
"AUS","BOP","TOT","MLN_USD","A","1989",-18423.64,
"AUS","BOP","TOT","MLN_USD","A","1990",-15637.04,
"AUS","BOP","TOT","MLN_USD","A","1991",-10634.45,
"AUS","BOP","TOT","MLN_USD","A","1992",-10344.37,
"AUS","BOP","TOT","MLN_USD","A","1993",-9255.022,
"AUS","BOP","TOT","MLN_USD","A","1994",-15740.6,
"AUS","BOP","TOT","MLN_USD","A","1995",-18674.36,
"AUS","BOP","TOT","MLN_USD","A","1996",-14417.74,
"AUS","BOP","TOT","MLN_USD","A","1997",-12059.04,
"AUS","BOP","TOT","MLN_USD","A","1998",-17814.59,
"AUS","BOP","TOT","MLN_USD","A","1999",-21775.73,
"AUS","BOP","TOT","MLN_USD","A","2000",-15525.48,
"AUS","BOP","TOT","MLN_USD","A","2001",-7811.925,
"AUS","BOP","TOT","MLN_USD","A","2002",-15701.43,
"AUS","BOP","TOT","MLN_USD","A","2003",-28827.11,
"AUS","BOP","TOT","MLN_USD","A","2004",-41033.13,
"AUS","BOP","TOT","MLN_USD","A","2005",-43177.54,
"AUS","BOP","TOT","MLN_USD","A","2006",-45299.05,
"AUS","BOP","TOT","MLN_USD","A","2007",-63394.48,
"AUS","BOP","TOT","MLN_USD","A","2008",-50357.39,
"AUS","BOP","TOT","MLN_USD","A","2009",-45392.19,
"AUS","BOP","TOT","MLN_USD","A","2010",-44483.66,
"AUS","BOP","TOT","MLN_USD","A","2011",-44507.35,
"AUS","BOP","TOT","MLN_USD","A","2012",-64372.93,
"AUS","BOP","TOT","MLN_USD","A","2013",-48097.01,
"AUS","BOP","TOT","MLN_USD","A","2014",-41617.24,
"AUS","BOP","TOT","MLN_USD","A","2015",-58089.37,
"AUS","BOP","TOT","MLN_USD","A","2016",-33290.54,
"AUS","BOP","TOT","PC_GDP","A","1960",-3.650718,
"AUS","BOP","TOT","PC_GDP","A","1961",-0.09616845,
"AUS","BOP","TOT","PC_GDP","A","1962",-0.7604284,
"AUS","BOP","TOT","PC_GDP","A","1963",-0.05459504,
"AUS","BOP","TOT","PC_GDP","A","1964",-1.060012,
"AUS","BOP","TOT","PC_GDP","A","1965",-3.419205,
"AUS","BOP","TOT","PC_GDP","A","1966",-1.809168,
"AUS","BOP","TOT","PC_GDP","A","1967",-2.291204,
"AUS","BOP","TOT","PC_GDP","A","1968",-3.366218,
"AUS","BOP","TOT","PC_GDP","A","1969",-1.718999,
"AUS","BOP","TOT","PC_GDP","A","1970",-1.354866,
"AUS","BOP","TOT","PC_GDP","A","1971",-1.199636,
"AUS","BOP","TOT","PC_GDP","A","1972",1.365579,
"AUS","BOP","TOT","PC_GDP","A","1973",1.192694,
"AUS","BOP","TOT","PC_GDP","A","1974",-2.531998,
"AUS","BOP","TOT","PC_GDP","A","1975",-0.5550411,
"AUS","BOP","TOT","PC_GDP","A","1976",-1.329206,
