"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","VAGEXP","TOT","PC","A","1995",88.03,
"AUS","VAGEXP","TOT","PC","A","1996",87.49,
"AUS","VAGEXP","TOT","PC","A","1997",86.69,
"AUS","VAGEXP","TOT","PC","A","1998",87.39,
"AUS","VAGEXP","TOT","PC","A","1999",85.62,
"AUS","VAGEXP","TOT","PC","A","2000",84.31,
"AUS","VAGEXP","TOT","PC","A","2001",85.86,
"AUS","VAGEXP","TOT","PC","A","2002",84.96,
"AUS","VAGEXP","TOT","PC","A","2003",87.54,
"AUS","VAGEXP","TOT","PC","A","2004",88.14,
"AUS","VAGEXP","TOT","PC","A","2005",88.03,
"AUS","VAGEXP","TOT","PC","A","2006",86.72,
"AUS","VAGEXP","TOT","PC","A","2007",86.55,
"AUS","VAGEXP","TOT","PC","A","2008",86.48,
"AUS","VAGEXP","TOT","PC","A","2009",87.22,
"AUS","VAGEXP","TOT","PC","A","2010",87.23,
"AUS","VAGEXP","TOT","PC","A","2011",86.09,
"AUS","VAGEXP","TOT","PC","A","2012",86.14,
"AUS","VAGEXP","TOT","PC","A","2013",86,
"AUS","VAGEXP","TOT","PC","A","2014",85.3,
"AUT","VAGEXP","TOT","PC","A","1995",78.63,
"AUT","VAGEXP","TOT","PC","A","1996",76.67,
"AUT","VAGEXP","TOT","PC","A","1997",76.03,
"AUT","VAGEXP","TOT","PC","A","1998",76.28,
"AUT","VAGEXP","TOT","PC","A","1999",76.42,
"AUT","VAGEXP","TOT","PC","A","2000",75.35,
"AUT","VAGEXP","TOT","PC","A","2001",73.56,
"AUT","VAGEXP","TOT","PC","A","2002",75.28,
"AUT","VAGEXP","TOT","PC","A","2003",75.03,
"AUT","VAGEXP","TOT","PC","A","2004",74.34,
"AUT","VAGEXP","TOT","PC","A","2005",73.7,
"AUT","VAGEXP","TOT","PC","A","2006",73,
"AUT","VAGEXP","TOT","PC","A","2007",73.07,
"AUT","VAGEXP","TOT","PC","A","2008",72.28,
"AUT","VAGEXP","TOT","PC","A","2009",75.58,
"AUT","VAGEXP","TOT","PC","A","2010",73.78,
"AUT","VAGEXP","TOT","PC","A","2011",72.38,
"AUT","VAGEXP","TOT","PC","A","2012",72.43,
"AUT","VAGEXP","TOT","PC","A","2013",72.42,
"AUT","VAGEXP","TOT","PC","A","2014",72.68,
"BEL","VAGEXP","TOT","PC","A","1995",69,
"BEL","VAGEXP","TOT","PC","A","1996",68.64,
"BEL","VAGEXP","TOT","PC","A","1997",67.98,
"BEL","VAGEXP","TOT","PC","A","1998",68.91,
"BEL","VAGEXP","TOT","PC","A","1999",68.79,
"BEL","VAGEXP","TOT","PC","A","2000",65.67,
"BEL","VAGEXP","TOT","PC","A","2001",66.77,
"BEL","VAGEXP","TOT","PC","A","2002",69.12,
"BEL","VAGEXP","TOT","PC","A","2003",70.24,
"BEL","VAGEXP","TOT","PC","A","2004",69.29,
"BEL","VAGEXP","TOT","PC","A","2005",68.84,
"BEL","VAGEXP","TOT","PC","A","2006",67.33,
"BEL","VAGEXP","TOT","PC","A","2007",67.08,
"BEL","VAGEXP","TOT","PC","A","2008",63.62,
"BEL","VAGEXP","TOT","PC","A","2009",69.61,
"BEL","VAGEXP","TOT","PC","A","2010",69.3,
"BEL","VAGEXP","TOT","PC","A","2011",65.63,
"BEL","VAGEXP","TOT","PC","A","2012",64.86,
"BEL","VAGEXP","TOT","PC","A","2013",64.96,
"BEL","VAGEXP","TOT","PC","A","2014",64.45,
"CAN","VAGEXP","TOT","PC","A","1995",75.79,
"CAN","VAGEXP","TOT","PC","A","1996",74.94,
"CAN","VAGEXP","TOT","PC","A","1997",73.06,
"CAN","VAGEXP","TOT","PC","A","1998",73.21,
"CAN","VAGEXP","TOT","PC","A","1999",73.18,
"CAN","VAGEXP","TOT","PC","A","2000",73.15,
"CAN","VAGEXP","TOT","PC","A","2001",74.44,
"CAN","VAGEXP","TOT","PC","A","2002",74.67,
"CAN","VAGEXP","TOT","PC","A","2003",76.63,
"CAN","VAGEXP","TOT","PC","A","2004",76.11,
"CAN","VAGEXP","TOT","PC","A","2005",76.57,
"CAN","VAGEXP","TOT","PC","A","2006",77.15,
"CAN","VAGEXP","TOT","PC","A","2007",77.64,
"CAN","VAGEXP","TOT","PC","A","2008",77.09,
"CAN","VAGEXP","TOT","PC","A","2009",77.62,
"CAN","VAGEXP","TOT","PC","A","2010",76.54,
"CAN","VAGEXP","TOT","PC","A","2011",76.44,
"CAN","VAGEXP","TOT","PC","A","2012",75.45,
"CAN","VAGEXP","TOT","PC","A","2013",76.14,
"CAN","VAGEXP","TOT","PC","A","2014",76.74,
"CZE","VAGEXP","TOT","PC","A","1995",69.64,
"CZE","VAGEXP","TOT","PC","A","1996",70.63,
"CZE","VAGEXP","TOT","PC","A","1997",68.11,
"CZE","VAGEXP","TOT","PC","A","1998",66.73,
"CZE","VAGEXP","TOT","PC","A","1999",66.38,
"CZE","VAGEXP","TOT","PC","A","2000",61.35,
"CZE","VAGEXP","TOT","PC","A","2001",60.33,
"CZE","VAGEXP","TOT","PC","A","2002",61.48,
"CZE","VAGEXP","TOT","PC","A","2003",60.17,
"CZE","VAGEXP","TOT","PC","A","2004",58.64,
"CZE","VAGEXP","TOT","PC","A","2005",57.59,
"CZE","VAGEXP","TOT","PC","A","2006",56.34,
"CZE","VAGEXP","TOT","PC","A","2007",56,
"CZE","VAGEXP","TOT","PC","A","2008",57.95,
"CZE","VAGEXP","TOT","PC","A","2009",60.06,
"CZE","VAGEXP","TOT","PC","A","2010",56.14,
"CZE","VAGEXP","TOT","PC","A","2011",54.91,
"CZE","VAGEXP","TOT","PC","A","2012",53.92,
"CZE","VAGEXP","TOT","PC","A","2013",54.23,
"CZE","VAGEXP","TOT","PC","A","2014",53.39,
"DNK","VAGEXP","TOT","PC","A","1995",76.82,
"DNK","VAGEXP","TOT","PC","A","1996",76.37,
"DNK","VAGEXP","TOT","PC","A","1997",76.44,
"DNK","VAGEXP","TOT","PC","A","1998",75.58,
"DNK","VAGEXP","TOT","PC","A","1999",75.63,
"DNK","VAGEXP","TOT","PC","A","2000",73.86,
"DNK","VAGEXP","TOT","PC","A","2001",72.94,
"DNK","VAGEXP","TOT","PC","A","2002",75.23,
"DNK","VAGEXP","TOT","PC","A","2003",74.97,
"DNK","VAGEXP","TOT","PC","A","2004",74.52,
"DNK","VAGEXP","TOT","PC","A","2005",72.31,
"DNK","VAGEXP","TOT","PC","A","2006",69.36,
"DNK","VAGEXP","TOT","PC","A","2007",68.5,
"DNK","VAGEXP","TOT","PC","A","2008",65.95,
"DNK","VAGEXP","TOT","PC","A","2009",69.32,
"DNK","VAGEXP","TOT","PC","A","2010",69.86,
"DNK","VAGEXP","TOT","PC","A","2011",67.17,
"DNK","VAGEXP","TOT","PC","A","2012",67.69,
"DNK","VAGEXP","TOT","PC","A","2013",68.78,
"DNK","VAGEXP","TOT","PC","A","2014",69.29,
"FIN","VAGEXP","TOT","PC","A","1995",75.98,
"FIN","VAGEXP","TOT","PC","A","1996",74.38,
"FIN","VAGEXP","TOT","PC","A","1997",74.04,
"FIN","VAGEXP","TOT","PC","A","1998",75.79,
"FIN","VAGEXP","TOT","PC","A","1999",76.12,
"FIN","VAGEXP","TOT","PC","A","2000",69.43,
"FIN","VAGEXP","TOT","PC","A","2001",72.17,
"FIN","VAGEXP","TOT","PC","A","2002",72.97,
"FIN","VAGEXP","TOT","PC","A","2003",72.67,
"FIN","VAGEXP","TOT","PC","A","2004",71.37,
"FIN","VAGEXP","TOT","PC","A","2005",68.3,
"FIN","VAGEXP","TOT","PC","A","2006",65.75,
"FIN","VAGEXP","TOT","PC","A","2007",67.49,
"FIN","VAGEXP","TOT","PC","A","2008",66.54,
"FIN","VAGEXP","TOT","PC","A","2009",69.55,
"FIN","VAGEXP","TOT","PC","A","2010",68.27,
"FIN","VAGEXP","TOT","PC","A","2011",65.4,
"FIN","VAGEXP","TOT","PC","A","2012",64.01,
"FIN","VAGEXP","TOT","PC","A","2013",64.38,
"FIN","VAGEXP","TOT","PC","A","2014",64.96,
"FRA","VAGEXP","TOT","PC","A","1995",82.84,
"FRA","VAGEXP","TOT","PC","A","1996",81.97,
"FRA","VAGEXP","TOT","PC","A","1997",81.04,
"FRA","VAGEXP","TOT","PC","A","1998",80.78,
"FRA","VAGEXP","TOT","PC","A","1999",80.21,
"FRA","VAGEXP","TOT","PC","A","2000",77.24,
"FRA","VAGEXP","TOT","PC","A","2001",77.49,
"FRA","VAGEXP","TOT","PC","A","2002",78.07,
"FRA","VAGEXP","TOT","PC","A","2003",78.79,
"FRA","VAGEXP","TOT","PC","A","2004",77.78,
"FRA","VAGEXP","TOT","PC","A","2005",76.61,
"FRA","VAGEXP","TOT","PC","A","2006",75.03,
"FRA","VAGEXP","TOT","PC","A","2007",74.71,
"FRA","VAGEXP","TOT","PC","A","2008",75.32,
"FRA","VAGEXP","TOT","PC","A","2009",78.46,
"FRA","VAGEXP","TOT","PC","A","2010",76.33,
"FRA","VAGEXP","TOT","PC","A","2011",74.99,
"FRA","VAGEXP","TOT","PC","A","2012",74.1,
"FRA","VAGEXP","TOT","PC","A","2013",74.19,
"FRA","VAGEXP","TOT","PC","A","2014",73.73,
"DEU","VAGEXP","TOT","PC","A","1995",85.18,
"DEU","VAGEXP","TOT","PC","A","1996",84.66,
"DEU","VAGEXP","TOT","PC","A","1997",83.63,
"DEU","VAGEXP","TOT","PC","A","1998",83.56,
"DEU","VAGEXP","TOT","PC","A","1999",82.6,
"DEU","VAGEXP","TOT","PC","A","2000",79.86,
"DEU","VAGEXP","TOT","PC","A","2001",80.13,
"DEU","VAGEXP","TOT","PC","A","2002",81.3,
"DEU","VAGEXP","TOT","PC","A","2003",81.03,
"DEU","VAGEXP","TOT","PC","A","2004",80.42,
"DEU","VAGEXP","TOT","PC","A","2005",78.71,
"DEU","VAGEXP","TOT","PC","A","2006",76.69,
"DEU","VAGEXP","TOT","PC","A","2007",75.82,
"DEU","VAGEXP","TOT","PC","A","2008",75.33,
