"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","EXPBSNS","0_9","USD","A","2008",24964.5,"E"
"AUT","EXPBSNS","0_9","USD","A","2009",18138.1,"E"
"AUT","EXPBSNS","0_9","USD","A","2010",22422.5,"E"
"AUT","EXPBSNS","0_9","USD","A","2011",24911.7,
"AUT","EXPBSNS","0_9","USD","A","2012",24969.4,
"AUT","EXPBSNS","0_9","USD","A","2013",26179.4,
"AUT","EXPBSNS","0_9","USD","A","2014",27788.8,
"AUT","EXPBSNS","0_9","USD","A","2015",22724.8,
"AUT","EXPBSNS","50_249","USD","A","2008",37216.1,"E"
"AUT","EXPBSNS","50_249","USD","A","2009",27815.2,"E"
"AUT","EXPBSNS","50_249","USD","A","2010",32951.2,"E"
"AUT","EXPBSNS","50_249","USD","A","2011",39072.7,
"AUT","EXPBSNS","50_249","USD","A","2012",38093.9,
"AUT","EXPBSNS","50_249","USD","A","2013",40032.3,
"AUT","EXPBSNS","50_249","USD","A","2014",39265.6,
"AUT","EXPBSNS","50_249","USD","A","2015",33122,
"AUT","EXPBSNS","250MORE","USD","A","2008",88956.2,"E"
"AUT","EXPBSNS","250MORE","USD","A","2009",69406.6,"E"
"AUT","EXPBSNS","250MORE","USD","A","2010",77323.5,"E"
"AUT","EXPBSNS","250MORE","USD","A","2011",88902.6,
"AUT","EXPBSNS","250MORE","USD","A","2012",81343.2,
"AUT","EXPBSNS","250MORE","USD","A","2013",84426.4,
"AUT","EXPBSNS","250MORE","USD","A","2014",86250.2,
"AUT","EXPBSNS","250MORE","USD","A","2015",75468.4,
"AUT","EXPBSNS","10_49","USD","A","2008",20312.9,"E"
"AUT","EXPBSNS","10_49","USD","A","2009",13882.3,"E"
"AUT","EXPBSNS","10_49","USD","A","2010",15159.4,"E"
"AUT","EXPBSNS","10_49","USD","A","2011",19382.9,
"AUT","EXPBSNS","10_49","USD","A","2012",17311.1,
"AUT","EXPBSNS","10_49","USD","A","2013",18473.7,
"AUT","EXPBSNS","10_49","USD","A","2014",18977.9,
"AUT","EXPBSNS","10_49","USD","A","2015",16830.9,
"AUT","EXPBSNS","ALLSIZE","USD","A","2008",181289,"E"
"AUT","EXPBSNS","ALLSIZE","USD","A","2009",136989,"E"
"AUT","EXPBSNS","ALLSIZE","USD","A","2010",152560,"E"
"AUT","EXPBSNS","ALLSIZE","USD","A","2011",177428,
"AUT","EXPBSNS","ALLSIZE","USD","A","2012",166611,
"AUT","EXPBSNS","ALLSIZE","USD","A","2013",175156,
"AUT","EXPBSNS","ALLSIZE","USD","A","2014",178248,
"AUT","EXPBSNS","ALLSIZE","USD","A","2015",152841,
"BEL","EXPBSNS","0_9","USD","A","2008",21927.2,"E"
"BEL","EXPBSNS","0_9","USD","A","2009",17321.9,"E"
"BEL","EXPBSNS","0_9","USD","A","2010",18848.5,"E"
