"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GVCPARTICIP","TOT","PC_GEXP","A","1995",11.97,
"AUS","GVCPARTICIP","TOT","PC_GEXP","A","1996",12.51,
"AUS","GVCPARTICIP","TOT","PC_GEXP","A","1997",13.31,
"AUS","GVCPARTICIP","TOT","PC_GEXP","A","1998",12.61,
"AUS","GVCPARTICIP","TOT","PC_GEXP","A","1999",14.38,
"AUS","GVCPARTICIP","TOT","PC_GEXP","A","2000",15.69,
"AUS","GVCPARTICIP","TOT","PC_GEXP","A","2001",14.14,
"AUS","GVCPARTICIP","TOT","PC_GEXP","A","2002",15.04,
"AUS","GVCPARTICIP","TOT","PC_GEXP","A","2003",12.46,
"AUS","GVCPARTICIP","TOT","PC_GEXP","A","2004",11.86,
"AUS","GVCPARTICIP","TOT","PC_GEXP","A","2005",11.97,
"AUS","GVCPARTICIP","TOT","PC_GEXP","A","2006",13.28,
"AUS","GVCPARTICIP","TOT","PC_GEXP","A","2007",13.45,
"AUS","GVCPARTICIP","TOT","PC_GEXP","A","2008",13.52,
"AUS","GVCPARTICIP","TOT","PC_GEXP","A","2009",12.78,
"AUS","GVCPARTICIP","TOT","PC_GEXP","A","2010",12.77,
"AUS","GVCPARTICIP","TOT","PC_GEXP","A","2011",13.91,
"AUS","GVCPARTICIP","TOT","PC_GEXP","A","2012",13.86,
"AUS","GVCPARTICIP","TOT","PC_GEXP","A","2013",14,
"AUS","GVCPARTICIP","TOT","PC_GEXP","A","2014",14.69,
"AUT","GVCPARTICIP","TOT","PC_GEXP","A","1995",21.37,
"AUT","GVCPARTICIP","TOT","PC_GEXP","A","1996",23.33,
"AUT","GVCPARTICIP","TOT","PC_GEXP","A","1997",23.97,
"AUT","GVCPARTICIP","TOT","PC_GEXP","A","1998",23.72,
"AUT","GVCPARTICIP","TOT","PC_GEXP","A","1999",23.58,
"AUT","GVCPARTICIP","TOT","PC_GEXP","A","2000",24.65,
"AUT","GVCPARTICIP","TOT","PC_GEXP","A","2001",26.44,
"AUT","GVCPARTICIP","TOT","PC_GEXP","A","2002",24.72,
"AUT","GVCPARTICIP","TOT","PC_GEXP","A","2003",24.97,
"AUT","GVCPARTICIP","TOT","PC_GEXP","A","2004",25.66,
"AUT","GVCPARTICIP","TOT","PC_GEXP","A","2005",26.3,
"AUT","GVCPARTICIP","TOT","PC_GEXP","A","2006",27,
"AUT","GVCPARTICIP","TOT","PC_GEXP","A","2007",26.93,
"AUT","GVCPARTICIP","TOT","PC_GEXP","A","2008",27.72,
"AUT","GVCPARTICIP","TOT","PC_GEXP","A","2009",24.42,
