"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","IMPBSNS","0_9","USD","A","2008",34496.7,"E"
"AUT","IMPBSNS","0_9","USD","A","2009",27563.9,"E"
"AUT","IMPBSNS","0_9","USD","A","2010",31793.1,"E"
"AUT","IMPBSNS","0_9","USD","A","2011",35726.7,
"AUT","IMPBSNS","0_9","USD","A","2012",34925.8,
"AUT","IMPBSNS","0_9","USD","A","2013",35855.9,
"AUT","IMPBSNS","0_9","USD","A","2014",36276,
"AUT","IMPBSNS","0_9","USD","A","2015",31037.8,
"AUT","IMPBSNS","50_249","USD","A","2008",42043.2,"E"
"AUT","IMPBSNS","50_249","USD","A","2009",33386.4,"E"
"AUT","IMPBSNS","50_249","USD","A","2010",38417.7,"E"
"AUT","IMPBSNS","50_249","USD","A","2011",46411.1,
"AUT","IMPBSNS","50_249","USD","A","2012",45272.3,
"AUT","IMPBSNS","50_249","USD","A","2013",44961.8,
"AUT","IMPBSNS","50_249","USD","A","2014",42894.6,
"AUT","IMPBSNS","50_249","USD","A","2015",36511.2,
"AUT","IMPBSNS","250MORE","USD","A","2008",69349.8,"E"
"AUT","IMPBSNS","250MORE","USD","A","2009",51366.2,"E"
"AUT","IMPBSNS","250MORE","USD","A","2010",59630.4,"E"
"AUT","IMPBSNS","250MORE","USD","A","2011",74122.8,
"AUT","IMPBSNS","250MORE","USD","A","2012",65273.7,
"AUT","IMPBSNS","250MORE","USD","A","2013",67668.7,
"AUT","IMPBSNS","250MORE","USD","A","2014",67658.1,
"AUT","IMPBSNS","250MORE","USD","A","2015",57927.5,
"AUT","IMPBSNS","10_49","USD","A","2008",29713.6,"E"
"AUT","IMPBSNS","10_49","USD","A","2009",24115.7,"E"
"AUT","IMPBSNS","10_49","USD","A","2010",27039.4,"E"
"AUT","IMPBSNS","10_49","USD","A","2011",32073.5,
"AUT","IMPBSNS","10_49","USD","A","2012",29324.6,
"AUT","IMPBSNS","10_49","USD","A","2013",30167.1,
"AUT","IMPBSNS","10_49","USD","A","2014",30292.1,
"AUT","IMPBSNS","10_49","USD","A","2015",26094.1,
"AUT","IMPBSNS","ALLSIZE","USD","A","2008",184293,"E"
"AUT","IMPBSNS","ALLSIZE","USD","A","2009",143063,"E"
"AUT","IMPBSNS","ALLSIZE","USD","A","2010",159009,"E"
"AUT","IMPBSNS","ALLSIZE","USD","A","2011",191417,
"AUT","IMPBSNS","ALLSIZE","USD","A","2012",178513,
"AUT","IMPBSNS","ALLSIZE","USD","A","2013",183278,
"AUT","IMPBSNS","ALLSIZE","USD","A","2014",182006,
"AUT","IMPBSNS","ALLSIZE","USD","A","2015",156106,
"BEL","IMPBSNS","0_9","USD","A","2008",27099.1,"E"
"BEL","IMPBSNS","0_9","USD","A","2009",24251.7,"E"
"BEL","IMPBSNS","0_9","USD","A","2010",23105.4,"E"
"BEL","IMPBSNS","0_9","USD","A","2011",27813.4,
"BEL","IMPBSNS","0_9","USD","A","2012",24251.7,
"BEL","IMPBSNS","0_9","USD","A","2013",25444.5,
"BEL","IMPBSNS","0_9","USD","A","2014",26146.9,
"BEL","IMPBSNS","50_249","USD","A","2008",67265.9,"E"
"BEL","IMPBSNS","50_249","USD","A","2009",50617.4,"E"
"BEL","IMPBSNS","50_249","USD","A","2010",61645.7,"E"
"BEL","IMPBSNS","50_249","USD","A","2011",77682.5,
"BEL","IMPBSNS","50_249","USD","A","2012",69627,
