"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TERMTRADE","TOT","RT","A","1970",56.5516030491123,
"AUS","TERMTRADE","TOT","RT","A","1971",52.9921079604602,
"AUS","TERMTRADE","TOT","RT","A","1972",63.0726305958714,
"AUS","TERMTRADE","TOT","RT","A","1973",67.7954878947126,
"AUS","TERMTRADE","TOT","RT","A","1974",61.6865038423902,
"AUS","TERMTRADE","TOT","RT","A","1975",58.8565118407385,
"AUS","TERMTRADE","TOT","RT","A","1976",56.9792448228937,
"AUS","TERMTRADE","TOT","RT","A","1977",51.8290083676428,
"AUS","TERMTRADE","TOT","RT","A","1978",52.1820813774668,
"AUS","TERMTRADE","TOT","RT","A","1979",54.0957925260343,
"AUS","TERMTRADE","TOT","RT","A","1980",53.6460653796073,
"AUS","TERMTRADE","TOT","RT","A","1981",52.8134105708231,
"AUS","TERMTRADE","TOT","RT","A","1982",52.0247274985451,
"AUS","TERMTRADE","TOT","RT","A","1983",53.2846088940289,
"AUS","TERMTRADE","TOT","RT","A","1984",52.4583112989366,
"AUS","TERMTRADE","TOT","RT","A","1985",47.4820089469573,
"AUS","TERMTRADE","TOT","RT","A","1986",44.89075288382,
"AUS","TERMTRADE","TOT","RT","A","1987",48.7744651896588,
"AUS","TERMTRADE","TOT","RT","A","1988",56.0010595736356,
"AUS","TERMTRADE","TOT","RT","A","1989",56.1881735491636,
"AUS","TERMTRADE","TOT","RT","A","1990",53.2277691744218,
"AUS","TERMTRADE","TOT","RT","A","1991",51.5826668167821,
"AUS","TERMTRADE","TOT","RT","A","1992",49.4471075674171,
"AUS","TERMTRADE","TOT","RT","A","1993",48.0577120107631,
"AUS","TERMTRADE","TOT","RT","A","1994",49.6315068360169,
"AUS","TERMTRADE","TOT","RT","A","1995",51.2135909481129,
"AUS","TERMTRADE","TOT","RT","A","1996",52.7385746897089,
"AUS","TERMTRADE","TOT","RT","A","1997",52.4500328299009,
"AUS","TERMTRADE","TOT","RT","A","1998",49.8844963085786,
"AUS","TERMTRADE","TOT","RT","A","1999",51.881490515068,
"AUS","TERMTRADE","TOT","RT","A","2000",52.7726154093608,
"AUS","TERMTRADE","TOT","RT","A","2001",53.5626658866992,
"AUS","TERMTRADE","TOT","RT","A","2002",54.3450493099041,
"AUS","TERMTRADE","TOT","RT","A","2003",58.3689126226836,
"AUS","TERMTRADE","TOT","RT","A","2004",63.9605387472567,
"AUS","TERMTRADE","TOT","RT","A","2005",70.8790813977266,
"AUS","TERMTRADE","TOT","RT","A","2006",76.0034738959397,
"AUS","TERMTRADE","TOT","RT","A","2007",80.2535244810649,
"AUS","TERMTRADE","TOT","RT","A","2008",86.3760806959996,
"AUS","TERMTRADE","TOT","RT","A","2009",82.8983488866706,
"AUS","TERMTRADE","TOT","RT","A","2010",100,
"AUS","TERMTRADE","TOT","RT","A","2011",100.433598530048,
"AUS","TERMTRADE","TOT","RT","A","2012",90.724591698719,
"AUS","TERMTRADE","TOT","RT","A","2013",87.3715464777644,
"AUS","TERMTRADE","TOT","RT","A","2014",78.1767121258988,
"AUS","TERMTRADE","TOT","RT","A","2015",70.1738342944294,
"AUT","TERMTRADE","TOT","RT","A","1970",115.724718296821,"E"
"AUT","TERMTRADE","TOT","RT","A","1971",114.604919732089,"E"
"AUT","TERMTRADE","TOT","RT","A","1972",116.149304541812,"E"
"AUT","TERMTRADE","TOT","RT","A","1973",119.874806196042,"E"
"AUT","TERMTRADE","TOT","RT","A","1974",113.205562054926,"E"
"AUT","TERMTRADE","TOT","RT","A","1975",114.01937085758,"E"
"AUT","TERMTRADE","TOT","RT","A","1976",112.842420346954,"E"
"AUT","TERMTRADE","TOT","RT","A","1977",112.018180627508,"E"
"AUT","TERMTRADE","TOT","RT","A","1978",112.379321514601,"E"
"AUT","TERMTRADE","TOT","RT","A","1979",111.185542656365,"E"
"AUT","TERMTRADE","TOT","RT","A","1980",107.413959805642,"E"
"AUT","TERMTRADE","TOT","RT","A","1981",105.201045345613,"E"
"AUT","TERMTRADE","TOT","RT","A","1982",106.702634318881,"E"
"AUT","TERMTRADE","TOT","RT","A","1983",106.324444799675,"E"
"AUT","TERMTRADE","TOT","RT","A","1984",106.398611110084,"E"
"AUT","TERMTRADE","TOT","RT","A","1985",105.710690004586,"E"
"AUT","TERMTRADE","TOT","RT","A","1986",106.941575029737,"E"
"AUT","TERMTRADE","TOT","RT","A","1987",107.279580744986,"E"
"AUT","TERMTRADE","TOT","RT","A","1988",107.232952524351,"E"
"AUT","TERMTRADE","TOT","RT","A","1989",106.670722853433,"E"
"AUT","TERMTRADE","TOT","RT","A","1990",107.346909854635,"E"
"AUT","TERMTRADE","TOT","RT","A","1991",107.215814013991,"E"
"AUT","TERMTRADE","TOT","RT","A","1992",106.528699762892,"E"
"AUT","TERMTRADE","TOT","RT","A","1993",106.095687333191,"E"
"AUT","TERMTRADE","TOT","RT","A","1994",106.417828278915,"E"
"AUT","TERMTRADE","TOT","RT","A","1995",106.795321960934,
"AUT","TERMTRADE","TOT","RT","A","1996",105.221956514818,
"AUT","TERMTRADE","TOT","RT","A","1997",104.087144007201,
"AUT","TERMTRADE","TOT","RT","A","1998",103.695803562575,
"AUT","TERMTRADE","TOT","RT","A","1999",103.170767265016,
"AUT","TERMTRADE","TOT","RT","A","2000",102.125343367983,
"AUT","TERMTRADE","TOT","RT","A","2001",102.341449656973,
"AUT","TERMTRADE","TOT","RT","A","2002",103.067567008942,
"AUT","TERMTRADE","TOT","RT","A","2003",103.895819756429,
"AUT","TERMTRADE","TOT","RT","A","2004",103.355080971908,
"AUT","TERMTRADE","TOT","RT","A","2005",102.537296318466,
"AUT","TERMTRADE","TOT","RT","A","2006",101.425667609153,
"AUT","TERMTRADE","TOT","RT","A","2007",101.007758341688,
"AUT","TERMTRADE","TOT","RT","A","2008",99.6444342276398,
"AUT","TERMTRADE","TOT","RT","A","2009",101.795168908623,
"AUT","TERMTRADE","TOT","RT","A","2010",100,
"AUT","TERMTRADE","TOT","RT","A","2011",98.3007483819687,
"AUT","TERMTRADE","TOT","RT","A","2012",97.8914479708632,
"AUT","TERMTRADE","TOT","RT","A","2013",98.034327694284,
"AUT","TERMTRADE","TOT","RT","A","2014",98.525109059583,
"AUT","TERMTRADE","TOT","RT","A","2015",99.7720133903285,
"AUT","TERMTRADE","TOT","RT","A","2016",100.493813997913,
"BEL","TERMTRADE","TOT","RT","A","1970",106.426459392599,"E"
"BEL","TERMTRADE","TOT","RT","A","1971",105.104526814333,"E"
"BEL","TERMTRADE","TOT","RT","A","1972",106.455536349694,"E"
