"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","1975",339677548916.61,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","1976",353884470441.074,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","1977",355035900781.32,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","1978",368496690338.75,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","1979",393147539471.062,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","1980",401471915099.985,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","1981",414556756557.068,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","1982",388123474861.266,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","1983",384240694510.511,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","1984",415303443551.974,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","1985",425905539725.498,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","1986",434032036983.589,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","1987",451006006778.415,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","1988",495847679237.146,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","1989",532284815416.56,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","1990",557668359740.286,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","1991",582240953155.915,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","1992",619277633611.736,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","1993",641475999017.4,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","1994",694351520458.125,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","1995",733518962506.923,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","1996",795533621633.023,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","1997",885516521216.971,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","1998",921861154464.039,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","1999",972463575966.179,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","2000",1091946073326.52,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","2001",1088897820692.55,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","2002",1120278510399.54,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","2003",1183840284240.12,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","2004",1311923318322.23,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","2005",1427171751165.5,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","2006",1559131015583.35,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","2007",1689677761681.66,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","2008",1763999672559.99,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","2009",1573947444073.5,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","2010",1799211134126.9,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","2011",1946164972240,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","2012",2022991136391.77,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","2013",2097395037509.94,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","2014",2171919572104.46,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","2015",2219412085829.33,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","2016",2247158726501.61,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","2017",2328010109701.52,
"USA","TRADEGOODSERVFORECAST","EXPMRKTGRWTH","USD","A","2018",2403616762878.35,
"AUT","TRADEGOODSERVFORECAST","IMP","USD","A","1970",29283788996.0089,
"AUT","TRADEGOODSERVFORECAST","IMP","USD","A","1971",31125013011.8717,
"AUT","TRADEGOODSERVFORECAST","IMP","USD","A","1972",34905536292.6834,
"AUT","TRADEGOODSERVFORECAST","IMP","USD","A","1973",38240094761.6129,
"AUT","TRADEGOODSERVFORECAST","IMP","USD","A","1974",40880724581.3478,
"AUT","TRADEGOODSERVFORECAST","IMP","USD","A","1975",38980285320.7537,
"AUT","TRADEGOODSERVFORECAST","IMP","USD","A","1976",45769683224.4729,
"AUT","TRADEGOODSERVFORECAST","IMP","USD","A","1977",49633289503.6279,
"AUT","TRADEGOODSERVFORECAST","IMP","USD","A","1978",49132837132.7083,
"AUT","TRADEGOODSERVFORECAST","IMP","USD","A","1979",54166934433.429,
"AUT","TRADEGOODSERVFORECAST","IMP","USD","A","1980",57258624716.6732,
"AUT","TRADEGOODSERVFORECAST","IMP","USD","A","1981",56911447244.6317,
"AUT","TRADEGOODSERVFORECAST","IMP","USD","A","1982",54846163521.6918,
"AUT","TRADEGOODSERVFORECAST","IMP","USD","A","1983",57137037959.9249,
"AUT","TRADEGOODSERVFORECAST","IMP","USD","A","1984",60932830301.83,
"AUT","TRADEGOODSERVFORECAST","IMP","USD","A","1985",64307256768.0339,
"AUT","TRADEGOODSERVFORECAST","IMP","USD","A","1986",62029980296.309,
"AUT","TRADEGOODSERVFORECAST","IMP","USD","A","1987",64407607794.4888,
"AUT","TRADEGOODSERVFORECAST","IMP","USD","A","1988",70489275124.2268,
