"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1970",12.6487209994051,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1971",12.8136583174211,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1972",14.1416576272548,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1973",13.1376092037863,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1974",14.2698633407773,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1975",13.5128968730487,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1976",14.011234786227,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1977",13.6176577057176,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1978",14.2998002679948,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1979",16.4230917903125,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1980",14.8947347683902,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1981",13.5247836796923,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1982",13.5801556153038,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1983",13.5584811880169,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1984",15.2363141788507,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1985",14.9886795349016,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1986",15.4669182521795,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1987",15.9546441941795,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1988",15.1143724311675,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1989",15.1149746230523,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1990",16.0240610046119,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1991",16.6496654057398,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1992",17.5261882857329,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1993",17.9493161533358,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1994",17.8597198427895,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1995",18.8677072043323,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1996",19.1075395785703,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1997",19.5702704812061,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1998",18.3368760064412,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1999",19.4130140661965,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2000",22.121346888712,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2001",20.6519779164921,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2002",18.9017536462043,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2003",16.9956820714923,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2004",18.0564450151434,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2005",19.5865023866803,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2006",19.8794416243655,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2007",19.7442503408101,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2008",22.5097674861826,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2009",19.4337144742075,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2010",21.1318154167275,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2011",21.2699791719876,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2012",19.7454189085772,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2013",20.8168861718052,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2014",19.684282653975,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2015",18.8678344564871,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1970",12.9238548483046,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1971",12.0206671908345,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1972",11.0722751195211,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1973",13.2553089203123,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1974",14.7614432786977,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1975",13.4048225178923,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1976",14.6738791220223,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1977",14.6150475355802,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1978",15.3886346589808,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1979",15.9406499955398,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1980",16.764949238912,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1981",16.8522195231567,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1982",15.6492158488852,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1983",15.0215054266686,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1984",17.3193641618497,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1985",18.0927894393492,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1986",17.1001275398781,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1987",16.649771218167,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1988",16.991079330434,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1989",17.1001586368107,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1990",16.2209587814483,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1991",16.4470670463615,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1992",17.9018330112986,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1993",18.4811968921898,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1994",19.8258591151869,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1995",19.3046423891329,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1996",18.7970842320986,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1997",20.3534477785658,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1998",20.6219001610306,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1999",21.4429000098259,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2000",21.9452950391053,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2001",20.628775383571,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2002",21.0229207809009,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2003",19.694068444328,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2004",20.7700101317123,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2005",21.3927876786004,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2006",21.488633855661,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2007",22.3429749857695,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2008",22.407883870148,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2009",20.4048067526366,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2010",20.0927794265911,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2011",21.3749571809047,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2012",20.8790144082371,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2013",21.0855126608551,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2014",21.1304650046753,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2015",21.0837869456342,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1970",27.4579030960879,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1971",27.1006401090953,"E"
