"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADESERV","EXP","MLN_USD","A","1960",297.5403,
"AUS","TRADESERV","EXP","MLN_USD","A","1961",331.5945,
"AUS","TRADESERV","EXP","MLN_USD","A","1962",355.3028,
"AUS","TRADESERV","EXP","MLN_USD","A","1963",407.5804,
"AUS","TRADESERV","EXP","MLN_USD","A","1964",460.1053,
"AUS","TRADESERV","EXP","MLN_USD","A","1965",535.1793,
"AUS","TRADESERV","EXP","MLN_USD","A","1966",541.9882,
"AUS","TRADESERV","EXP","MLN_USD","A","1967",639.6885,
"AUS","TRADESERV","EXP","MLN_USD","A","1968",701.9887,
"AUS","TRADESERV","EXP","MLN_USD","A","1969",777.7037,
"AUS","TRADESERV","EXP","MLN_USD","A","1970",924.3201,
"AUS","TRADESERV","EXP","MLN_USD","A","1971",999.5468,
"AUS","TRADESERV","EXP","MLN_USD","A","1972",1108.862,
"AUS","TRADESERV","EXP","MLN_USD","A","1973",1386.038,
"AUS","TRADESERV","EXP","MLN_USD","A","1974",1906.034,
"AUS","TRADESERV","EXP","MLN_USD","A","1975",2033.816,
"AUS","TRADESERV","EXP","MLN_USD","A","1976",2138.821,
"AUS","TRADESERV","EXP","MLN_USD","A","1977",2143.569,
"AUS","TRADESERV","EXP","MLN_USD","A","1978",2750.511,
"AUS","TRADESERV","EXP","MLN_USD","A","1979",3248.328,
"AUS","TRADESERV","EXP","MLN_USD","A","1980",3861.517,
"AUS","TRADESERV","EXP","MLN_USD","A","1981",4287.595,
"AUS","TRADESERV","EXP","MLN_USD","A","1982",4365.93,
"AUS","TRADESERV","EXP","MLN_USD","A","1983",4180.892,
"AUS","TRADESERV","EXP","MLN_USD","A","1984",4538.472,
"AUS","TRADESERV","EXP","MLN_USD","A","1985",4217.94,
"AUS","TRADESERV","EXP","MLN_USD","A","1986",4780.76,
"AUS","TRADESERV","EXP","MLN_USD","A","1987",6137.957,
"AUS","TRADESERV","EXP","MLN_USD","A","1988",8446.748,
"AUS","TRADESERV","EXP","MLN_USD","A","1989",9081.764,
"AUS","TRADESERV","EXP","MLN_USD","A","1990",10365.66,
"AUS","TRADESERV","EXP","MLN_USD","A","1991",11182.73,
"AUS","TRADESERV","EXP","MLN_USD","A","1992",11662.01,
"AUS","TRADESERV","EXP","MLN_USD","A","1993",12565.19,
"AUS","TRADESERV","EXP","MLN_USD","A","1994",14587.26,
"AUS","TRADESERV","EXP","MLN_USD","A","1995",16861.16,
"AUS","TRADESERV","EXP","MLN_USD","A","1996",19333.55,
"AUS","TRADESERV","EXP","MLN_USD","A","1997",19397.14,
"AUS","TRADESERV","EXP","MLN_USD","A","1998",17262.56,
"AUS","TRADESERV","EXP","MLN_USD","A","1999",18791.21,
"AUS","TRADESERV","EXP","MLN_USD","A","2000",19918.14,
"AUS","TRADESERV","EXP","MLN_USD","A","2001",17884.39,
"AUS","TRADESERV","EXP","MLN_USD","A","2002",19375.47,
"AUS","TRADESERV","EXP","MLN_USD","A","2003",23428.6,
"AUS","TRADESERV","EXP","MLN_USD","A","2004",27741.91,
"AUS","TRADESERV","EXP","MLN_USD","A","2005",30432.92,
"AUS","TRADESERV","EXP","MLN_USD","A","2006",33079.09,
"AUS","TRADESERV","EXP","MLN_USD","A","2007",40373.74,
"AUS","TRADESERV","EXP","MLN_USD","A","2008",42905.2,
"AUS","TRADESERV","EXP","MLN_USD","A","2009",39833.6,
"AUS","TRADESERV","EXP","MLN_USD","A","2010",46609.92,
"AUS","TRADESERV","EXP","MLN_USD","A","2011",52663.66,
"AUS","TRADESERV","EXP","MLN_USD","A","2012",53565.09,
"AUS","TRADESERV","EXP","MLN_USD","A","2013",52970.59,
"AUS","TRADESERV","EXP","MLN_USD","A","2014",54019.85,
"AUS","TRADESERV","EXP","MLN_USD","A","2015",49026.2,
"AUS","TRADESERV","EXP","MLN_USD","A","2016",52959.21,
"AUS","TRADESERV","IMP","MLN_USD","A","1960",627.5193,
"AUS","TRADESERV","IMP","MLN_USD","A","1961",615.1804,
"AUS","TRADESERV","IMP","MLN_USD","A","1962",624.3018,
"AUS","TRADESERV","IMP","MLN_USD","A","1963",704.0026,
"AUS","TRADESERV","IMP","MLN_USD","A","1964",821.9358,
"AUS","TRADESERV","IMP","MLN_USD","A","1965",942.7217,
"AUS","TRADESERV","IMP","MLN_USD","A","1966",972.6851,
"AUS","TRADESERV","IMP","MLN_USD","A","1967",1109.164,
"AUS","TRADESERV","IMP","MLN_USD","A","1968",1234.877,
"AUS","TRADESERV","IMP","MLN_USD","A","1969",1356.537,
"AUS","TRADESERV","IMP","MLN_USD","A","1970",1530.14,
"AUS","TRADESERV","IMP","MLN_USD","A","1971",1685.599,
"AUS","TRADESERV","IMP","MLN_USD","A","1972",1875.527,
"AUS","TRADESERV","IMP","MLN_USD","A","1973",2679.483,
"AUS","TRADESERV","IMP","MLN_USD","A","1974",3744.253,
"AUS","TRADESERV","IMP","MLN_USD","A","1975",3810.936,
"AUS","TRADESERV","IMP","MLN_USD","A","1976",4220.034,
"AUS","TRADESERV","IMP","MLN_USD","A","1977",4318.236,
"AUS","TRADESERV","IMP","MLN_USD","A","1978",5048.334,
"AUS","TRADESERV","IMP","MLN_USD","A","1979",5611.359,
"AUS","TRADESERV","IMP","MLN_USD","A","1980",6569.253,
"AUS","TRADESERV","IMP","MLN_USD","A","1981",7428.535,
"AUS","TRADESERV","IMP","MLN_USD","A","1982",7535.159,
"AUS","TRADESERV","IMP","MLN_USD","A","1983",6988.59,
"AUS","TRADESERV","IMP","MLN_USD","A","1984",8235.35,
"AUS","TRADESERV","IMP","MLN_USD","A","1985",7675.966,
"AUS","TRADESERV","IMP","MLN_USD","A","1986",7689.19,
"AUS","TRADESERV","IMP","MLN_USD","A","1987",8767.41,
"AUS","TRADESERV","IMP","MLN_USD","A","1988",10866.69,
"AUS","TRADESERV","IMP","MLN_USD","A","1989",13535.28,
"AUS","TRADESERV","IMP","MLN_USD","A","1990",14115.77,
"AUS","TRADESERV","IMP","MLN_USD","A","1991",13892.16,
"AUS","TRADESERV","IMP","MLN_USD","A","1992",14064.59,
"AUS","TRADESERV","IMP","MLN_USD","A","1993",13946.01,
"AUS","TRADESERV","IMP","MLN_USD","A","1994",16089.74,
"AUS","TRADESERV","IMP","MLN_USD","A","1995",17873.35,
"AUS","TRADESERV","IMP","MLN_USD","A","1996",19368.01,
"AUS","TRADESERV","IMP","MLN_USD","A","1997",19710.19,
"AUS","TRADESERV","IMP","MLN_USD","A","1998",18533.05,
"AUS","TRADESERV","IMP","MLN_USD","A","1999",19211.3,
"AUS","TRADESERV","IMP","MLN_USD","A","2000",19319.24,
"AUS","TRADESERV","IMP","MLN_USD","A","2001",17453.99,
"AUS","TRADESERV","IMP","MLN_USD","A","2002",18440.81,
"AUS","TRADESERV","IMP","MLN_USD","A","2003",22105.89,
"AUS","TRADESERV","IMP","MLN_USD","A","2004",28347.39,
"AUS","TRADESERV","IMP","MLN_USD","A","2005",30985.18,
"AUS","TRADESERV","IMP","MLN_USD","A","2006",33231.96,
"AUS","TRADESERV","IMP","MLN_USD","A","2007",41943.38,
"AUS","TRADESERV","IMP","MLN_USD","A","2008",48768.24,
"AUS","TRADESERV","IMP","MLN_USD","A","2009",42229.55,
"AUS","TRADESERV","IMP","MLN_USD","A","2010",51547.66,
"AUS","TRADESERV","IMP","MLN_USD","A","2011",62627.67,
"AUS","TRADESERV","IMP","MLN_USD","A","2012",66732.23,
"AUS","TRADESERV","IMP","MLN_USD","A","2013",67797.8,
"AUS","TRADESERV","IMP","MLN_USD","A","2014",64150.14,
"AUS","TRADESERV","IMP","MLN_USD","A","2015",57724.2,
"AUS","TRADESERV","IMP","MLN_USD","A","2016",56127.93,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1960",-329.9789,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1961",-283.5859,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1962",-268.999,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1963",-296.4221,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1964",-361.8304,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1965",-407.5424,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1966",-430.6969,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1967",-469.4757,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1968",-532.8884,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1969",-578.8337,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1970",-605.8194,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1971",-686.0526,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1972",-766.6647,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1973",-1293.445,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1974",-1838.219,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1975",-1777.12,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1976",-2081.213,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1977",-2174.667,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1978",-2297.823,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1979",-2363.031,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1980",-2707.736,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1981",-3140.94,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1982",-3169.229,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1983",-2807.698,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1984",-3696.878,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1985",-3458.026,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1986",-2908.429,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1987",-2629.453,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1988",-2419.938,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1989",-4453.519,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1990",-3750.112,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1991",-2709.43,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1992",-2402.578,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1993",-1380.82,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1994",-1502.479,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1995",-1012.188,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1996",-34.45847,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1997",-313.0485,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1998",-1270.497,
"AUS","TRADESERV","NTRADE","MLN_USD","A","1999",-420.0919,
"AUS","TRADESERV","NTRADE","MLN_USD","A","2000",598.8936,
"AUS","TRADESERV","NTRADE","MLN_USD","A","2001",430.4077,
"AUS","TRADESERV","NTRADE","MLN_USD","A","2002",934.6674,
"AUS","TRADESERV","NTRADE","MLN_USD","A","2003",1322.708,
"AUS","TRADESERV","NTRADE","MLN_USD","A","2004",-605.4841,
"AUS","TRADESERV","NTRADE","MLN_USD","A","2005",-552.2594,
"AUS","TRADESERV","NTRADE","MLN_USD","A","2006",-152.872,
"AUS","TRADESERV","NTRADE","MLN_USD","A","2007",-1569.634,
"AUS","TRADESERV","NTRADE","MLN_USD","A","2008",-5863.045,
"AUS","TRADESERV","NTRADE","MLN_USD","A","2009",-2395.959,
"AUS","TRADESERV","NTRADE","MLN_USD","A","2010",-4937.736,
"AUS","TRADESERV","NTRADE","MLN_USD","A","2011",-9964.009,
"AUS","TRADESERV","NTRADE","MLN_USD","A","2012",-13167.14,
"AUS","TRADESERV","NTRADE","MLN_USD","A","2013",-14827.21,
"AUS","TRADESERV","NTRADE","MLN_USD","A","2014",-10130.3,
"AUS","TRADESERV","NTRADE","MLN_USD","A","2015",-8698.003,
"AUS","TRADESERV","NTRADE","MLN_USD","A","2016",-3168.722,
"AUT","TRADESERV","EXP","MLN_USD","A","1995",24269.66,
"AUT","TRADESERV","EXP","MLN_USD","A","1996",24494.28,
"AUT","TRADESERV","EXP","MLN_USD","A","1997",21703.52,
"AUT","TRADESERV","EXP","MLN_USD","A","1998",23205.57,
