"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-06",103.0459,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-07",102.9984,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-08",102.9578,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-09",102.9329,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-10",102.9218,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-11",102.8849,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-12",102.7552,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-01",102.4757,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-02",102.129,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-03",101.8215,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-04",101.6352,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-05",101.5393,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-06",101.4987,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-07",101.4896,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-08",101.462,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-09",101.3481,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-10",101.0906,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-11",100.756,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-12",100.4235,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-01",100.1509,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-02",99.93803,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-03",99.78878,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-04",99.71317,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-05",99.66582,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-06",99.59525,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-07",99.46483,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-08",99.29707,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-09",99.1196,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-10",98.9485,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-11",98.78138,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-12",98.6104,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-01",98.43134,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-02",98.2565,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-03",98.10934,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-04",98.01492,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-05",97.96262,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-06",97.94794,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-07",97.97205,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-08",98.00376,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-09",98.00818,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-10",97.96762,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-11",97.92991,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-12",97.9699,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-01",98.14817,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-02",98.39195,
