"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-01",100.5607,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-02",100.549,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-03",100.4532,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-04",100.2927,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-05",100.198,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-06",100.2201,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-07",100.338,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-08",100.4362,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-09",100.5379,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-10",100.6191,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-11",100.507,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-12",100.1495,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-01",99.63971,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-02",99.39821,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-03",99.45382,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-04",99.68539,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-05",99.85385,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-06",99.89714,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-07",99.84955,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-08",99.79842,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-09",99.7562,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-10",99.71164,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-11",99.67191,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-12",99.61951,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-01",99.55191,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-02",99.53401,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-03",99.50246,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-04",99.45905,
