"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GNI","TOT","MLN_USD","A","1960",25083.246,
"AUS","GNI","TOT","MLN_USD","A","1961",25477.5249,
"AUS","GNI","TOT","MLN_USD","A","1962",27917.5662,
"AUS","GNI","TOT","MLN_USD","A","1963",30475.9396,
"AUS","GNI","TOT","MLN_USD","A","1964",32889.2866,
"AUS","GNI","TOT","MLN_USD","A","1965",34515.4227,
"AUS","GNI","TOT","MLN_USD","A","1966",38128.7389,
"AUS","GNI","TOT","MLN_USD","A","1967",40742.5304,
"AUS","GNI","TOT","MLN_USD","A","1968",45946.8803,
"AUS","GNI","TOT","MLN_USD","A","1969",51697.6339,
"AUS","GNI","TOT","MLN_USD","A","1970",58448.6783,
"AUS","GNI","TOT","MLN_USD","A","1971",64096.053,
"AUS","GNI","TOT","MLN_USD","A","1972",70153.3086,
"AUS","GNI","TOT","MLN_USD","A","1973",78911.5418,
"AUS","GNI","TOT","MLN_USD","A","1974",86828.9849,
"AUS","GNI","TOT","MLN_USD","A","1975",97068.5303,
"AUS","GNI","TOT","MLN_USD","A","1976",103886.6361,
"AUS","GNI","TOT","MLN_USD","A","1977",109282.7147,
"AUS","GNI","TOT","MLN_USD","A","1978",122187.0408,
"AUS","GNI","TOT","MLN_USD","A","1979",136953.2973,
"AUS","GNI","TOT","MLN_USD","A","1980",154940.4127,
"AUS","GNI","TOT","MLN_USD","A","1981",175097.5833,
"AUS","GNI","TOT","MLN_USD","A","1982",180873.3279,
"AUS","GNI","TOT","MLN_USD","A","1983",194687.2318,
"AUS","GNI","TOT","MLN_USD","A","1984",208791.5992,
"AUS","GNI","TOT","MLN_USD","A","1985",225336.954,
"AUS","GNI","TOT","MLN_USD","A","1986",236338.1829,
"AUS","GNI","TOT","MLN_USD","A","1987",256874.3381,
"AUS","GNI","TOT","MLN_USD","A","1988",276112.65,
"AUS","GNI","TOT","MLN_USD","A","1989",289934.4344,
"AUS","GNI","TOT","MLN_USD","A","1990",292253.5608,
"AUS","GNI","TOT","MLN_USD","A","1991",302081.9798,
"AUS","GNI","TOT","MLN_USD","A","1992",325937.3748,
"AUS","GNI","TOT","MLN_USD","A","1993",348199.7926,
