"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1970",-1.42276422764228,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1971",-0.195439739413681,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1972",2.00474066931823,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1973",-1.03940453889893,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1974",-1.31743423362688,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1975",-1.31730630673904,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1976",-2.15437428482264,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1977",-2.53586602396784,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1978",-2.75158226514634,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1979",-1.2718920044007,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1980",-3.46659487004374,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1981",-4.85149134434324,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1982",-3.33997137016475,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1983",-3.38142998216851,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1984",-4.51887113226794,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1985",-5.64718523350858,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1986",-4.11237486241417,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1987",-3.08647491102929,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1988",-5.06843885567844,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1989",-5.80161008949884,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1990",-4.05036539220689,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1991",-3.09847980391879,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1992",-3.25483783169767,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1993",-3.34967145395004,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1994",-5.42013503980651,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1995",-3.90598151805709,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1996",-2.98880566213127,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1997",-3.89128494691157,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1998",-5.38872785829308,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1999",-4.93957053128047,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2000",-2.60975975933443,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2001",-2.63381895129855,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2002",-4.88855233430682,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2003",-5.53223716944303,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2004",-6.46717487768802,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2005",-5.7754056755517,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2006",-6.05532259251085,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2007",-6.69421424505581,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2008",-3.46944285623531,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2009",-4.97260903208304,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2010",-3.1198730610688,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2011",-3.31136571294883,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2012",-3.76084512961783,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2013",-3.00722039825402,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2014",-3.657477724401,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2015",-4.41921511374953,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1970",-4.43932183224271,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1971",-3.22812535100528,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1972",-1.11285203487204,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1973",-4.02168327172057,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1974",-5.06889141701428,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1975",-2.62860848263605,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1976",-2.94184957869552,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1977",-2.79402518718921,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1978",-3.87749770350332,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1979",-2.72665100651185,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1980",-3.4101206971277,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1981",-5.72303036164318,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1982",-3.15931816621151,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1983",-1.84820304492505,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1984",-2.08645018701122,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1985",-3.16742776008289,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1986",-3.09170641368346,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1987",-1.10215840638432,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1988",-2.07461219791616,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1989",-2.7183232929246,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1990",-1.64089504241246,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1991",0.597405418679663,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1992",1.99789009130191,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1993",2.11382461847991,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1994",-0.194497631764587,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1995",-0.871226855086311,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1996",-2.31926294670576,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1997",-2.34274526038609,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1998",-2.70933977455717,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","1999",-2.48097170888037,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","2000",0.219533682132224,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","2001",-0.085650492954385,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","2002",-0.812263671940787,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","2003",-1.27763364064118,
