"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NNI","TOT","MLN_USD","A","1960",20800.4622,
"AUS","NNI","TOT","MLN_USD","A","1961",21121.4784,
"AUS","NNI","TOT","MLN_USD","A","1962",23189.2983,
"AUS","NNI","TOT","MLN_USD","A","1963",25393.7523,
"AUS","NNI","TOT","MLN_USD","A","1964",27242.3301,
"AUS","NNI","TOT","MLN_USD","A","1965",28581.5351,
"AUS","NNI","TOT","MLN_USD","A","1966",31690.9614,
"AUS","NNI","TOT","MLN_USD","A","1967",33689.4517,
"AUS","NNI","TOT","MLN_USD","A","1968",38348.0552,
"AUS","NNI","TOT","MLN_USD","A","1969",42636.6842,
"AUS","NNI","TOT","MLN_USD","A","1970",48574.4549,
"AUS","NNI","TOT","MLN_USD","A","1971",53256.5764,
"AUS","NNI","TOT","MLN_USD","A","1972",58835.5844,
"AUS","NNI","TOT","MLN_USD","A","1973",66374.6716,
"AUS","NNI","TOT","MLN_USD","A","1974",73696.6687,
"AUS","NNI","TOT","MLN_USD","A","1975",82210.6986,
"AUS","NNI","TOT","MLN_USD","A","1976",88250.4738,
"AUS","NNI","TOT","MLN_USD","A","1977",92249.1567,
"AUS","NNI","TOT","MLN_USD","A","1978",103572.3528,
"AUS","NNI","TOT","MLN_USD","A","1979",115823.536,
"AUS","NNI","TOT","MLN_USD","A","1980",131151.2399,
"AUS","NNI","TOT","MLN_USD","A","1981",147842.8363,
"AUS","NNI","TOT","MLN_USD","A","1982",151553.6613,
"AUS","NNI","TOT","MLN_USD","A","1983",163490.9735,
"AUS","NNI","TOT","MLN_USD","A","1984",175550.0637,
"AUS","NNI","TOT","MLN_USD","A","1985",188009.0278,
"AUS","NNI","TOT","MLN_USD","A","1986",195146.081,
"AUS","NNI","TOT","MLN_USD","A","1987",212955.7038,
"AUS","NNI","TOT","MLN_USD","A","1988",229425.8425,
"AUS","NNI","TOT","MLN_USD","A","1989",240450.4752,
"AUS","NNI","TOT","MLN_USD","A","1990",240745.3378,
"AUS","NNI","TOT","MLN_USD","A","1991",248347.8228,
"AUS","NNI","TOT","MLN_USD","A","1992",268338.688,
"AUS","NNI","TOT","MLN_USD","A","1993",286616.3079,
"AUS","NNI","TOT","MLN_USD","A","1994",303600.179,
"AUS","NNI","TOT","MLN_USD","A","1995",323996.8421,
"AUS","NNI","TOT","MLN_USD","A","1996",342665.7061,
"AUS","NNI","TOT","MLN_USD","A","1997",362854.0331,
"AUS","NNI","TOT","MLN_USD","A","1998",384273.1539,
"AUS","NNI","TOT","MLN_USD","A","1999",411619.569,
"AUS","NNI","TOT","MLN_USD","A","2000",434117.3816,
"AUS","NNI","TOT","MLN_USD","A","2001",458722.3429,
"AUS","NNI","TOT","MLN_USD","A","2002",483972.2487,
"AUS","NNI","TOT","MLN_USD","A","2003",514582.0133,
"AUS","NNI","TOT","MLN_USD","A","2004",539377.8379,
"AUS","NNI","TOT","MLN_USD","A","2005",573076.4459,
"AUS","NNI","TOT","MLN_USD","A","2006",612648.3818,
"AUS","NNI","TOT","MLN_USD","A","2007",657378.8613,
"AUS","NNI","TOT","MLN_USD","A","2008",681630.4503,
"AUS","NNI","TOT","MLN_USD","A","2009",714934.986,
"AUS","NNI","TOT","MLN_USD","A","2010",749711.664,
"AUS","NNI","TOT","MLN_USD","A","2011",800142.6948,
"AUS","NNI","TOT","MLN_USD","A","2012",804533.3384,
"AUS","NNI","TOT","MLN_USD","A","2013",884873.8458,
"AUS","NNI","TOT","MLN_USD","A","2014",889549.178,
"AUS","NNI","TOT","MLN_USD","A","2015",905821.7989,
"AUS","NNI","TOT","USD_CAP","A","1960",2001.599536,
"AUS","NNI","TOT","USD_CAP","A","1961",1984.606319,
"AUS","NNI","TOT","USD_CAP","A","1962",2138.039103,
"AUS","NNI","TOT","USD_CAP","A","1963",2296.937601,
"AUS","NNI","TOT","USD_CAP","A","1964",2415.008336,
"AUS","NNI","TOT","USD_CAP","A","1965",2484.182664,
"AUS","NNI","TOT","USD_CAP","A","1966",2707.508456,
"AUS","NNI","TOT","USD_CAP","A","1967",2828.134331,
"AUS","NNI","TOT","USD_CAP","A","1968",3157.366618,
"AUS","NNI","TOT","USD_CAP","A","1969",3436.442213,
"AUS","NNI","TOT","USD_CAP","A","1970",3835.793726,
"AUS","NNI","TOT","USD_CAP","A","1971",4035.08434,
"AUS","NNI","TOT","USD_CAP","A","1972",4387.674005,
"AUS","NNI","TOT","USD_CAP","A","1973",4875.348497,
"AUS","NNI","TOT","USD_CAP","A","1974",5327.992045,
"AUS","NNI","TOT","USD_CAP","A","1975",5885.274461,
"AUS","NNI","TOT","USD_CAP","A","1976",6254.415633,
"AUS","NNI","TOT","USD_CAP","A","1977",6459.331554,
"AUS","NNI","TOT","USD_CAP","A","1978",7177.158406,
"AUS","NNI","TOT","USD_CAP","A","1979",7931.771048,
"AUS","NNI","TOT","USD_CAP","A","1980",8857.159639,
"AUS","NNI","TOT","USD_CAP","A","1981",9820.757756,
"AUS","NNI","TOT","USD_CAP","A","1982",9912.665429,
"AUS","NNI","TOT","USD_CAP","A","1983",10559.04774,
"AUS","NNI","TOT","USD_CAP","A","1984",11197.735916,
"AUS","NNI","TOT","USD_CAP","A","1985",11824.046251,
"AUS","NNI","TOT","USD_CAP","A","1986",12091.757497,
"AUS","NNI","TOT","USD_CAP","A","1987",12989.348399,
"AUS","NNI","TOT","USD_CAP","A","1988",13748.709482,
"AUS","NNI","TOT","USD_CAP","A","1989",14196.989299,
"AUS","NNI","TOT","USD_CAP","A","1990",14021.467139,
"AUS","NNI","TOT","USD_CAP","A","1991",14265.123733,
"AUS","NNI","TOT","USD_CAP","A","1992",15262.8207,
"AUS","NNI","TOT","USD_CAP","A","1993",16151.868055,
"AUS","NNI","TOT","USD_CAP","A","1994",16935.09392,
"AUS","NNI","TOT","USD_CAP","A","1995",17855.35859,
"AUS","NNI","TOT","USD_CAP","A","1996",18667.992903,
"AUS","NNI","TOT","USD_CAP","A","1997",19571.752225,
"AUS","NNI","TOT","USD_CAP","A","1998",20509.118743,
"AUS","NNI","TOT","USD_CAP","A","1999",21720.660702,
"AUS","NNI","TOT","USD_CAP","A","2000",22631.804671,
"AUS","NNI","TOT","USD_CAP","A","2001",23625.957297,
"AUS","NNI","TOT","USD_CAP","A","2002",24644.782501,
"AUS","NNI","TOT","USD_CAP","A","2003",25914.580715,
"AUS","NNI","TOT","USD_CAP","A","2004",26855.067699,
"AUS","NNI","TOT","USD_CAP","A","2005",28159.147729,
"AUS","NNI","TOT","USD_CAP","A","2006",29617.906568,
"AUS","NNI","TOT","USD_CAP","A","2007",31178.148929,
"AUS","NNI","TOT","USD_CAP","A","2008",31654.051269,
"AUS","NNI","TOT","USD_CAP","A","2009",32626.975074,
"AUS","NNI","TOT","USD_CAP","A","2010",33738.25308,
"AUS","NNI","TOT","USD_CAP","A","2011",35436.79856,
"AUS","NNI","TOT","USD_CAP","A","2012",35017.820791,
"AUS","NNI","TOT","USD_CAP","A","2013",37915.984615,
"AUS","NNI","TOT","USD_CAP","A","2014",37591.616835,
"AUS","NNI","TOT","USD_CAP","A","2015",37639.06752,
"AUT","NNI","TOT","MLN_USD","A","1970",24371.1179,"E"
"AUT","NNI","TOT","MLN_USD","A","1971",26898.4283,"E"
"AUT","NNI","TOT","MLN_USD","A","1972",29795.2925,"E"
"AUT","NNI","TOT","MLN_USD","A","1973",33021.3922,"E"
"AUT","NNI","TOT","MLN_USD","A","1974",37434.228,"E"
"AUT","NNI","TOT","MLN_USD","A","1975",40606.0379,"E"
"AUT","NNI","TOT","MLN_USD","A","1976",44934.1083,"E"
"AUT","NNI","TOT","MLN_USD","A","1977",49927.5355,"E"
"AUT","NNI","TOT","MLN_USD","A","1978",53080.4434,"E"
"AUT","NNI","TOT","MLN_USD","A","1979",60705.3219,"E"
"AUT","NNI","TOT","MLN_USD","A","1980",66978.4146,"E"
"AUT","NNI","TOT","MLN_USD","A","1981",72558.2935,"E"
"AUT","NNI","TOT","MLN_USD","A","1982",78618.6473,"E"
"AUT","NNI","TOT","MLN_USD","A","1983",84561.0893,"E"
"AUT","NNI","TOT","MLN_USD","A","1984",87521.1348,"E"
"AUT","NNI","TOT","MLN_USD","A","1985",92749.1776,"E"
"AUT","NNI","TOT","MLN_USD","A","1986",96461.8021,"E"
"AUT","NNI","TOT","MLN_USD","A","1987",100169.6792,"E"
"AUT","NNI","TOT","MLN_USD","A","1988",107730.957,"E"
"AUT","NNI","TOT","MLN_USD","A","1989",116371.4058,"E"
"AUT","NNI","TOT","MLN_USD","A","1990",126196.4152,"E"
"AUT","NNI","TOT","MLN_USD","A","1991",133995.9435,"E"
"AUT","NNI","TOT","MLN_USD","A","1992",139976.2786,"E"
"AUT","NNI","TOT","MLN_USD","A","1993",143581.9981,"E"
"AUT","NNI","TOT","MLN_USD","A","1994",150017.7125,"E"
"AUT","NNI","TOT","MLN_USD","A","1995",156643.7111,
