"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","SAVING","TOT","PC_GDP","A","1970",17.1501651638463,"E"
"BEL","SAVING","TOT","PC_GDP","A","1971",15.9364504032826,"E"
"BEL","SAVING","TOT","PC_GDP","A","1972",15.6935895976432,"E"
"BEL","SAVING","TOT","PC_GDP","A","1973",15.4704317700486,"E"
"BEL","SAVING","TOT","PC_GDP","A","1974",15.8500910563985,"E"
"BEL","SAVING","TOT","PC_GDP","A","1975",12.3451608635205,"E"
"BEL","SAVING","TOT","PC_GDP","A","1976",13.3333874814204,"E"
"BEL","SAVING","TOT","PC_GDP","A","1977",11.1921506115667,"E"
"BEL","SAVING","TOT","PC_GDP","A","1978",10.9293861426337,"E"
"BEL","SAVING","TOT","PC_GDP","A","1979",8.86660480043048,"E"
"BEL","SAVING","TOT","PC_GDP","A","1980",5.84613510416441,"E"
"BEL","SAVING","TOT","PC_GDP","A","1981",2.40917088124248,"E"
"BEL","SAVING","TOT","PC_GDP","A","1982",1.6427809057477,"E"
"BEL","SAVING","TOT","PC_GDP","A","1983",1.38341314697631,"E"
"BEL","SAVING","TOT","PC_GDP","A","1984",3.13455121923724,"E"
"BEL","SAVING","TOT","PC_GDP","A","1985",3.33557210072264,"E"
"BEL","SAVING","TOT","PC_GDP","A","1986",4.64924259485675,"E"
"BEL","SAVING","TOT","PC_GDP","A","1987",5.63700761059429,"E"
"BEL","SAVING","TOT","PC_GDP","A","1988",8.55905001871665,"E"
"BEL","SAVING","TOT","PC_GDP","A","1989",9.71073078568679,"E"
"BEL","SAVING","TOT","PC_GDP","A","1990",10.0158681771131,"E"
"BEL","SAVING","TOT","PC_GDP","A","1991",8.95275966084014,"E"
"BEL","SAVING","TOT","PC_GDP","A","1992",9.23137694959776,"E"
"BEL","SAVING","TOT","PC_GDP","A","1993",9.97787552300057,"E"
"BEL","SAVING","TOT","PC_GDP","A","1994",11.1827463256176,"E"
"BEL","SAVING","TOT","PC_GDP","A","1995",10.691488356268,
"BEL","SAVING","TOT","PC_GDP","A","1996",9.3810375008104,
"BEL","SAVING","TOT","PC_GDP","A","1997",10.7532891679832,
"BEL","SAVING","TOT","PC_GDP","A","1998",10.5049682289223,
"BEL","SAVING","TOT","PC_GDP","A","1999",10.9155044917413,
"BEL","SAVING","TOT","PC_GDP","A","2000",11.0158700652927,
"BEL","SAVING","TOT","PC_GDP","A","2001",9.69065571056632,
"BEL","SAVING","TOT","PC_GDP","A","2002",9.61209168741934,
"BEL","SAVING","TOT","PC_GDP","A","2003",8.94277819252256,
"BEL","SAVING","TOT","PC_GDP","A","2004",9.68437720740113,
"BEL","SAVING","TOT","PC_GDP","A","2005",9.40802167708464,
"BEL","SAVING","TOT","PC_GDP","A","2006",9.59468808738084,
"BEL","SAVING","TOT","PC_GDP","A","2007",10.4406854397716,
"BEL","SAVING","TOT","PC_GDP","A","2008",8.38403009608378,
"BEL","SAVING","TOT","PC_GDP","A","2009",3.13179330296088,
"BEL","SAVING","TOT","PC_GDP","A","2010",7.14279062505992,
"BEL","SAVING","TOT","PC_GDP","A","2011",4.79132485373484,
"BEL","SAVING","TOT","PC_GDP","A","2012",5.00665806451613,
"BEL","SAVING","TOT","PC_GDP","A","2013",3.50076966081316,
"BEL","SAVING","TOT","PC_GDP","A","2014",3.47984141597866,
"BEL","SAVING","TOT","PC_GDP","A","2015",4.01009635658518,
"IRL","SAVING","TOT","PC_GDP","A","1970",7.12228582239764,"E"
"IRL","SAVING","TOT","PC_GDP","A","1971",6.91870057850151,"E"
"IRL","SAVING","TOT","PC_GDP","A","1972",8.60693603859873,"E"
"IRL","SAVING","TOT","PC_GDP","A","1973",9.05826909470622,"E"
"IRL","SAVING","TOT","PC_GDP","A","1974",6.17268807403926,"E"
"IRL","SAVING","TOT","PC_GDP","A","1975",8.1248164315416,"E"
"IRL","SAVING","TOT","PC_GDP","A","1976",6.83333934629245,"E"
"IRL","SAVING","TOT","PC_GDP","A","1977",8.068349680311,"E"
"IRL","SAVING","TOT","PC_GDP","A","1978",7.35423547416134,"E"
"IRL","SAVING","TOT","PC_GDP","A","1979",5.61722085422123,"E"
"IRL","SAVING","TOT","PC_GDP","A","1980",2.94531834469615,"E"
"IRL","SAVING","TOT","PC_GDP","A","1981",1.98779655724271,"E"
"IRL","SAVING","TOT","PC_GDP","A","1982",4.10854359253619,"E"
"IRL","SAVING","TOT","PC_GDP","A","1983",3.8805080779587,"E"
"IRL","SAVING","TOT","PC_GDP","A","1984",4.24229474400891,"E"
"IRL","SAVING","TOT","PC_GDP","A","1985",3.71843416982489,"E"
"IRL","SAVING","TOT","PC_GDP","A","1986",3.61357137165201,"E"
"IRL","SAVING","TOT","PC_GDP","A","1987",4.42751217327947,"E"
"IRL","SAVING","TOT","PC_GDP","A","1988",5.00311740988923,"E"
"IRL","SAVING","TOT","PC_GDP","A","1989",5.28535675243258,"E"
"IRL","SAVING","TOT","PC_GDP","A","1990",7.86847945592797,"E"
"IRL","SAVING","TOT","PC_GDP","A","1991",7.12361467668882,"E"
"IRL","SAVING","TOT","PC_GDP","A","1992",5.3174955101426,"E"
"IRL","SAVING","TOT","PC_GDP","A","1993",7.24496369341949,"E"
"IRL","SAVING","TOT","PC_GDP","A","1994",7.21568731560897,"E"
"IRL","SAVING","TOT","PC_GDP","A","1995",9.77086344277762,"E"
"IRL","SAVING","TOT","PC_GDP","A","1996",10.4083070490053,"E"
"IRL","SAVING","TOT","PC_GDP","A","1997",12.7717952676604,"E"
"IRL","SAVING","TOT","PC_GDP","A","1998",14.18652313783,"E"
"IRL","SAVING","TOT","PC_GDP","A","1999",13.0606715728018,
"IRL","SAVING","TOT","PC_GDP","A","2000",13.431854798184,
"IRL","SAVING","TOT","PC_GDP","A","2001",11.8183122560222,
"IRL","SAVING","TOT","PC_GDP","A","2002",10.8513899574795,
"IRL","SAVING","TOT","PC_GDP","A","2003",12.3101059696156,
"IRL","SAVING","TOT","PC_GDP","A","2004",12.584925360913,
"IRL","SAVING","TOT","PC_GDP","A","2005",11.8185973358902,
"IRL","SAVING","TOT","PC_GDP","A","2006",11.1677565959922,
"IRL","SAVING","TOT","PC_GDP","A","2007",8.45133207196249,
