"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPIFORECAST","TOT","AGRWTH","A","1961",2.2875816993,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1962",-0.3194888179,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1963",0.641025641,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1964",2.8662420382,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1965",3.4055727554,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1966",3.2934131737,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1967",3.4782608696,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1968",2.5210084034,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1969",3.2786885246,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1970",3.4391534392,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1971",6.1381074169,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1972",6.0240963855,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1973",9.0909090909,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1974",15.4166666667,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1975",15.1624548736,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1976",13.3228840125,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1977",12.3098201936,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1978",8.0049261084,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1979",9.1220068415,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1980",10.1358411703,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1981",9.4876660342,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1982",11.3518197574,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1983",10.0389105058,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1984",3.9603960396,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1985",6.7346938776,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1986",9.0904349922,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1987",8.4875754813,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1988",7.2120559742,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1989",7.5803212851,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1990",7.2328511433,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1991",3.3072236728,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1992",0.9688289806,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1993",1.7521902378,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1994",1.9270192702,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1995",4.6259050684,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1996",2.6528258362,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1997",0.2247191011,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1998",0.8594917788,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1999",1.4079288625,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2000",4.457435148,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2001",4.407135362,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2002",3.0485762144,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2003",2.7308192458,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2004",2.3417721519,
