"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PLI","TOT","OECDIDX","A","1997",96,
"AUS","PLI","TOT","OECDIDX","A","1998",83,
"AUS","PLI","TOT","OECDIDX","A","1999",85,
"AUS","PLI","TOT","OECDIDX","A","2000",81,
"AUS","PLI","TOT","OECDIDX","A","2001",77,
"AUS","PLI","TOT","OECDIDX","A","2002",81,
"AUS","PLI","TOT","OECDIDX","A","2003",90,
"AUS","PLI","TOT","OECDIDX","A","2004",99,
"AUS","PLI","TOT","OECDIDX","A","2005",104,
"AUS","PLI","TOT","OECDIDX","A","2006",105,
"AUS","PLI","TOT","OECDIDX","A","2007",115,
"AUS","PLI","TOT","OECDIDX","A","2008",117,
"AUS","PLI","TOT","OECDIDX","A","2009",110,
"AUS","PLI","TOT","OECDIDX","A","2010",135,
"AUS","PLI","TOT","OECDIDX","A","2011",148,
"AUS","PLI","TOT","OECDIDX","A","2012",157,
"AUS","PLI","TOT","OECDIDX","A","2013",142,
"AUS","PLI","TOT","OECDIDX","A","2014",135,
"AUS","PLI","TOT","OECDIDX","A","2015",124,
"AUS","PLI","TOT","OECDIDX","A","2016",124,
"AUT","PLI","TOT","OECDIDX","A","1997",104,
"AUT","PLI","TOT","OECDIDX","A","1998",105,
"AUT","PLI","TOT","OECDIDX","A","1999",100,
"AUT","PLI","TOT","OECDIDX","A","2000",89,
"AUT","PLI","TOT","OECDIDX","A","2001",92,
"AUT","PLI","TOT","OECDIDX","A","2002",94,
"AUT","PLI","TOT","OECDIDX","A","2003",103,
"AUT","PLI","TOT","OECDIDX","A","2004",107,
"AUT","PLI","TOT","OECDIDX","A","2005",107,
"AUT","PLI","TOT","OECDIDX","A","2006",108,
"AUT","PLI","TOT","OECDIDX","A","2007",114,
"AUT","PLI","TOT","OECDIDX","A","2008",118,
"AUT","PLI","TOT","OECDIDX","A","2009",115,
"AUT","PLI","TOT","OECDIDX","A","2010",109,
"AUT","PLI","TOT","OECDIDX","A","2011",110,
"AUT","PLI","TOT","OECDIDX","A","2012",103,
"AUT","PLI","TOT","OECDIDX","A","2013",107,
"AUT","PLI","TOT","OECDIDX","A","2014",109,
