"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPHRWKD","TOT","USD","A","1970",26.693444,
"AUS","GDPHRWKD","TOT","USD","A","1971",27.362512,
"AUS","GDPHRWKD","TOT","USD","A","1972",27.965653,
"AUS","GDPHRWKD","TOT","USD","A","1973",28.537128,
"AUS","GDPHRWKD","TOT","USD","A","1974",28.083349,
"AUS","GDPHRWKD","TOT","USD","A","1975",29.122371,
"AUS","GDPHRWKD","TOT","USD","A","1976",29.612139,
"AUS","GDPHRWKD","TOT","USD","A","1977",29.57785,
"AUS","GDPHRWKD","TOT","USD","A","1978",30.827998,
"AUS","GDPHRWKD","TOT","USD","A","1979",30.865013,
"AUS","GDPHRWKD","TOT","USD","A","1980",31.278182,
"AUS","GDPHRWKD","TOT","USD","A","1981",32.09884,
"AUS","GDPHRWKD","TOT","USD","A","1982",32.427931,
"AUS","GDPHRWKD","TOT","USD","A","1983",33.290161,
"AUS","GDPHRWKD","TOT","USD","A","1984",34.273357,
"AUS","GDPHRWKD","TOT","USD","A","1985",34.083944,
"AUS","GDPHRWKD","TOT","USD","A","1986",34.111017,
"AUS","GDPHRWKD","TOT","USD","A","1987",34.849554,
"AUS","GDPHRWKD","TOT","USD","A","1988",34.746827,
"AUS","GDPHRWKD","TOT","USD","A","1989",34.847438,
"AUS","GDPHRWKD","TOT","USD","A","1990",34.226391,
"AUS","GDPHRWKD","TOT","USD","A","1991",35.015887,
"AUS","GDPHRWKD","TOT","USD","A","1992",36.098449,
"AUS","GDPHRWKD","TOT","USD","A","1993",36.201387,
"AUS","GDPHRWKD","TOT","USD","A","1994",36.28355,
"AUS","GDPHRWKD","TOT","USD","A","1995",37.405181,
"AUS","GDPHRWKD","TOT","USD","A","1996",38.714455,
"AUS","GDPHRWKD","TOT","USD","A","1997",39.959372,
"AUS","GDPHRWKD","TOT","USD","A","1998",41.244094,
"AUS","GDPHRWKD","TOT","USD","A","1999",41.582229,
"AUS","GDPHRWKD","TOT","USD","A","2000",42.007767,
"AUS","GDPHRWKD","TOT","USD","A","2001",43.411163,
"AUS","GDPHRWKD","TOT","USD","A","2002",44.050522,
"AUS","GDPHRWKD","TOT","USD","A","2003",45.038172,
"AUS","GDPHRWKD","TOT","USD","A","2004",44.908761,
"AUS","GDPHRWKD","TOT","USD","A","2005",45.173843,
"AUS","GDPHRWKD","TOT","USD","A","2006",45.393988,
"AUS","GDPHRWKD","TOT","USD","A","2007",45.96067,
"AUS","GDPHRWKD","TOT","USD","A","2008",47.518054,
"AUS","GDPHRWKD","TOT","USD","A","2009",47.030254,
"AUS","GDPHRWKD","TOT","USD","A","2010",47.763583,
"AUS","GDPHRWKD","TOT","USD","A","2011",48.202045,
"AUS","GDPHRWKD","TOT","USD","A","2012",49.365123,
"AUS","GDPHRWKD","TOT","USD","A","2013",50.223788,
"AUS","GDPHRWKD","TOT","USD","A","2014",50.587317,
"AUS","GDPHRWKD","TOT","USD","A","2015",51.941719,
"AUS","GDPHRWKD","TOT","USD","A","2016",52.694175,"E"
"AUT","GDPHRWKD","TOT","USD","A","1995",40.634618,
"AUT","GDPHRWKD","TOT","USD","A","1996",40.698391,
"AUT","GDPHRWKD","TOT","USD","A","1997",41.096716,
"AUT","GDPHRWKD","TOT","USD","A","1998",42.640254,
"AUT","GDPHRWKD","TOT","USD","A","1999",43.42148,
"AUT","GDPHRWKD","TOT","USD","A","2000",44.454204,
"AUT","GDPHRWKD","TOT","USD","A","2001",45.050252,
"AUT","GDPHRWKD","TOT","USD","A","2002",45.901496,
"AUT","GDPHRWKD","TOT","USD","A","2003",46.166579,
"AUT","GDPHRWKD","TOT","USD","A","2004",47.040864,
"AUT","GDPHRWKD","TOT","USD","A","2005",48.097691,
"AUT","GDPHRWKD","TOT","USD","A","2006",49.355035,
"AUT","GDPHRWKD","TOT","USD","A","2007",50.515143,
"AUT","GDPHRWKD","TOT","USD","A","2008",50.556003,
"AUT","GDPHRWKD","TOT","USD","A","2009",50.465694,
"AUT","GDPHRWKD","TOT","USD","A","2010",51.202522,
"AUT","GDPHRWKD","TOT","USD","A","2011",51.609876,
"AUT","GDPHRWKD","TOT","USD","A","2012",52.155184,
"AUT","GDPHRWKD","TOT","USD","A","2013",52.539996,
"AUT","GDPHRWKD","TOT","USD","A","2014",52.704301,
"AUT","GDPHRWKD","TOT","USD","A","2015",53.534614,
"AUT","GDPHRWKD","TOT","USD","A","2016",53.849834,
"BEL","GDPHRWKD","TOT","USD","A","1970",25.086309,
"BEL","GDPHRWKD","TOT","USD","A","1971",25.991104,
"BEL","GDPHRWKD","TOT","USD","A","1972",27.801932,
"BEL","GDPHRWKD","TOT","USD","A","1973",29.678198,
"BEL","GDPHRWKD","TOT","USD","A","1974",30.945527,
"BEL","GDPHRWKD","TOT","USD","A","1975",31.139115,
"BEL","GDPHRWKD","TOT","USD","A","1976",33.038676,
"BEL","GDPHRWKD","TOT","USD","A","1977",33.853922,
"BEL","GDPHRWKD","TOT","USD","A","1978",35.127226,
"BEL","GDPHRWKD","TOT","USD","A","1979",35.953847,
"BEL","GDPHRWKD","TOT","USD","A","1980",38.055234,
"BEL","GDPHRWKD","TOT","USD","A","1981",39.212196,
"BEL","GDPHRWKD","TOT","USD","A","1982",40.298504,
"BEL","GDPHRWKD","TOT","USD","A","1983",40.815011,
"BEL","GDPHRWKD","TOT","USD","A","1984",41.242337,
"BEL","GDPHRWKD","TOT","USD","A","1985",41.580101,
"BEL","GDPHRWKD","TOT","USD","A","1986",42.57043,
"BEL","GDPHRWKD","TOT","USD","A","1987",43.620777,
"BEL","GDPHRWKD","TOT","USD","A","1988",45.139573,
"BEL","GDPHRWKD","TOT","USD","A","1989",46.244485,
"BEL","GDPHRWKD","TOT","USD","A","1990",46.789484,
"BEL","GDPHRWKD","TOT","USD","A","1991",48.567223,
"BEL","GDPHRWKD","TOT","USD","A","1992",50.082996,
"BEL","GDPHRWKD","TOT","USD","A","1993",51.334287,
"BEL","GDPHRWKD","TOT","USD","A","1994",53.213262,
"BEL","GDPHRWKD","TOT","USD","A","1995",52.744526,
"BEL","GDPHRWKD","TOT","USD","A","1996",54.335417,
"BEL","GDPHRWKD","TOT","USD","A","1997",55.507493,
"BEL","GDPHRWKD","TOT","USD","A","1998",55.241568,
"BEL","GDPHRWKD","TOT","USD","A","1999",56.467182,
"BEL","GDPHRWKD","TOT","USD","A","2000",56.91953,
"BEL","GDPHRWKD","TOT","USD","A","2001",56.836676,
"BEL","GDPHRWKD","TOT","USD","A","2002",58.165686,
"BEL","GDPHRWKD","TOT","USD","A","2003",58.847227,
"BEL","GDPHRWKD","TOT","USD","A","2004",60.578465,
"BEL","GDPHRWKD","TOT","USD","A","2005",61.261242,
"BEL","GDPHRWKD","TOT","USD","A","2006",61.826981,
"BEL","GDPHRWKD","TOT","USD","A","2007",62.713904,
"BEL","GDPHRWKD","TOT","USD","A","2008",62.325542,
"BEL","GDPHRWKD","TOT","USD","A","2009",61.864238,
"BEL","GDPHRWKD","TOT","USD","A","2010",63.219483,
"BEL","GDPHRWKD","TOT","USD","A","2011",62.924711,
"BEL","GDPHRWKD","TOT","USD","A","2012",62.727118,
"BEL","GDPHRWKD","TOT","USD","A","2013",62.970328,
"BEL","GDPHRWKD","TOT","USD","A","2014",63.835945,
"BEL","GDPHRWKD","TOT","USD","A","2015",64.386054,
"CAN","GDPHRWKD","TOT","USD","A","1970",27.017296,
"CAN","GDPHRWKD","TOT","USD","A","1971",27.721309,
"CAN","GDPHRWKD","TOT","USD","A","1972",28.663977,
"CAN","GDPHRWKD","TOT","USD","A","1973",29.382344,
"CAN","GDPHRWKD","TOT","USD","A","1974",29.497694,
"CAN","GDPHRWKD","TOT","USD","A","1975",29.94187,
"CAN","GDPHRWKD","TOT","USD","A","1976",31.503583,
"CAN","GDPHRWKD","TOT","USD","A","1977",32.384056,
"CAN","GDPHRWKD","TOT","USD","A","1978",32.707672,
"CAN","GDPHRWKD","TOT","USD","A","1979",32.415013,
"CAN","GDPHRWKD","TOT","USD","A","1980",32.321823,
"CAN","GDPHRWKD","TOT","USD","A","1981",32.775185,
"CAN","GDPHRWKD","TOT","USD","A","1982",33.222425,
"CAN","GDPHRWKD","TOT","USD","A","1983",33.993909,
"CAN","GDPHRWKD","TOT","USD","A","1984",34.923376,
"CAN","GDPHRWKD","TOT","USD","A","1985",35.235683,
"CAN","GDPHRWKD","TOT","USD","A","1986",34.940612,
"CAN","GDPHRWKD","TOT","USD","A","1987",35.110052,
"CAN","GDPHRWKD","TOT","USD","A","1988",35.453117,
"CAN","GDPHRWKD","TOT","USD","A","1989",35.540628,
"CAN","GDPHRWKD","TOT","USD","A","1990",35.497151,
"CAN","GDPHRWKD","TOT","USD","A","1991",35.794764,
"CAN","GDPHRWKD","TOT","USD","A","1992",36.520763,
"CAN","GDPHRWKD","TOT","USD","A","1993",37.257643,
"CAN","GDPHRWKD","TOT","USD","A","1994",37.997959,
"CAN","GDPHRWKD","TOT","USD","A","1995",38.455795,
"CAN","GDPHRWKD","TOT","USD","A","1996",38.368161,
"CAN","GDPHRWKD","TOT","USD","A","1997",39.332615,
"CAN","GDPHRWKD","TOT","USD","A","1998",40.032946,
"CAN","GDPHRWKD","TOT","USD","A","1999",41.025508,
"CAN","GDPHRWKD","TOT","USD","A","2000",42.268087,
"CAN","GDPHRWKD","TOT","USD","A","2001",42.805774,
"CAN","GDPHRWKD","TOT","USD","A","2002",43.462877,
"CAN","GDPHRWKD","TOT","USD","A","2003",43.493298,
"CAN","GDPHRWKD","TOT","USD","A","2004",43.781275,
"CAN","GDPHRWKD","TOT","USD","A","2005",44.82403,
"CAN","GDPHRWKD","TOT","USD","A","2006",45.333706,
"CAN","GDPHRWKD","TOT","USD","A","2007",45.40472,
"CAN","GDPHRWKD","TOT","USD","A","2008",45.372087,
"CAN","GDPHRWKD","TOT","USD","A","2009",45.69941,
"CAN","GDPHRWKD","TOT","USD","A","2010",46.204196,
"CAN","GDPHRWKD","TOT","USD","A","2011",47.006308,
"CAN","GDPHRWKD","TOT","USD","A","2012",46.953023,
"CAN","GDPHRWKD","TOT","USD","A","2013",47.617455,
"CAN","GDPHRWKD","TOT","USD","A","2014",48.669624,
"CAN","GDPHRWKD","TOT","USD","A","2015",48.567483,
"CAN","GDPHRWKD","TOT","USD","A","2016",48.885367,
"CZE","GDPHRWKD","TOT","USD","A","1993",19.111172,
"CZE","GDPHRWKD","TOT","USD","A","1994",19.64081,
"CZE","GDPHRWKD","TOT","USD","A","1995",20.511362,
"CZE","GDPHRWKD","TOT","USD","A","1996",21.331096,
"CZE","GDPHRWKD","TOT","USD","A","1997",21.294357,
"CZE","GDPHRWKD","TOT","USD","A","1998",21.372935,
"CZE","GDPHRWKD","TOT","USD","A","1999",21.967465,
"CZE","GDPHRWKD","TOT","USD","A","2000",23.068598,
"CZE","GDPHRWKD","TOT","USD","A","2001",24.817324,
"CZE","GDPHRWKD","TOT","USD","A","2002",25.093555,
"CZE","GDPHRWKD","TOT","USD","A","2003",26.360736,
"CZE","GDPHRWKD","TOT","USD","A","2004",27.536804,
"CZE","GDPHRWKD","TOT","USD","A","2005",28.776294,
"CZE","GDPHRWKD","TOT","USD","A","2006",30.643625,
"CZE","GDPHRWKD","TOT","USD","A","2007",31.959846,
"CZE","GDPHRWKD","TOT","USD","A","2008",32.020656,
"CZE","GDPHRWKD","TOT","USD","A","2009",31.234209,
"CZE","GDPHRWKD","TOT","USD","A","2010",31.903898,
"CZE","GDPHRWKD","TOT","USD","A","2011",32.45162,
"CZE","GDPHRWKD","TOT","USD","A","2012",32.589862,
"CZE","GDPHRWKD","TOT","USD","A","2013",32.568698,
"CZE","GDPHRWKD","TOT","USD","A","2014",33.012227,
"CZE","GDPHRWKD","TOT","USD","A","2015",34.677178,
"CZE","GDPHRWKD","TOT","USD","A","2016",34.685581,
"DNK","GDPHRWKD","TOT","USD","A","1970",25.113912,
"DNK","GDPHRWKD","TOT","USD","A","1971",26.388707,
"DNK","GDPHRWKD","TOT","USD","A","1972",27.790151,
"DNK","GDPHRWKD","TOT","USD","A","1973",29.30599,
"DNK","GDPHRWKD","TOT","USD","A","1974",29.493858,
"DNK","GDPHRWKD","TOT","USD","A","1975",30.705979,
"DNK","GDPHRWKD","TOT","USD","A","1976",31.840336,
"DNK","GDPHRWKD","TOT","USD","A","1977",33.020593,
"DNK","GDPHRWKD","TOT","USD","A","1978",33.967535,
"DNK","GDPHRWKD","TOT","USD","A","1979",35.136908,
"DNK","GDPHRWKD","TOT","USD","A","1980",34.865998,
"DNK","GDPHRWKD","TOT","USD","A","1981",35.892309,
"DNK","GDPHRWKD","TOT","USD","A","1982",36.893991,
"DNK","GDPHRWKD","TOT","USD","A","1983",37.993177,
"DNK","GDPHRWKD","TOT","USD","A","1984",39.141674,
"DNK","GDPHRWKD","TOT","USD","A","1985",40.131567,
"DNK","GDPHRWKD","TOT","USD","A","1986",41.001632,
"DNK","GDPHRWKD","TOT","USD","A","1987",41.834339,
"DNK","GDPHRWKD","TOT","USD","A","1988",42.655311,
"DNK","GDPHRWKD","TOT","USD","A","1989",43.548263,
"DNK","GDPHRWKD","TOT","USD","A","1990",44.82261,
"DNK","GDPHRWKD","TOT","USD","A","1991",45.994234,
"DNK","GDPHRWKD","TOT","USD","A","1992",46.786144,
"DNK","GDPHRWKD","TOT","USD","A","1993",47.679906,
"DNK","GDPHRWKD","TOT","USD","A","1994",50.723943,
"DNK","GDPHRWKD","TOT","USD","A","1995",51.478779,
"DNK","GDPHRWKD","TOT","USD","A","1996",52.706108,
"DNK","GDPHRWKD","TOT","USD","A","1997",53.088137,
"DNK","GDPHRWKD","TOT","USD","A","1998",53.026995,
"DNK","GDPHRWKD","TOT","USD","A","1999",53.567088,
"DNK","GDPHRWKD","TOT","USD","A","2000",54.807882,
