"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LABCOMP","TOT","AGRWTH","A","1986",5.163086,
"AUS","LABCOMP","TOT","AGRWTH","A","1987",5.913768,
"AUS","LABCOMP","TOT","AGRWTH","A","1988",7.262311,
"AUS","LABCOMP","TOT","AGRWTH","A","1989",5.975881,
"AUS","LABCOMP","TOT","AGRWTH","A","1990",6.786832,
"AUS","LABCOMP","TOT","AGRWTH","A","1991",3.586471,
"AUS","LABCOMP","TOT","AGRWTH","A","1992",3.418437,
"AUS","LABCOMP","TOT","AGRWTH","A","1993",0.22851,
"AUS","LABCOMP","TOT","AGRWTH","A","1994",1.571419,
"AUS","LABCOMP","TOT","AGRWTH","A","1995",5.638905,
"AUS","LABCOMP","TOT","AGRWTH","A","1996",6.317889,
"AUS","LABCOMP","TOT","AGRWTH","A","1997",2.936305,
"AUS","LABCOMP","TOT","AGRWTH","A","1998",3.603118,
"AUS","LABCOMP","TOT","AGRWTH","A","1999",1.888844,
"AUS","LABCOMP","TOT","AGRWTH","A","2000",5.489816,
"AUS","LABCOMP","TOT","AGRWTH","A","2001",5.170806,
"AUS","LABCOMP","TOT","AGRWTH","A","2002",3.633424,
"AUS","LABCOMP","TOT","AGRWTH","A","2003",4.232775,
"AUS","LABCOMP","TOT","AGRWTH","A","2004",3.414251,
"AUS","LABCOMP","TOT","AGRWTH","A","2005",4.1057,
"AUS","LABCOMP","TOT","AGRWTH","A","2006",5.243138,
"AUS","LABCOMP","TOT","AGRWTH","A","2007",6.284212,
"AUS","LABCOMP","TOT","AGRWTH","A","2008",5.296368,
"AUS","LABCOMP","TOT","AGRWTH","A","2009",0.724062,
"AUS","LABCOMP","TOT","AGRWTH","A","2010",7.438072,
"AUS","LABCOMP","TOT","AGRWTH","A","2011",3.202789,
"AUS","LABCOMP","TOT","AGRWTH","A","2012",3.095864,
"AUS","LABCOMP","TOT","AGRWTH","A","2013",2.995895,
"AUS","LABCOMP","TOT","AGRWTH","A","2014",0.53817,
"AUS","LABCOMP","TOT","AGRWTH","A","2015",2.707014,
"AUS","LABCOMP","TOT","IDX2010","A","1985",33.79233,
"AUS","LABCOMP","TOT","IDX2010","A","1986",35.537057,
"AUS","LABCOMP","TOT","IDX2010","A","1987",37.638637,
"AUS","LABCOMP","TOT","IDX2010","A","1988",40.372071,
"AUS","LABCOMP","TOT","IDX2010","A","1989",42.784658,
"AUS","LABCOMP","TOT","IDX2010","A","1990",45.688382,
"AUS","LABCOMP","TOT","IDX2010","A","1991",47.326982,
"AUS","LABCOMP","TOT","IDX2010","A","1992",48.944826,
"AUS","LABCOMP","TOT","IDX2010","A","1993",49.056669,
"AUS","LABCOMP","TOT","IDX2010","A","1994",49.827555,
"AUS","LABCOMP","TOT","IDX2010","A","1995",52.637283,
"AUS","LABCOMP","TOT","IDX2010","A","1996",55.962848,
"AUS","LABCOMP","TOT","IDX2010","A","1997",57.606088,
"AUS","LABCOMP","TOT","IDX2010","A","1998",59.681703,
"AUS","LABCOMP","TOT","IDX2010","A","1999",60.808998,
"AUS","LABCOMP","TOT","IDX2010","A","2000",64.1473,
"AUS","LABCOMP","TOT","IDX2010","A","2001",67.464232,
"AUS","LABCOMP","TOT","IDX2010","A","2002",69.915494,
"AUS","LABCOMP","TOT","IDX2010","A","2003",72.874859,
"AUS","LABCOMP","TOT","IDX2010","A","2004",75.36299,
