"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1971",2.50649,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1972",2.204259,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1973",2.043491,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1974",-1.590137,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1975",3.699781,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1976",1.681757,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1977",-0.115794,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1978",4.226636,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1979",0.12007,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1980",1.338632,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1981",2.623741,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1982",1.025242,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1983",2.658911,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1984",2.953414,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1985",-0.552656,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1986",0.07943,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1987",2.165101,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1988",-0.294774,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1989",0.289556,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1990",-1.782188,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1991",2.306686,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1992",3.091633,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1993",0.285159,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1994",0.226959,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1995",3.091294,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1996",3.500247,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1997",3.215639,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1998",3.215069,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1999",0.819841,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2000",1.023363,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2001",3.340802,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2002",1.472799,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2003",2.242085,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2004",-0.287336,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2005",0.590268,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2006",0.487327,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2007",1.248364,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2008",3.388516,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2009",-1.026559,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",1.559271,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2011",0.917985,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2012",2.412922,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2013",1.739417,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2014",0.723819,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",2.677354,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",1.448655,"E"
