"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1964",0.509781065,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1965",0.506802627,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1966",0.5128412305,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1967",0.5364693771,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1968",0.5514357446,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1969",0.5699458818,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1970",0.5871827479,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1971",0.5954883818,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1972",0.600743863,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1973",0.6102343743,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1974",0.6074736236,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1975",0.6247619198,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1976",0.6404006223,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1977",0.6440662109,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1978",0.6533819473,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1979",0.6751357633,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1980",0.6743789753,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1981",0.6880781211,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1982",0.685801476,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1983",0.6971912952,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1984",0.7205537385,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1985",0.7342641092,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1986",0.7187985576,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1987",0.7403427583,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1988",0.745570064,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1989",0.744915573,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1990",0.7417713683,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1991",0.7501502953,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1992",0.7763867243,
