"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MFP","TOT","AGRWTH","A","1985",-0.727573,
"AUS","MFP","TOT","AGRWTH","A","1986",-0.669054,
"AUS","MFP","TOT","AGRWTH","A","1987",1.69089,
"AUS","MFP","TOT","AGRWTH","A","1988",-0.593434,
"AUS","MFP","TOT","AGRWTH","A","1989",-0.25652,
"AUS","MFP","TOT","AGRWTH","A","1990",-0.222844,
"AUS","MFP","TOT","AGRWTH","A","1991",0.357887,
"AUS","MFP","TOT","AGRWTH","A","1992",2.941231,
"AUS","MFP","TOT","AGRWTH","A","1993",1.341872,
"AUS","MFP","TOT","AGRWTH","A","1994",-0.274431,
"AUS","MFP","TOT","AGRWTH","A","1995",1.12777,
"AUS","MFP","TOT","AGRWTH","A","1996",2.332496,
"AUS","MFP","TOT","AGRWTH","A","1997",2.052804,
"AUS","MFP","TOT","AGRWTH","A","1998",2.643784,
"AUS","MFP","TOT","AGRWTH","A","1999",0.323146,
"AUS","MFP","TOT","AGRWTH","A","2000",0.534019,
"AUS","MFP","TOT","AGRWTH","A","2001",2.811143,
"AUS","MFP","TOT","AGRWTH","A","2002",-0.207055,
"AUS","MFP","TOT","AGRWTH","A","2003",1.286793,
"AUS","MFP","TOT","AGRWTH","A","2004",0.107125,
"AUS","MFP","TOT","AGRWTH","A","2005",-0.283863,
"AUS","MFP","TOT","AGRWTH","A","2006",0.097302,
"AUS","MFP","TOT","AGRWTH","A","2007",-0.254995,
"AUS","MFP","TOT","AGRWTH","A","2008",-0.609047,
"AUS","MFP","TOT","AGRWTH","A","2009",0.397874,
"AUS","MFP","TOT","AGRWTH","A","2010",-0.941035,
"AUS","MFP","TOT","AGRWTH","A","2011",0.720059,
"AUS","MFP","TOT","AGRWTH","A","2012",0.674373,
"AUS","MFP","TOT","AGRWTH","A","2013",0.795198,
"AUS","MFP","TOT","AGRWTH","A","2014",0.719362,
"AUS","MFP","TOT","AGRWTH","A","2015",0.776025,
"AUT","MFP","TOT","AGRWTH","A","1989",2.267096,
"AUT","MFP","TOT","AGRWTH","A","1990",2.067615,
"AUT","MFP","TOT","AGRWTH","A","1991",1.732464,
"AUT","MFP","TOT","AGRWTH","A","1992",1.160581,
"AUT","MFP","TOT","AGRWTH","A","1993",1.373337,
"AUT","MFP","TOT","AGRWTH","A","1994",2.784615,
"AUT","MFP","TOT","AGRWTH","A","1995",5.509766,
"AUT","MFP","TOT","AGRWTH","A","1996",-0.135922,
"AUT","MFP","TOT","AGRWTH","A","1997",0.413652,
"AUT","MFP","TOT","AGRWTH","A","1998",2.596141,
"AUT","MFP","TOT","AGRWTH","A","1999",1.136143,
"AUT","MFP","TOT","AGRWTH","A","2000",1.356394,
"AUT","MFP","TOT","AGRWTH","A","2001",0.086527,
"AUT","MFP","TOT","AGRWTH","A","2002",0.725143,
"AUT","MFP","TOT","AGRWTH","A","2003",-0.375966,
"AUT","MFP","TOT","AGRWTH","A","2004",1.260729,
"AUT","MFP","TOT","AGRWTH","A","2005",1.503232,
"AUT","MFP","TOT","AGRWTH","A","2006",2.09198,
"AUT","MFP","TOT","AGRWTH","A","2007",1.902082,
"AUT","MFP","TOT","AGRWTH","A","2008",-0.296642,
"AUT","MFP","TOT","AGRWTH","A","2009",-1.704791,
"AUT","MFP","TOT","AGRWTH","A","2010",1.045223,
"AUT","MFP","TOT","AGRWTH","A","2011",0.596153,
"AUT","MFP","TOT","AGRWTH","A","2012",0.325951,
"AUT","MFP","TOT","AGRWTH","A","2013",-0.153491,
"AUT","MFP","TOT","AGRWTH","A","2014",-0.111022,
"AUT","MFP","TOT","AGRWTH","A","2015",0.932287,
"BEL","MFP","TOT","AGRWTH","A","1985",-0.088644,
"BEL","MFP","TOT","AGRWTH","A","1986",0.977783,
"BEL","MFP","TOT","AGRWTH","A","1987",1.219177,
"BEL","MFP","TOT","AGRWTH","A","1988",2.508957,
"BEL","MFP","TOT","AGRWTH","A","1989",1.283542,
"BEL","MFP","TOT","AGRWTH","A","1990",0.234085,
"BEL","MFP","TOT","AGRWTH","A","1991",1.949742,
"BEL","MFP","TOT","AGRWTH","A","1992",1.473854,
"BEL","MFP","TOT","AGRWTH","A","1993",0.416659,
"BEL","MFP","TOT","AGRWTH","A","1994",2.340476,
"BEL","MFP","TOT","AGRWTH","A","1995",-1.516399,
"BEL","MFP","TOT","AGRWTH","A","1996",1.267227,
"BEL","MFP","TOT","AGRWTH","A","1997",1.187784,
"BEL","MFP","TOT","AGRWTH","A","1998",-1.219349,
"BEL","MFP","TOT","AGRWTH","A","1999",1.171954,
"BEL","MFP","TOT","AGRWTH","A","2000",0.068632,
"BEL","MFP","TOT","AGRWTH","A","2001",-1.34037,
"BEL","MFP","TOT","AGRWTH","A","2002",1.023957,
"BEL","MFP","TOT","AGRWTH","A","2003",0.058834,
"BEL","MFP","TOT","AGRWTH","A","2004",2.00769,
"BEL","MFP","TOT","AGRWTH","A","2005",0.230114,
"BEL","MFP","TOT","AGRWTH","A","2006",0.279111,
"BEL","MFP","TOT","AGRWTH","A","2007",0.797794,
"BEL","MFP","TOT","AGRWTH","A","2008",-1.332293,
"BEL","MFP","TOT","AGRWTH","A","2009",-1.95225,
"BEL","MFP","TOT","AGRWTH","A","2010",1.563116,
"BEL","MFP","TOT","AGRWTH","A","2011",-0.633304,
"BEL","MFP","TOT","AGRWTH","A","2012",-0.81812,
"BEL","MFP","TOT","AGRWTH","A","2013",-0.221631,
"BEL","MFP","TOT","AGRWTH","A","2014",0.884015,
"BEL","MFP","TOT","AGRWTH","A","2015",0.469919,
"CAN","MFP","TOT","AGRWTH","A","1985",0.862442,
"CAN","MFP","TOT","AGRWTH","A","1986",-0.956838,
"CAN","MFP","TOT","AGRWTH","A","1987",0.487594,
"CAN","MFP","TOT","AGRWTH","A","1988",0.727625,
"CAN","MFP","TOT","AGRWTH","A","1989",-0.335111,
"CAN","MFP","TOT","AGRWTH","A","1990",-1.071356,
"CAN","MFP","TOT","AGRWTH","A","1991",-0.93838,
"CAN","MFP","TOT","AGRWTH","A","1992",1.008741,
"CAN","MFP","TOT","AGRWTH","A","1993",1.523094,
"CAN","MFP","TOT","AGRWTH","A","1994",1.856245,
"CAN","MFP","TOT","AGRWTH","A","1995",0.810199,
"CAN","MFP","TOT","AGRWTH","A","1996",-0.583266,
"CAN","MFP","TOT","AGRWTH","A","1997",1.91539,
"CAN","MFP","TOT","AGRWTH","A","1998",1.142931,
"CAN","MFP","TOT","AGRWTH","A","1999",1.94623,
"CAN","MFP","TOT","AGRWTH","A","2000",2.329263,
"CAN","MFP","TOT","AGRWTH","A","2001",0.265658,
"CAN","MFP","TOT","AGRWTH","A","2002",1.041533,
"CAN","MFP","TOT","AGRWTH","A","2003",-0.401237,
"CAN","MFP","TOT","AGRWTH","A","2004",0.24138,
"CAN","MFP","TOT","AGRWTH","A","2005",1.348727,
"CAN","MFP","TOT","AGRWTH","A","2006",0.287345,
"CAN","MFP","TOT","AGRWTH","A","2007",-0.502253,
"CAN","MFP","TOT","AGRWTH","A","2008",-0.815945,
"CAN","MFP","TOT","AGRWTH","A","2009",-0.774613,
"CAN","MFP","TOT","AGRWTH","A","2010",0.910986,
"CAN","MFP","TOT","AGRWTH","A","2011",1.362968,
"CAN","MFP","TOT","AGRWTH","A","2012",-0.382321,
"CAN","MFP","TOT","AGRWTH","A","2013",1.006053,
"CAN","MFP","TOT","AGRWTH","A","2014",1.719296,
"CAN","MFP","TOT","AGRWTH","A","2015",-0.338648,
"DNK","MFP","TOT","AGRWTH","A","1985",1.503371,
