"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","1991",44.12705612,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","1993",47.15904617,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","1994",49.80202484,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","1995",44.93585587,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","1997",46.69527435,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","1998",43.95595932,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","1999",42.61008453,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2000",41.21231079,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2001",41.07614136,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2002",39.05031586,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2003",37.51981735,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2004",35.87903595,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2005",34.96796799,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2006",33.28984451,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2007",31.81673241,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2008",30.06401825,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2009",28.97252274,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2010",26.79274368,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2011",25.92254257,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2012",23.56339073,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2013",24.28443146,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2014",22.89583588,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2015",20.980896,
"AUS","EDUADULT","TRY","PC_25_64","A","1991",31.15880966,
"AUS","EDUADULT","TRY","PC_25_64","A","1993",22.4691906,
"AUS","EDUADULT","TRY","PC_25_64","A","1994",23.07236481,
"AUS","EDUADULT","TRY","PC_25_64","A","1995",24.31544304,
"AUS","EDUADULT","TRY","PC_25_64","A","1997",24.30126953,
"AUS","EDUADULT","TRY","PC_25_64","A","1998",25.4207077,
"AUS","EDUADULT","TRY","PC_25_64","A","1999",26.69339943,
"AUS","EDUADULT","TRY","PC_25_64","A","2000",27.47574615,
"AUS","EDUADULT","TRY","PC_25_64","A","2001",28.97732162,
"AUS","EDUADULT","TRY","PC_25_64","A","2002",30.7597847,
"AUS","EDUADULT","TRY","PC_25_64","A","2003",31.31415176,
"AUS","EDUADULT","TRY","PC_25_64","A","2004",30.82308006,
"AUS","EDUADULT","TRY","PC_25_64","A","2005",31.69115448,
"AUS","EDUADULT","TRY","PC_25_64","A","2006",33.02221298,
"AUS","EDUADULT","TRY","PC_25_64","A","2007",33.73670959,
"AUS","EDUADULT","TRY","PC_25_64","A","2008",36.14998627,
"AUS","EDUADULT","TRY","PC_25_64","A","2009",36.88135529,
"AUS","EDUADULT","TRY","PC_25_64","A","2010",37.60430908,
"AUS","EDUADULT","TRY","PC_25_64","A","2011",38.34207153,
"AUS","EDUADULT","TRY","PC_25_64","A","2012",41.28236389,
"AUS","EDUADULT","TRY","PC_25_64","A","2013",39.53992844,
"AUS","EDUADULT","TRY","PC_25_64","A","2014",41.90185547,
"AUS","EDUADULT","TRY","PC_25_64","A","2015",42.8887558,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","1991",24.71413422,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","1993",30.37176323,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","1994",27.12561035,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","1995",30.748703,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","1997",29.00345421,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","1998",30.62333298,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","1999",30.69651413,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2000",31.31194496,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2001",29.94653702,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2002",30.18989754,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2003",31.16603088,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2004",33.29788208,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2005",33.34088135,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2006",33.6879425,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2007",34.44655991,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2008",33.78599167,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2009",34.14612198,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2010",35.60294724,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2011",35.73538589,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2012",35.15424728,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2013",36.17564011,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2014",35.20230865,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2015",36.13034821,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2004",23.66625977,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2005",23.05506706,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2006",19.87160873,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2007",20.0628891,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2008",19.12008667,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2009",18.35497856,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2010",17.64749527,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2011",17.63682938,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2012",17.08353043,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2013",17.02800179,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2014",16.1439991,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2015",15.35130501,
"AUT","EDUADULT","TRY","PC_25_64","A","2004",24.78343582,
"AUT","EDUADULT","TRY","PC_25_64","A","2005",24.63935089,
"AUT","EDUADULT","TRY","PC_25_64","A","2006",25.35643196,
"AUT","EDUADULT","TRY","PC_25_64","A","2007",25.09267235,
"AUT","EDUADULT","TRY","PC_25_64","A","2008",26.19185829,
"AUT","EDUADULT","TRY","PC_25_64","A","2009",26.89582443,
"AUT","EDUADULT","TRY","PC_25_64","A","2010",27.74372101,
"AUT","EDUADULT","TRY","PC_25_64","A","2011",27.95615196,
"AUT","EDUADULT","TRY","PC_25_64","A","2012",28.73994255,
"AUT","EDUADULT","TRY","PC_25_64","A","2013",29.73884392,
"AUT","EDUADULT","TRY","PC_25_64","A","2014",29.90489578,
"AUT","EDUADULT","TRY","PC_25_64","A","2015",30.55072594,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2004",51.55030441,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2005",52.30558395,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2006",54.77196121,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2007",54.84443665,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2008",54.68805695,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2009",54.7491951,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2010",54.60878372,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2011",54.40701675,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2012",54.17652893,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2013",53.2331543,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2014",53.95110321,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2015",54.09796906,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","1991",56.83074951,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","1992",54.73691177,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","1994",50.63718414,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","1995",46.54541779,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2000",41.47677994,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2001",40.5364418,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2002",39.19661713,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2003",37.95214081,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2004",35.70824051,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2005",33.90375519,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2006",33.05792618,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2007",32.04657745,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2008",30.42381668,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2009",29.42710686,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2010",29.50048828,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2011",28.73329353,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2012",28.35637093,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2013",27.24164772,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2014",26.44935036,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2015",25.32290268,
"BEL","EDUADULT","TRY","PC_25_64","A","1991",19.62000656,
"BEL","EDUADULT","TRY","PC_25_64","A","1992",20.22602272,
"BEL","EDUADULT","TRY","PC_25_64","A","1994",22.3452549,
"BEL","EDUADULT","TRY","PC_25_64","A","1995",24.60417747,
"BEL","EDUADULT","TRY","PC_25_64","A","2000",27.08499336,
"BEL","EDUADULT","TRY","PC_25_64","A","2001",27.62675285,
"BEL","EDUADULT","TRY","PC_25_64","A","2002",28.13481903,
"BEL","EDUADULT","TRY","PC_25_64","A","2003",29.03180885,
"BEL","EDUADULT","TRY","PC_25_64","A","2004",30.40085983,
"BEL","EDUADULT","TRY","PC_25_64","A","2005",31.04508781,
"BEL","EDUADULT","TRY","PC_25_64","A","2006",31.75484467,
"BEL","EDUADULT","TRY","PC_25_64","A","2007",32.09486389,
"BEL","EDUADULT","TRY","PC_25_64","A","2008",32.31004333,
"BEL","EDUADULT","TRY","PC_25_64","A","2009",33.39705276,
"BEL","EDUADULT","TRY","PC_25_64","A","2010",34.98950195,
"BEL","EDUADULT","TRY","PC_25_64","A","2011",34.6129837,
"BEL","EDUADULT","TRY","PC_25_64","A","2012",35.31655121,
"BEL","EDUADULT","TRY","PC_25_64","A","2013",35.53533173,
"BEL","EDUADULT","TRY","PC_25_64","A","2014",36.85502243,
"BEL","EDUADULT","TRY","PC_25_64","A","2015",36.85742188,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","1991",23.54924583,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","1992",25.03706741,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","1994",27.01756287,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","1995",28.85040665,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2000",31.4382267,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2001",31.83680534,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2002",32.66856384,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2003",33.01604843,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2004",33.89089966,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2005",35.05115891,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2006",35.18722916,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2007",35.85855865,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2008",37.26613998,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2009",37.17584229,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2010",35.51000977,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2011",36.65372467,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2012",36.32707977,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2013",37.22301865,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2014",36.69562531,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2015",37.81967545,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","1981",38.95398712,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","1990",31.03400421,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","1991",29.99658966,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","1992",28.66451645,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","1993",26.68963623,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","1994",26.15062714,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","1995",24.86294746,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","1996",23.64804649,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","1997",22.24596214,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","1998",21.32023811,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","1999",20.41720581,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2000",19.33248138,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2001",18.01175117,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2002",17.32190323,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2003",16.26752281,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2004",15.68650055,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2005",14.81650352,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2006",14.45715237,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2007",13.49484825,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2008",13.00352192,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2009",12.46806908,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2010",11.73688698,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2011",11.36847687,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2012",11.03532124,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2013",10.45779037,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2014",10.01145935,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2015",9.59789085,
"CAN","EDUADULT","TRY","PC_25_64","A","1981",23.17900276,
"CAN","EDUADULT","TRY","PC_25_64","A","1990",28.03608513,
"CAN","EDUADULT","TRY","PC_25_64","A","1991",28.27139473,
"CAN","EDUADULT","TRY","PC_25_64","A","1992",29.0205555,
"CAN","EDUADULT","TRY","PC_25_64","A","1993",30.38695908,
"CAN","EDUADULT","TRY","PC_25_64","A","1994",33.48587799,
"CAN","EDUADULT","TRY","PC_25_64","A","1995",34.5372467,
"CAN","EDUADULT","TRY","PC_25_64","A","1996",35.63430405,
"CAN","EDUADULT","TRY","PC_25_64","A","1997",37.41595078,
"CAN","EDUADULT","TRY","PC_25_64","A","1998",38.25832748,
"CAN","EDUADULT","TRY","PC_25_64","A","1999",39.3760376,
"CAN","EDUADULT","TRY","PC_25_64","A","2000",40.10578156,
"CAN","EDUADULT","TRY","PC_25_64","A","2001",41.88151932,
"CAN","EDUADULT","TRY","PC_25_64","A","2002",42.87318802,
"CAN","EDUADULT","TRY","PC_25_64","A","2003",44.1238327,
"CAN","EDUADULT","TRY","PC_25_64","A","2004",44.54896927,
"CAN","EDUADULT","TRY","PC_25_64","A","2005",45.97674942,
"CAN","EDUADULT","TRY","PC_25_64","A","2006",46.8815155,
"CAN","EDUADULT","TRY","PC_25_64","A","2007",48.18156433,
"CAN","EDUADULT","TRY","PC_25_64","A","2008",48.70680237,
"CAN","EDUADULT","TRY","PC_25_64","A","2009",49.29072189,
"CAN","EDUADULT","TRY","PC_25_64","A","2010",50.3116951,
"CAN","EDUADULT","TRY","PC_25_64","A","2011",51.03301239,
"CAN","EDUADULT","TRY","PC_25_64","A","2012",52.30541611,
"CAN","EDUADULT","TRY","PC_25_64","A","2013",52.97143936,
"CAN","EDUADULT","TRY","PC_25_64","A","2014",53.61495972,
"CAN","EDUADULT","TRY","PC_25_64","A","2015",55.17366028,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","1981",37.86701202,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","1990",40.92990875,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","1991",41.7320137,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","1992",42.31492615,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","1993",42.92340469,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","1994",40.36349487,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","1995",40.59980774,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","1996",40.71764755,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","1997",40.33808899,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","1998",40.4214325,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","1999",40.20675659,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2000",40.56173706,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2001",40.1067276,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2002",39.80490875,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2003",39.60864639,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2004",39.76453018,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2005",39.20674896,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2006",38.66133118,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2007",38.32358551,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2008",38.28967667,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2009",38.24120712,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2010",37.95141983,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2011",37.59851074,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2012",36.65926361,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2013",36.57077026,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2014",36.37358093,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2015",35.22844696,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","1994",17.25941277,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","1995",16.63473892,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","1997",15.04465485,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","1998",14.66091633,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","1999",13.95554543,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2000",14.05797958,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2001",13.79163456,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2002",12.07292175,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2003",13.58070469,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2004",10.92360401,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2005",10.07459927,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2006",9.72029018,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2007",9.46522522,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2008",9.09669399,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2009",8.59710407,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2010",8.05736923,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2011",7.66773462,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2012",7.54917622,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2013",7.17979956,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2014",6.80990887,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2015",6.84120703,
"CZE","EDUADULT","TRY","PC_25_64","A","1994",10.05151367,
"CZE","EDUADULT","TRY","PC_25_64","A","1995",10.6077919,
